,terminal_group_1,terminal_group_2,terminal_group_3,frac-1,frac-2,backbone,COF,COF-std,intercept,intercept-std
1002,cyano,cyano,isopropyl,0.5,0.5,alkylsilane,0.1031550178,0.0062979980003099,0.47680523426,0.1075357937156945
1320,cyclopropyl,ethylene,cyano,0.5,0.5,alkylsilane,0.1086328885666666,0.0141606348411476,0.4498356472333333,0.2820048793492168
1624,difluoromethyl,isopropyl,cyano,0.5,0.5,alkylsilane,0.1100333636833333,0.009843266013664,0.52921589185,0.4261296404010042
1662,difluoromethyl,methyl,cyano,0.5,0.5,alkylsilane,0.1127961747333333,0.003633899325507,0.46397173225,0.1585420965464146
1859,ethylene,isopropyl,cyano,0.5,0.5,alkylsilane,0.1109176443833333,0.0107593516458665,0.2160854287333333,0.3767637317432877
1954,ethylene,perfluoromethyl,cyano,0.5,0.5,alkylsilane,0.1093037766166666,0.0119157256341076,0.32965236565,0.3123517180219614
2475,isopropyl,methoxy,cyano,0.5,0.5,alkylsilane,0.1113375150666666,0.0143870068905524,0.5312925598,0.5018801118420588
2494,isopropyl,methyl,cyano,0.5,0.5,alkylsilane,0.11209627915,0.018209306914153,0.4040698444833333,0.3252279049850479
2551,isopropyl,perfluoromethyl,cyano,0.5,0.5,alkylsilane,0.1029815603666666,0.0180570833488,0.2978362717833333,0.1959858434097459
5102,difluoromethyl,carboxyl,methoxy,0.25,0.75,alkylsilane,0.1400953710666666,0.0114734156254209,2.5683994368666667,0.1325418656853919
5209,difluoromethyl,isopropyl,cyano,0.25,0.75,alkylsilane,0.1039994923,0.0097326577795246,1.0095030779,0.4450741909573441
5247,difluoromethyl,methyl,cyclopropyl,0.25,0.75,alkylsilane,0.1632298397,0.0101032869229403,0.1993233846666666,0.1171278715118608
5549,ethylene,isopropyl,cyclopropyl,0.25,0.75,alkylsilane,0.1585866227333333,0.0209201431918342,0.5092616055666667,0.2241786649878732
6497,isopropyl,cyclopropyl,cyclopropyl,0.25,0.75,alkylsilane,0.1576852836666666,0.0171914301536862,0.9709112169,0.4707433376056903
6666,isopropyl,perfluoromethyl,cyclopropyl,0.25,0.75,alkylsilane,0.1463148672333333,0.0106200624770699,0.2615083236333334,0.0732645424825224
6820,methoxy,cyano,fluorophenyl,0.25,0.75,alkylsilane,0.1135874382666666,0.0095535617224982,1.638043500033333,0.2716413213662608
7273,methyl,isopropyl,cyclopropyl,0.25,0.75,alkylsilane,0.1451626383666666,0.0089815972259259,0.6092104742333334,0.0794527223820836
8201,perfluoromethyl,cyclopropyl,cyclopropyl,0.25,0.75,alkylsilane,0.1704633549666666,0.0014964961333404,0.3518396275666666,0.1866713846801903
8240,perfluoromethyl,ethylene,difluoromethyl,0.25,0.75,alkylsilane,0.1518251475333333,0.0106747239162145,0.6636667189666666,0.3148467943588657
8297,perfluoromethyl,isopropyl,difluoromethyl,0.25,0.75,alkylsilane,0.1561340024,0.0127449777133882,0.3627940661,0.0839307965173909
8983,phenyl,isopropyl,fluorophenyl,0.25,0.75,alkylsilane,0.1248409967,0.0008187791683433,0.6746790498333333,0.4377893194336332
9553,toluene,ethylene,fluorophenyl,0.25,0.75,alkylsilane,0.1239032637,0.0053317643692561,1.1094795789,0.4225637322707815
