,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min,COF-std,intercept-std
0,acetyl,acetyl,acetyl,alkylsilane,0.5,0.5,0.14017410336,16.354999999999997,16.354999999999997,0.566685316,0.566685316,4.3989910000000005,4.3989910000000005,124.05236800000003,124.05236800000003,17,8.577349999999997,8.577349999999997,7.908248,7.908248,1.908248,1.908248,4.154701000000001,4.154701000000001,3.704124,3.704124,0.7041240000000001,0.7041240000000001,0.329124,0.329124,0.329124,0.329124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.984673499,0.984673499,0.0,-0.33,-0.33,0.23162100000000002,0.23162100000000002,1.67,1.67,1.67,1.67,1.29227236898,63.579808,63.579808,0.09501609600000002,0.09501609600000002,34.06047999999999,34.06047999999999,0.5953,0.5953,52.032,52.032,58.041865000000016,58.041865000000016,4.0,4.0,0.17411000000000001,0.17411000000000001,0.8877641360000001,0.8877641360000001,0.29336532600000004,0.29336532600000004,9.364472812,9.364472812,47.79625692399999,47.79625692399999,53.831244979000004,53.831244979000004,2.0,2.0,1.1223529689999998,1.1223529689999998,0.40435699999999997,0.40435699999999997,0.9618140000000002,0.9618140000000002,0.365379505,0.365379505,17.069999999999997,17.069999999999997,14.007796000000003,14.007796000000003,18.498321,18.498321,0.8525039999999999,0.8525039999999999,0.5690720000000001,0.5690720000000001,0.14749600000000002,0.14749600000000002,0.43092799999999987,0.43092799999999987,0.0,0.0,27.711580000000005,27.711580000000005,0.0,0.0,4.794536999999999,4.794536999999999,0.14749600000000002,0.14749600000000002,0.011725799560306336,0.11578123915851841
1,acetyl,acetyl,carboxyl,alkylsilane,0.5,0.5,0.14471142524,14.832400000000002,13.3098,0.6048137915,0.566685316,4.1111845,3.8233779999999995,109.377013,94.701658,17,7.680903500000001,6.784457000000001,6.862372500000001,5.816497,1.8623725,1.816497,3.8180405,3.48138,3.1353105,2.566497,0.681186,0.6582479999999999,0.30829049999999997,0.28745699999999996,0.30829049999999997,0.28745699999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.987540456,0.984673499,1.0,-0.43,-0.53,0.3374475,0.231621,1.57,1.47,1.57,1.47,3.38249535716,49.613592,35.647376,0.110609288,0.09501609600000001,31.9134905,29.766500999999998,0.3431,0.09090000000000001,54.025999999999996,52.032,59.031497,58.04186500000001,4.0,4.0,0.155984169,0.137858338,0.884980247,0.8821963580000001,0.226230068,0.15909481,8.191496801,7.018520789999999,46.373548462,44.95084,52.390090542500005,50.948936106,1.5,1.0,1.089854246,1.057355523,0.4062525,0.40435699999999997,0.8087455,0.655677,0.22197808449999998,0.078576664,27.184999999999995,17.07,16.1862345,14.007796000000003,14.200833,9.903345,0.6201845,0.38786499999999996,0.45970449999999996,0.350337,0.24891649999999998,0.147496,0.5402954999999999,0.4309279999999999,0.130899,0.0,19.337874,10.964168,3.7002525,0.0,7.348940999999999,4.794537,0.3798155,0.147496,0.004633101438805511,0.1342966310482693
2,acetyl,acetyl,fluorophenyl,alkylsilane,0.5,0.5,0.12084648587999999,23.746,16.355,0.4655535905,0.364421865,4.0398635,3.6807360000000005,251.91385,124.052368,17,10.270726,8.57735,9.393106,7.908248,2.893106,1.908248,5.4150635,4.154701,4.571553,3.704124,1.321553,0.704124,0.759053,0.32912399999999997,0.759053,0.32912399999999997,0.2972455,0.0,0.2972455,0.0,0.148623,0.0,0.148623,0.0,33.0,24.0,0.9685322020000001,0.952390905,0.0,-0.59,-0.85,0.7718195,0.231621,1.7024835,1.67,1.3347885,0.999577,1.4482562314,649.7086155,63.579808,0.0515105935,0.008005091,45.928577,34.06048,1.36471,0.5953,77.5535,52.032,84.0475215,58.04186500000001,6.0,4.0,0.23945841799999998,0.17411000000000001,0.7914786500000001,0.6951931640000001,0.1466860515,6.777000000000001e-06,48.12198177,9.364472812,122.98860607000002,47.796256924,169.4458454585,53.831244979,1.5,1.0,1.4223007545000002,1.122352969,0.3348085,0.26526,0.7046235,0.447433,0.1826897525,0.0,8.535,0.0,14.710163499999998,14.007796000000003,29.7368775,18.498321,0.8873215,0.8525039999999999,0.647871,0.569072,0.11267849999999999,0.077861,0.35212899999999997,0.27333,0.0,0.0,39.854565,27.711580000000005,0.0,0.0,4.592476,4.390415,0.11267849999999999,0.077861,0.009889954175653342,0.18090592125944624
3,acetyl,acetyl,hydroxyl,alkylsilane,0.5,0.5,0.14976574718,12.2489,8.1428,0.464573451,0.362461586,3.7837404999999995,3.16849,80.6776685,37.302969,17,6.8922285,5.207107,6.408248,4.908248,1.408248,0.908248,3.3576805,2.56066,2.908248,2.112372,0.454124,0.20412400000000003,0.16456199999999999,0.0,0.16456199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,0.9680380745000001,0.95140265,1.0,-0.185,-0.33,0.11601049999999999,0.0004,-12.685,-27.04,-51.185,-104.04,2.17140746558,37.8723025,12.164797,0.6429131755,0.09501609600000001,26.6502585,19.240037,0.10190000000000002,-0.3915,40.021,28.01,45.03404,32.026215,3.0,2.0,0.24070930500000004,0.17411000000000001,0.7902277630000001,0.69269139,0.14668266300000002,0.0,4.9747027285000005,0.5849326450000001,24.5573719975,1.318487071,27.86733234,1.903419701,1.5,1.0,0.7237002410000001,0.325047513,0.4644579999999999,0.40435699999999997,0.980907,0.9618140000000001,0.1826897525,0.0,18.65,17.07,13.294612,12.581428,11.8035645,5.108808,0.741404,0.630304,0.4289325,0.28879299999999997,0.21814450000000002,0.147496,0.5710675,0.4309279999999999,0.0404515,0.0,19.430903999999998,11.150228,0.7156,0.0,4.9516725,4.794537,0.258596,0.147496,0.008769605265807175,0.1577460123584058
4,acetyl,acetyl,isopropyl,alkylsilane,0.5,0.5,0.13195114518,18.4335,16.355,0.47915457800000005,0.39162384,4.9708585,4.398991,144.8229155,124.052368,17,10.288675,8.57735,9.954124,7.908248,1.9541239999999998,1.908248,4.9523505,4.154701,4.727062,3.704124,0.727062,0.704124,0.352062,0.32912399999999997,0.352062,0.32912399999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,24.0,0.9730810725000001,0.9614886460000001,0.0,-0.165,-0.33,0.17581049999999998,0.12,1.8350000000000002,1.67,0.835,0.0,0.74874916616,187.8301595,63.579808,0.0721417785,0.049267461000000005,37.972131,34.06048,1.1288,0.5953,50.038,48.044,58.06005749999999,58.04186500000001,4.0,4.0,0.22422914,0.17411000000000001,0.8822950630000002,0.87682599,0.4111108925,0.29336532600000004,13.6023442725,9.364472812,52.4399844895,47.796256924,59.45957467550001,53.831244979,1.0,0.0,1.1911472465,1.122352969,0.2636995,0.12304200000000001,0.61273,0.263646,0.4220695055,0.36537950500000005,8.535,0.0,13.857690999999999,13.707585999999997,22.4739775,18.498321,0.9262520000000001,0.8525039999999999,0.613862,0.569072,0.073748,0.0,0.386138,0.341348,0.0,0.0,33.9344,27.711580000000005,0.0,0.0,2.3972685,0.0,0.073748,0.0,0.007461634196346275,0.12586350276653652
5,acetyl,acetyl,methyl,alkylsilane,0.5,0.5,0.13702001842000003,13.851499999999998,11.348,0.2837274625,0.0007696090000000001,4.2096915,4.020392,92.7810715,61.509775000000005,17,7.788675,7.0,7.454124,7.0,1.454124,1.0,3.7023505,3.25,3.477062,3.25,0.477062,0.25,0.16456199999999999,0.0,0.16456199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,0.6374092255,0.290144952,0.0,-0.165,-0.33,0.1158105,0.0,0.835,0.0,0.835,0.0,0.8188468454000001,42.4429335,21.306059,0.200267793,0.09501609600000001,28.797248000000003,23.534016,0.8107500000000002,0.5953,38.027,24.022,44.0444075,30.04695,3.0,2.0,0.5650913940000001,0.17411000000000001,0.9340280525000001,0.887764136,0.37150019500000003,0.29336532600000004,6.2866954790000005,3.2089181460000007,25.543257292,3.2902576600000004,28.593962776,3.356680573,1.5,1.0,0.8382892915,0.554225614,0.285512,0.16666699999999998,0.730907,0.5,0.6609292250000001,0.36537950500000005,8.535,0.0,11.1161735,8.224551,16.1010525,13.703784000000002,0.9262520000000001,0.8525039999999999,0.5970035,0.569072,0.073748,0.0,0.4029965,0.375065,0.0,0.0,24.8199575,21.928335,0.0,0.0,2.3972685,0.0,0.073748,0.0,0.008771334356110131,0.09496979898667003
6,acetyl,acetyl,nitro,alkylsilane,0.5,0.5,0.13675989624,14.6367,12.9184,0.6590245215,0.566685316,4.0950545,3.791118,104.73914499999998,85.425922,17,7.32735,6.07735,6.335979,4.76371,1.835979,1.76371,3.5490385000000004,2.9433759999999998,2.8964395,2.088755,0.6464395,0.588755,0.29311699999999996,0.25711,0.29311699999999996,0.25711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.9902369990000001,0.984673499,0.0,-0.465,-0.6000000000000001,1.3158105,0.231621,1.5350000000000001,1.4,1.5350000000000001,1.4,1.6829494443000002,40.332987,17.086166,0.157636895,0.09501609600000001,30.833808999999995,27.607138,0.24410000000000004,-0.1071,55.024,52.032,59.529121499999995,58.04186500000001,4.0,4.0,0.13268484,0.09125968,0.8982522280000002,0.887764136,0.14668266300000002,0.0,6.7558418545,4.147210897,44.568176225,41.340095526,49.6592756915,45.487306404,1.5,1.0,1.0583441925,0.994335416,0.38530749999999997,0.366258,0.730907,0.5,0.1826897525,0.0,30.105,17.07,15.009604999999999,14.007796000000003,14.3063195,10.114318,0.7326819999999999,0.6128600000000001,0.47810600000000003,0.38714000000000004,0.267318,0.147496,0.521894,0.4309279999999999,0.0,0.0,21.861497,16.011414,0.0,0.0,7.4544274999999995,4.794537,0.267318,0.147496,0.004564422058876594,0.11134193082514224
7,acetyl,acetyl,perfluoromethyl,alkylsilane,0.5,0.5,0.15006056125999997,14.041999999999998,11.729,0.37856377,0.19044222400000002,4.2096915,4.020392,95.7810715,67.509775,17,7.788675,7.0,6.5210705,5.133893,2.0210705,1.908248,3.7023505,3.25,3.0105355,2.316947,0.7605354999999999,0.704124,0.41344149999999996,0.32912399999999997,0.41344149999999996,0.32912399999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,24.0,0.9152147155,0.8457559320000001,0.0,-0.27,-0.33,1.1427365,0.231621,1.4092115,1.148423,13.500975,1.67,0.67676176746,42.4429335,21.306059,0.052915971500000006,0.010815847,32.9380955,31.815711,1.08195,0.5953,66.524,52.032,71.030275,58.04186500000001,4.5,4.0,0.353817146,0.17411000000000001,0.7217539685000001,0.555743801,0.3885380935,0.29336532600000004,30.377753175,9.364472812,50.665366246,47.796256924,75.0807392505,53.831244979,1.0,0.0,1.1606025455,1.122352969,0.5771900000000001,0.40435699999999997,0.6475735,0.333333,0.5813194965,0.36537950500000005,8.535,0.0,15.574131499999998,14.007796000000003,15.834782999999998,13.171245000000003,0.8243725,0.796241,0.5017995,0.434527,0.073748,0.0,0.4982005,0.4309279999999999,0.10187949999999998,0.0,25.9234965,24.135413,3.0881495,0.0,2.3972685,0.0,0.1756275,0.147496,0.004411930042248504,0.04046780863390873
8,amino,amino,amino,alkylsilane,0.5,0.5,0.15147546726,10.111400000000001,10.111400000000001,0.13151623299999998,0.13151623299999998,3.5411969999999995,3.5411969999999995,53.59071899999999,53.59071899999999,17,6.077350000000001,6.077350000000001,5.947214000000001,5.947214000000001,0.947214,0.947214,2.943376,2.943376,2.618034,2.618034,0.22360699999999994,0.22360699999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.808539184,0.808539184,2.0,-0.039999999999999994,-0.039999999999999994,0.000175,0.000175,-27.04,-27.04,-104.03999999999999,-104.03999999999999,3.2737543698,17.086165999999995,17.086165999999995,0.35730364700000006,0.35730364700000006,21.220106999999995,21.220106999999995,-0.42510000000000003,-0.42510000000000003,26.018,26.018,31.042199,31.042199,2.0,2.0,0.5880412389999999,0.5880412389999999,0.6162228399999999,0.6162228399999999,0.12970799700000005,0.12970799700000005,1.7248449520000002,1.7248449520000002,1.807552195,1.807552195,2.9343823789999997,2.9343823789999997,1.0,1.0,0.4357193680000001,0.4357193680000001,0.334771,0.334771,0.944717,0.944717,0.090324371,0.090324371,26.020000000000003,26.020000000000003,6.93596,6.93596,12.695544,12.695544,0.708646,0.708646,0.6466919999999999,0.6466919999999999,0.29135400000000006,0.29135400000000006,0.35330800000000007,0.35330800000000007,0.0,0.0,13.911787,13.911787,0.0,0.0,5.719717000000001,5.719717000000001,0.29135400000000006,0.29135400000000006,0.004766700157108515,0.12733798447912936
9,amino,amino,carboxyl,alkylsilane,0.5,0.5,0.13855881446,11.7106,10.1114,0.38722925,0.131516233,3.6822875,3.5411969999999995,74.1461885,53.590719,17,6.430903500000001,6.07735,5.8818555,5.816497,1.3818555,0.947214,3.212378,2.9433759999999998,2.5922655,2.566497,0.4409275,0.22360699999999997,0.14372849999999998,0.0,0.14372849999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,0.8994732985,0.808539184,3.0,-0.28500000000000003,-0.53,0.22172450000000002,0.000175,-12.785,-27.04,-51.28499999999999,-104.04,7.94156210692,26.366771,17.086166,0.24175306349999998,0.12620248,25.493304,21.220107,-0.1671,-0.42510000000000003,41.019,26.018,45.531664,31.042199,3.0,2.0,0.36294978850000004,0.137858338,0.7492095990000001,0.61622284,0.1444014035,0.12970799700000002,4.371682871,1.7248449520000002,23.3791960975,1.807552195,26.9416592425,2.934382379,1.0,1.0,0.7465374455,0.4357193680000001,0.3714595,0.334771,0.800197,0.655677,0.0844505175,0.078576664,31.660000000000004,26.02,12.6503165,6.93596,11.2994445,9.903345,0.5482555,0.38786499999999996,0.4985144999999999,0.350337,0.3208455,0.291354,0.5014855,0.353308,0.130899,0.0,12.4379775,10.964168,3.7002525,0.0,7.8115310000000004,5.719717,0.45174450000000005,0.291354,0.01117890364855434,0.12528325971796633
