,terminal_group_1,terminal_group_2,terminal_group_3,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,frac-1,frac-2,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min,backbone
9587,pyrrole,cyclopropyl,nitro,0.12195651933333332,16.5496625,12.9184,0.4474728429000001,0.1436181598,3.488148625,3.18517925,155.57502575,85.425922,17,8.087018875,6.07735,7.375256750000001,4.76371,2.00025675,1.7637100000000003,4.067280875,2.943376,3.531180875,2.088755,0.8502792500000002,0.588755,0.46570675,0.25711,0.46570675,0.25711,0.14431349999999998,0.0,0.14431349999999998,0.0,0.036588125,0.0,0.036588125,0.0,25.0,24.0,0.9010412921,0.8062800802000001,0.25,0.75,2.0,-0.39,-0.6000000000000001,1.32239075,0.2447815,0.899683125,0.3993662500000001,0.7366705000000001,0.073341,1.0074821285666669,170.546071875,17.086166,0.120973069,0.021784196000000002,33.94136725,27.60713800000001,0.6429524999999999,-0.1071,56.28225,54.5485,61.663895125,61.016378,4.25,4.0,0.3392413258,0.09126777800000001,0.7577994016000001,0.6068665811999999,0.23425034460000002,0.0,17.9357372906,4.146784862,37.1783798386,33.0297939902,51.25299104159999,45.473750572,1.0,1.0,1.0437525083,0.994189173,0.2807635,0.195269,0.458803875,0.41760775,0.2828605545,0.0,23.54375,3.9475,14.805884625,13.60035525,17.605763125,10.114318,0.792731875,0.6128600000000001,0.52159175,0.38714,0.20726812500000005,0.02739625,0.47840825,0.3439565,0.0,0.0,26.732363374999995,16.011414000000002,0.0,0.0,5.679284374999999,1.24425075,0.20726812500000005,0.02739625,alkylsilane
3721,acetyl,carboxyl,pyrrole,0.1224767653,19.8004,14.0711,0.437114455,0.25075203500000004,3.717896625,3.4685120000000005,206.08596425,102.0393355,17,8.809715625,7.232680249999999,8.143324375,6.33943475,2.393324375,1.83943475,4.707226625,3.64971025,3.872665375,2.85090375,1.0584655,0.669717,0.5600438750000001,0.29787375,0.5600438750000001,0.29787375,0.202254,0.0,0.202254,0.0,0.0994775,0.0,0.0994775,0.0,28.0,24.0,0.9317666342,0.8745814800000001,0.25,0.75,1.75,-0.6000000000000001,-0.7200000000000001,0.462521375,0.39036075,1.2253995,0.9307989999999999,0.906682,0.293364,2.2176606245666672,287.6400895,42.630484,0.06401066009999999,0.009769808,38.869175875,30.83999575,0.7700600000000001,0.217,64.5425,55.023,70.29208100000001,59.526313,5.0,4.0,0.315973773,0.147097432,0.6993056391,0.515149886,0.0963348678,5.879e-06,30.174621510999998,7.610847892000001,50.83458789099999,45.634176034,80.2094699595,51.645545018,1.125,1.0,1.1733303404000002,1.0733699608,0.377571125,0.34794200000000003,0.7498466250000001,0.7322112500000001,0.0752150922,0.0,24.01625,15.79,19.389335375,17.27545375,17.982910999999994,12.052089,0.697219875,0.50402475,0.4657793750000001,0.40502075,0.204605875,0.109585,0.534220625,0.473462,0.09817425,0.0,27.795484,15.151021,2.775189375,0.0,6.8015729999999985,4.977003,0.302780125,0.109585,alkylsilane
31,cyano,cyano,fluorophenyl,0.09931480688,21.212,11.287,0.6821863690000001,0.364421865,3.616735,3.552734,227.774885,75.774438,17,8.5856045,5.207107,7.662589,4.447214,2.662589,1.447214,4.618043,2.56066,3.7062945,1.973607,1.2062945,0.473607,0.6503924999999999,0.111803,0.6503924999999999,0.111803,0.2972455,0.0,0.2972455,0.0,0.148623,0.0,0.148623,0.0,29.0,16.0,0.9761954525,0.952390905,0.5,0.5,0.0,-0.68,-0.85,0.7365794999999999,0.161141,1.1124835,0.4900000000000001,-1.7356035,-4.470784,1.7171435687400003,624.0011099999998,12.164797,1640.9698958689999,0.008005090999999999,40.754179,23.711683999999998,1.332,0.52988,70.55199999999998,38.029,75.5398635,41.026549,5.5,3.0,0.152411606,1.6376e-05,0.8475883940000001,0.6951931640000001,3.3885000000000007e-06,0.0,43.439838924499995,0.000187121,104.79669647,11.412437724,148.2365354035,11.412624869000002,0.5,0.0,1.1860351145,0.649821689,0.2804085,0.26526,0.7237165,0.447433,0.0,0.0,11.895,0.0,16.22296,15.412530999999998,23.118663,5.261892,0.9610695,0.9221389999999999,0.4813395,0.236009,0.0389305,0.0,0.5186605,0.27333,0.0,0.0,37.1464155,22.295281,0.0,0.0,2.1952075,0.0,0.0389305,0.0,alkylsilane
2018,ethylene,hydroxyl,cyano,0.11727803326666668,11.64695,11.287,0.7319390952,0.4639273175,3.6683684999999997,3.5527339999999996,78.64511725,75.774438,17,5.8190055,5.207107,5.325669,4.447214,1.325669,1.204124,2.88400975,2.56066,2.3898965,1.973607,0.4128345000000001,0.35206199999999993,0.08715149999999999,0.0625,0.08715149999999999,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.9839532065000002,0.967906413,0.5,0.5,1.0,-0.33,-0.51,0.09127275,0.021404500000000003,-6.330000000000001,-13.15,-29.7719305,-55.07307699999999,1.5921303122666668,21.6411755,12.164797,1641.3226374758005,0.7134883044999999,23.968190000000003,23.711684,0.4651400000000001,0.4004,35.02525,32.0215,39.03156575,37.0365825,2.75,2.5,0.12078649999999998,1.6376e-05,0.8792135012000001,0.7584433785,2.4128e-06,0.0,1.0193581235,0.00018712100000000005,10.130103395,8.847769066,11.149461512500002,10.886298155999999,0.5,0.0,0.6165624110000001,0.5833031329999999,0.33662025,0.295557,0.8552554999999998,0.710511,2.5000000000000005e-09,0.0,16.9525,10.115,13.7181895,10.40299,8.76689875,5.261892,0.907576,0.8151520000000001,0.3658655,0.236009,0.07219825,0.0,0.6341344999999999,0.504278,0.02022575,0.0,20.85008625,19.4048915,0.35779999999999995,0.0,1.277202,0.0,0.092424,0.0,alkylsilane
400,acetyl,phenol,phenyl,0.11452396226666668,27.8892,24.5994,0.356811544,0.250332171,3.85832025,3.680736,317.31915175,259.2114875,17,11.2941905,10.624279,10.704124,9.908248,3.204124,2.908248,6.179745999999999,5.684065999999999,5.266624,4.783248,1.539562,1.329124,0.8833120000000001,0.7666239999999999,0.8833120000000001,0.7666239999999999,0.4005155,0.301031,0.4005155,0.301031,0.20025775,0.1505155,0.20025775,0.1505155,34.5,33.0,0.9198201918000001,0.8715535209999999,0.5,0.5,0.0,-0.7174999999999999,-0.7799999999999999,0.68962425,0.6408174999999999,1.6319335,1.6057689999999998,0.94096425,0.582399,1.8034007951,1155.126234,1074.415045,0.0287494368,0.005967385,51.01242775,46.98874650000001,1.57149,1.14796,80.0655,76.054,87.556145,83.04969,6.5,6.0,0.3655637805,0.2408489620000001,0.6510463750000001,0.5097214010000001,0.102881971,6.923000000000001e-06,66.7177623047,48.0036222175,105.44635496149999,88.81879553200001,171.0102511213,167.7698043135,1.5,1.0,1.4603880047999998,1.4272176305000002,0.277821,0.158026,0.4884457500000001,0.15726600000000002,0.09692423900000001,0.0,9.325,0.0,13.178989,10.966069,36.3617555,30.096074,0.93516275,0.8703255,0.71823075,0.6410775,0.058717749999999985,0.0,0.28176925,0.204616,0.0061195,0.0,46.70710825,39.8207105,0.35779999999999995,0.0,2.47583625,0.0,0.06483725,0.0,alkylsilane
9392,phenyl,nitro,fluorophenyl,0.12045352166666667,24.310275,17.48355,0.4953011041,0.3645223030000001,3.72212925,3.680736,268.85073875,157.92614550000005,17,9.75657,7.549038,8.66287325,6.4477825,3.03787325,2.1977825,5.27590725,3.8763885,4.221524125,3.00406625,1.409024125,0.87906625,0.81590725,0.44283249999999996,0.81590725,0.44283249999999996,0.3597455,0.125,0.3597455,0.125,0.17987300000000006,0.0625,0.17987300000000006,0.0625,34.5,27.0,0.9585874090000001,0.9524160370000002,0.25,0.75,0.0,-0.7475,-0.85,1.648312875,1.312018,1.593204625,1.4514422500000002,1.097588375,0.999577,1.9384756353,778.805701625,321.77398025,0.08731077150000001,0.008007281,46.13052737500001,34.46438075,1.276275,0.41843,83.803125,64.53125,89.41555575,68.7779335,6.375,4.75,0.2478566086,0.1909878702,0.7521433914000001,0.6952746529999999,4.1764e-06,1.7628e-06,55.663531120600005,24.4595729432,125.7168062919,53.2026970898,181.38033740900002,77.662270046,1.0,1.0,1.4206850381,1.1190069572,0.28973000000000004,0.26526,0.43087475,0.4143165,0.0,0.0,16.1775,0.0,15.081304375,14.750077749999996,29.609015875,18.24259775,0.8158920000000001,0.709645,0.6079355,0.489201,0.184108,0.077861,0.3920645,0.27333,0.0,0.0,38.7022435,25.406937,0.0,0.0,5.98807675,4.390415,0.184108,0.077861,alkylsilane
8277,nitrophenyl,fluorophenyl,nitrophenyl,0.11188949473333336,35.32225,32.8111,0.4220552368000001,0.3875354765,3.738425375,3.70381175,434.272737625,401.5742942499999,17,12.94994575,12.358439499999998,11.43155525,11.0994005,4.43155525,4.0994005,7.2446035,6.903097,5.688840125000001,5.538925250000001,2.188840125,2.03892525,1.371316375,1.26191575,1.371316375,1.26191575,0.719420375,0.64446275,0.719420375,0.64446275,0.359710375,0.32223175,0.359710375,0.32223175,48.25,44.5,0.9642490126000002,0.9571492272,0.25,0.75,0.0,-1.18125,-1.38,1.802492375,1.5082077499999995,2.062696375,1.86605875,1.157861375,1.06289075,2.621547679166667,2267.806076125,1648.62488425,0.006789434100000001,0.006058726,64.351324,60.418534,1.9898075000000002,1.9032200000000001,119.95437499999998,109.82675,126.9247405,116.801803,9.25,8.5,0.2627858883,0.237622213,0.7372141118000001,0.7120504364999999,8.385e-06,7.308000000000003e-06,111.2345805749,96.6143258087,326.7370601652,249.6333733625,437.9716406851,346.24769913730006,1.625,1.25,1.9422962765,1.810336382,0.33554875,0.2933755,0.394531125,0.3627900000000001,0.0,0.0,26.962499999999995,10.785000000000002,25.961476625,19.63210925,36.999849625,34.614499,0.823189625,0.7638199999999999,0.595854375,0.517365,0.123681625,0.09618925,0.404145625,0.32565625,0.05312875,0.0212515,51.438855625,51.10363900000001,3.55461625,1.4218465,7.967854374999999,5.82139075,0.176810375,0.11744075,alkylsilane
4837,cyano,fluorophenyl,nitro,0.11780957686666667,19.54645,12.9184,0.6373535540999999,0.5233795822,3.71992675,3.6487355000000004,194.60051525000003,85.425922,17,8.176101625,6.07735,7.01699325,4.76371,2.51699325,1.7637100000000003,4.29505525,2.943376,3.330696625,2.088755,1.080696625,0.588755,0.5883986250000001,0.25711,0.5883986250000001,0.25711,0.222934125,0.0,0.222934125,0.0,0.11146725,0.0,0.11146725,0.0,29.75,24.0,0.9800572659000001,0.9643120278,0.25,0.75,0.0,-0.6825,-0.765,1.712149375,1.02429875,1.411862625,1.3999999999999997,0.5159933750000001,-0.36801325,1.4262337442333333,473.50271625,17.086166,414.7338641197,0.22016194200000005,38.44128225,27.60713800000001,0.81298,-0.1071,72.41475,58.01600000000001,76.906449375,61.016378,5.375,4.0,0.1599079182,0.09126777800000001,0.8400920817,0.7714519415000001,2.4712e-06,0.0,34.6487240755,4.146784862,96.427762248,41.326965687,131.0764863305,45.473750572,0.875,0.75,1.224240701,0.994189173,0.319546125,0.27283425,0.5427873750000001,0.5,0.0,0.0,24.54375,5.9475000000000025,15.91457975,15.8177455,21.08068325,10.114318,0.7772321249999999,0.6128600000000001,0.495572375,0.38714,0.2227678750000001,0.05839575,0.504427625,0.3959952500000001,0.0,0.0,30.291698375,16.011414000000002,0.0,0.0,6.703564625000001,3.29281125,0.2227678750000001,0.05839575,alkylsilane
9578,pyrrole,cyclopropyl,cyano,0.11148945616666668,15.7339625,11.287,0.5717847899,0.1436181598,3.3689566250000005,3.18517925,150.74928375,75.774438,17,7.651897375,5.207107,7.2170087500000015,4.447214,1.84200875,1.447214,3.875922875,2.56066,3.473606875,1.973607,0.79270525,0.4736070000000001,0.3930532500000001,0.111803,0.3930532500000001,0.111803,0.14431349999999998,0.0,0.14431349999999998,0.0,0.036588125,0.0,0.036588125,0.0,21.0,16.0,0.9031400401,0.8062800802000001,0.25,0.75,1.0,-0.34500000000000003,-0.51,0.20296125,0.161141,0.444683125,0.3993662500000001,-2.1987215,-4.470784,0.7761049629000001,168.085387375,12.164797,1658.4940137715,0.021784196000000002,31.99364025,23.711684,0.9614425,0.52988,46.28875,38.029,51.668980625,41.026549,3.75,3.0,0.2936155332,1.6193000000000002e-05,0.8034251941,0.6068665811999999,0.23425034460000002,0.0,15.8624374906,0.000185262,22.2256413721,11.421488754,34.2269527756,11.42167404,0.5,0.0,0.8716977012,0.650079559,0.245413,0.195269,0.7088038750000001,0.41760775,0.2828605545,0.0,13.86875,3.9475,15.316872124999998,13.60035525,15.179550125,5.261892,0.986301875,0.97260375,0.44602625,0.236009,0.013698125,0.0,0.55397375,0.3439565,0.0,0.0,29.874296875,22.295281,0.0,0.0,0.6221253750000001,0.0,0.013698125,0.0,alkylsilane
2173,ethylene,phenyl,ethylene,0.11986429926666667,19.698,15.871,0.4866278295000001,0.40786261,4.219821,4.040126,188.153172,125.728624,17,8.73205125,7.654700999999998,8.5,7.5,2.0,1.5,4.55940075,3.854059,4.0625,3.5,0.8125,0.5,0.3437500000000001,0.125,0.3437500000000001,0.125,0.125,0.0,0.125,0.0,0.0625,0.0,0.0625,0.0,22.5,18.0,0.9561960122,0.9279818485,0.5,0.5,0.0,-0.39,-0.52,0.2164145,0.042408999999999995,0.95644225,0.7399999999999999,-4.43401575,-6.106154,0.7780606553666667,346.512089,50.070311,0.17861661180000002,0.1210668695,35.6660435,29.209355,1.3929800000000003,1.1923,48.044,36.033,54.5508625,42.04695,4.0,3.0,0.2544231282,0.175804638,0.7455768755,0.6669583840000001,8.969e-06,8.287e-06,23.977069803200003,3.492125607,34.4874871788,16.377051061,58.4645569405,19.869176611,1.0,1.0,1.0045586595,0.8415587529999999,0.2126125,0.194417,0.355083,0.289144,7.500000000000001e-09,5.000000000000001e-09,0.0,0.0,8.90993125,8.224552000000001,25.2331115,19.435003,1.0,1.0,0.72583425,0.7026509999999999,0.0,0.0,0.27416575,0.2509825,0.0,0.0,34.14304275,27.659555,0.0,0.0,0.0,0.0,0.0,0.0,alkylsilane
