,terminal_group_1,terminal_group_2,terminal_group_3,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,frac-1,frac-2,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min,backbone
5428,difluoromethyl,amino,perfluoromethyl,0.16008456003333335,11.116025,10.50305,0.21284497040000008,0.190401295,3.840693875,3.66099575,62.228850875,56.94792675,17,6.654006249999999,6.3080125,5.516642875,5.133893,1.6416428749999998,1.14939275,3.135016,3.020032,2.46873175,2.3169470000000003,0.570821625,0.32469625,0.281430875,0.06510275,0.281430875,0.06510275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,17.0,0.8488835781999999,0.845637517,0.25,0.75,0.0,-0.1375,-0.21,1.110001,0.16615000000000002,-9.3332885,-19.815,-26.116525,-77.565,0.15622133946666664,19.723599125,18.14113925,0.150021086,0.010811013000000001,27.497288875,23.17886675,0.7838124999999999,-0.0009749999999999998,58.017,35.018,61.90368050000001,39.788676,3.75,2.5,0.5103529906000001,0.4869952122,0.6183701641,0.555608112,0.338410176,0.193066802,27.6533333394,3.9055487668,33.6528133089,13.7919862867,56.370355956400005,16.4248714157,0.5,0.0,0.8953786741000002,0.5919803511999999,0.5697466250000001,0.38947025,0.58291075,0.333333,0.5308571469,0.2641258258,9.7575,0.0,12.656784875,8.17310275,13.30054175,13.171245,0.7198955000000001,0.6435500000000001,0.53078625,0.43452700000000005,0.149145625,0.0,0.46921375,0.3729544999999999,0.130959,0.058159,18.8264925,13.517572,3.8883365,1.6003739999999995,3.242497625,0.0,0.28010450000000003,0.203759,alkylsilane
2029,ethylene,hydroxyl,perfluoromethyl,0.15259264676666665,11.86795,11.729,0.3271847708,0.190442224,3.9021974999999998,3.784003,74.51278575,67.509775,17,6.715452,6.430904000000001,5.6690085,5.133893,1.6690084999999997,1.204124,3.22867975,3.2073595000000004,2.5615665,2.3169470000000003,0.5845045,0.35206199999999993,0.28012950000000003,0.0625,0.28012950000000003,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,0.9068311725,0.845755932,0.5,0.5,0.0,-0.18000000000000002,-0.21,1.03762825,0.021404500000000003,-6.0007885000000005,-13.15,-14.870563499999998,-55.07307699999999,0.2570803795333333,26.211806500000005,21.306059,0.3621520758,0.010815846999999998,28.020203499999997,24.224696000000005,0.9845,0.4004,56.51874999999999,32.0215,60.52763375,37.0365825,3.75,2.5,0.387540458,0.24155662400000005,0.6570935898,0.555743801,0.2418578432,4.8255e-06,26.714781331999998,2.038529126,31.191122316999998,8.847769066,53.608265839,10.886298155999999,0.5,0.0,0.8910776275000001,0.5833031329999999,0.56385325,0.3776835,0.521922,0.333333,0.3986297465,5.000000000000001e-09,5.0575,0.0,13.7717285,10.40299,12.72157525,12.2719055,0.8056964999999999,0.7962409999999999,0.4651245,0.43452700000000005,0.07219825,0.0,0.5348755000000001,0.504278,0.12210525,0.0404515,21.77015225,19.4048915,3.4459495,0.7155999999999999,1.277202,0.0,0.1943035,0.184848,alkylsilane
4454,carboxyl,difluoromethyl,isopropyl,0.1422756157,16.298975,12.085950000000002,0.4805303605,0.389903409,4.75693225,3.9711385,119.76677,73.940077,17,9.473057125,6.94611425,8.8855355,5.771071,1.8855355000000005,1.7710709999999998,4.5289225,3.307845,4.181298625,2.61259725,0.6927675,0.6355350000000001,0.32108625,0.2671725,0.32108625,0.2671725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75,25.5,0.9729917152,0.961174912,0.25,0.75,0.0,-0.11875,-0.2375,0.364437375,0.12,1.8812500000000003,1.7625000000000002,0.8812500000000001,0.0,0.7337563525,168.485949625,24.891388249999995,0.0716787329,0.049062932000000004,35.558383375,29.23298475,1.3192875,0.976275,54.28125,48.044,61.30230625,58.07825,4.0,4.0,0.2238854831,0.17231958220000002,0.8759956506000001,0.8758800590000001,0.42807748240000004,0.3267220557,13.744147594600001,9.5940484403,52.75062897590002,48.53574346669999,60.2141465496,55.4050296932,0.5,0.0,1.1596235647,1.0598857675,0.3201275,0.123042,0.39970875,0.263646,0.5438784624,0.479497313,4.6625,0.0,13.60607625,13.504566500000001,20.325005875,14.20037775,0.7165813750000001,0.43316275,0.586157875,0.51366375,0.16345575,0.0,0.413842125,0.341348,0.11996325,0.0,26.074728624999995,11.99223725,3.325624125,0.0,4.530729375,0.0,0.28341862500000004,0.0,alkylsilane
6635,hydroxyl,nitro,difluoromethyl,0.15085444960000002,11.70125,11.678000000000004,0.6008851298,0.5474318770000001,3.8279265,3.635461,70.207366875,67.01955,17,6.429894625,5.859789250000001,5.27788675,4.7998445,1.6528867499999995,1.5498444999999998,3.0488485,2.847697,2.361311625,2.09465925,0.5602806250000001,0.49259725,0.22662175,0.1928325,0.22662175,0.1928325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.75,21.5,0.9838611906,0.9829540160000002,0.25,0.75,0.0,-0.30000000000000004,-0.46,1.2320875,0.664075,-1.925,-5.71,-11.550000000000002,-24.96,0.7343452842000001,18.580941375,15.85582375,0.2737992544,0.08373838299999999,27.285254375000005,25.51536275,0.5466,-0.1782,56.26624999999999,50.5145,59.89847212499999,53.76883725,3.75,3.5,0.1643968271,0.1450771502,0.8645353914,0.8549228498,0.191296297,0.0,6.852532289,3.2559790099999995,40.533785557600005,31.325304942300004,45.740407278,34.58128397,1.0,1.0,0.9438654308000002,0.8269136745000001,0.4797006250000001,0.40583325,0.5604015,0.495803,0.392362561,0.0,18.70625,0.0,13.51922425,11.884531,12.24783125,8.8629405,0.5327415,0.448262,0.465329625,0.36255325,0.34082812500000004,0.319103,0.534670375,0.431894,0.126430875,0.02022575,13.56552225,12.334927,3.3796480000000004,0.35779999999999995,8.82188525,8.78083,0.4672585,0.382779,alkylsilane
6237,fluorophenyl,isopropyl,ethylene,0.1193818975,19.519625,15.871,0.47405153520000004,0.3835581325,4.73837225,4.399516,172.433777125,125.728624,17,9.82286325,7.654700999999998,9.6097455,7.5,1.9847455000000003,1.5,4.91770775,3.854059,4.58612275,3.5,0.77362275,0.5,0.3517477500000001,0.125,0.3517477500000001,0.125,0.074311375,0.0,0.074311375,0.0,0.03715575,0.0,0.03715575,0.0,24.0,18.0,0.9716584996,0.9589851932,0.25,0.75,0.0,-0.23625,-0.26,0.23020675,0.042408999999999995,1.336870875,0.7399999999999999,-2.928129875,-6.106154,0.5214308293666666,296.545025,50.070311,0.1371814451,0.0387990193,37.53568,29.209355,1.4862775,1.1923,48.917375,36.033,56.55946600000001,42.04695,4.0,3.0,0.2295057649,0.17624165500000002,0.8272435898,0.8237584720000001,0.1985476256,1.8922000000000006e-05,19.318401163599997,3.499244941,54.32151062260001,16.361156508,69.9512238863,19.860399025,0.625,0.25,1.1082420071,0.8413722130000001,0.19470225,0.1585965,0.3653073750000001,0.30959275,0.1798116504,3.16e-07,0.0,0.0,11.179187125,8.224552000000001,24.7580435,19.435003,0.990267375,0.98053475,0.68915375,0.6756565,0.009732625,0.0,0.31084625,0.297349,0.0,0.0,35.38842875,27.659555,0.0,0.0,0.548801875,0.0,0.009732625,0.0,alkylsilane
7225,methoxy,ethylene,ethylene,0.11995561416666667,15.503750000000002,15.1365,0.5600418534,0.5555387688000001,4.31787875,4.2362415,119.538975125,113.34932625,17,7.661251750000001,7.654700999999998,7.488530999999999,7.477061999999999,1.488531,1.477062,3.83569,3.8173209999999997,3.488531,3.477062,0.4885310000000001,0.4770619999999999,0.12213275,0.11926549999999995,0.12213275,0.11926549999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,18.0,0.9838377661,0.9833437262000001,0.25,0.75,0.0,-0.2325,-0.26,0.046285875,0.042408999999999995,0.7675000000000001,0.7399999999999999,-8.72288475,-11.3396155,0.6404015085666667,47.24098975,44.4116685,0.2358578834,0.235563871,29.139130750000003,29.0689065,1.0760875,0.959875,36.5315,36.033,42.546314375,42.04695,3.0,3.0,0.1788439862,0.17624165500000002,0.8412091812000001,0.8237584720000001,0.043357144800000004,1.8922000000000006e-05,3.5683565172,3.499244941,16.7921445479,16.361156508,19.9481741522,19.860399025,1.125,1.0,0.8402740918000001,0.8391759704999999,0.21902262500000005,0.20723725,0.49339425,0.421022,0.07017355269999999,3.16e-07,1.15375,0.0,9.98404,8.224552000000001,17.597735500000006,15.760467999999998,0.978100375,0.9562007500000002,0.63671925,0.5707875,0.021899625,0.0,0.36328075,0.297349,0.0,0.0,26.989667625,26.31978025,0.0,0.0,0.5921078750000001,0.0,0.021899625,0.0,alkylsilane
6069,ethylene,toluene,isopropyl,0.15403750859999998,25.708375,20.512,0.3974979776,0.389903409,4.74087775,3.9390295,250.806638,165.593463,17,12.380875875,12.0,12.1875,12.0,2.6875,2.0,6.314289,5.75,5.9375,5.75,1.1875,0.75,0.671875,0.375,0.671875,0.375,0.234375,0.0,0.234375,0.0,0.1171875,0.0,0.1171875,0.0,31.0,26.0,0.9598030062,0.9584311005,0.25,0.75,0.0,-0.325,-0.65,0.379614875,0.12,1.76123225,1.5224645,-0.37392025,-0.7478405,0.7287833154666666,1539.7285600000002,312.080511,0.056936484400000015,0.049062932000000004,48.672182375,41.883782,1.8439775,1.6623,64.559125,48.044,74.0743375,58.07825,5.375,4.0,0.27706231400000003,0.275451384,0.8029619419,0.7300438248000001,0.3163760699,0.1033192307,42.5972715032,17.894246749,104.7294975076,56.965514485,141.17444048049998,65.023263406,0.875,0.0,1.3941292399,1.259361362,0.14649262500000002,0.123042,0.237434125,0.21122225,0.2631190901,0.0467408672,0.0,0.0,13.022206375,12.33682675,34.029328125,26.449634000000003,1.0,1.0,0.710184625,0.658652,0.0,0.0,0.28981537500000004,0.23828275,0.0,0.0,47.0515345,40.15722,0.0,0.0,0.0,0.0,0.0,0.0,alkylsilane
6335,fluorophenyl,perfluoromethyl,isopropyl,0.14672912993333334,18.5465,16.581,0.311917478,0.233931547,4.739102,3.935478,155.584813625,145.57616425,17,10.12051275,8.241025500000001,9.284955375,6.569910750000001,2.284955375,2.0,4.92817825,4.1063565,4.423727875,3.09745575,0.923727875,0.75,0.522782375,0.375,0.522782375,0.375,0.074311375,0.0,0.074311375,0.0,0.03715575,0.0,0.03715575,0.0,30.25,26.0,0.9167535295,0.8723321470000002,0.25,0.75,0.0,-0.185,-0.37,0.99419675,0.12,1.6475295,1.295059,9.624428375,0.0,0.7538612927666666,318.5097055,312.080511,0.029586506000000002,0.01011008,40.097366875,38.31095175,1.6861400000000002,1.6623,67.287375,48.044,74.302779125,58.07825,4.875,4.0,0.3759578988,0.275451384,0.7332024031000001,0.5905247472,0.4461248595,0.36281681,39.080978753800004,17.894246749,73.32923680340001,56.965514485,104.2673724859,65.023263406,0.125,0.0,1.2945174447,1.259361362,0.375937125,0.123042,0.312752,0.263646,0.538844332,0.479497313,0.0,0.0,15.208034500000002,13.707586,23.285963125,20.12229225,0.91385775,0.8277154999999999,0.583107375,0.5075627500000001,0.009732625,0.0,0.416892625,0.341348,0.07640962500000001,0.0,35.629083625,31.10094725,2.316112125,0.0,0.548801875,0.0,0.08614225000000003,0.0,alkylsilane
3167,methyl,toluene,perfluoromethyl,0.1717561937,17.6805,11.729,0.1834011018,0.1763599795,3.9616775,3.9029629999999997,150.66155025,67.509775,17,8.866025500000003,7.0,7.8169464999999985,5.133893,2.3169465,2.133893,4.40918775,3.25,3.7209735,2.3169470000000003,0.9709735,0.816947,0.5613794999999999,0.497759,0.5613794999999999,0.497759,0.15625,0.0,0.15625,0.0,0.078125,0.0,0.078125,0.0,30.0,28.0,0.73286447,0.619973008,0.5,0.5,0.0,-0.30000000000000004,-0.39,1.2364685,0.419085,1.020033,0.8916430000000001,12.925541,0.5191319999999999,0.3630419926,934.265888,21.306059,0.0837605332,0.010815847,37.8441075,31.815711,1.61671,1.5686,70.5355,60.055,76.0406425,68.0626,5.0,5.0,0.5839826103,0.5335242920000001,0.6976444408,0.555743801,0.3887489672,0.2937870735,48.642495393500006,45.893957248999996,77.064085732,53.53447556800001,119.80156697049999,96.33023352200001,0.75,0.0,1.1775314797,1.1562108375,0.454092,0.158161,0.32698875,0.3206445,0.6533074597,0.5093554315000001,0.0,0.0,14.0532675,10.966068,22.261659,13.171245,0.8981205,0.796241,0.56884875,0.4345270000000001,0.0,0.0,0.43115125,0.2968295,0.1018795,0.0,33.226777,24.135413,3.0881495,0.0,0.0,0.0,0.1018795,0.0,alkylsilane
1619,cyclopropyl,perfluoromethyl,carboxyl,0.13719763650000005,14.18665,13.3098,0.39599915880000003,0.1490560505,3.68947075,3.5555635000000003,113.6252665,94.701658,17,7.642228499999999,6.7844570000000015,6.69172175,5.816497000000001,1.94172175,1.816497,3.8031900000000003,3.48138,3.11248525,2.566497,0.78336075,0.6582479999999999,0.42441825,0.287457,0.42441825,0.287457,0.0625,0.0,0.0625,0.0,0.0078125,0.0,0.0078125,0.0,26.0,24.0,0.9024811888,0.8145549645,0.5,0.5,0.0,-0.3175,-0.53,0.772137,0.443274,1.07766125,0.6853225000000001,7.0679875,1.47,0.725272237,86.76472075,35.647376,0.0722514995,0.018300519,32.35418075,29.766501,0.791675,0.09090000000000002,60.275,56.02,65.03088575,60.021129,4.25,4.0,0.35769727030000004,0.137858338,0.7394818803000001,0.5967674025,0.3569919555,0.15909481,22.541278410700002,7.01852079,42.205035187,39.459230374,59.5068571728,50.948936106000005,0.75,0.5,1.086800023,1.057355523,0.4276742500000001,0.408148,0.4864175,0.317158,0.4276410960000001,0.078576664,18.65,0.0,16.20897025,14.053267499999999,14.61740875,9.903345,0.64299275,0.387865,0.4586032500000001,0.35033699999999995,0.17516849999999998,0.0,0.54139675,0.43313050000000003,0.18183875,0.1018795,20.63037925,10.964168,5.24432725,3.0881495,4.9516725,0.0,0.35700724999999994,0.1018795,alkylsilane
