,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min,COF-std,intercept-std
5608,ethylene,nitro,ethylene,alkylsilane,0.25,0.75,0.1070898978,14.763775,13.65655,0.6351320532,0.565393049,4.17136675,3.9432175,110.61511075,95.5015975,17,7.063194374999999,6.47168775,6.47389125,5.4477825,1.59889125,1.5,3.5125528749999995,3.17104675,2.970783125,2.44156625,0.5332831250000001,0.5,0.17454125,0.125,0.17454125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.25,18.0,0.9886815471,0.984410176,0.0,-0.3875,-0.515,0.9265056250000002,0.042409,0.9875000000000002,0.7399999999999999,-3.29134625,-6.106154,1.3917432403666667,37.701256625,25.332202250000005,0.2302006065,0.224234859,28.608523625,28.00769225,0.705025,0.21775,44.276625,36.033,49.1604855,42.04695,3.375,3.0,0.1441002788,0.1123959195,0.8558997244000001,0.8241953670000001,6.0319000000000015e-06,2.4128e-06,3.7377825907,3.492125607,25.7381927354,16.377051061,29.4759752834,19.869176611,1.0,1.0,0.8988500016000001,0.8415587529999999,0.28160175,0.230808,0.45063875,0.421022,6.2e-09,2.5e-09,16.1775,0.0,11.14462525,8.224552000000001,15.939746125,12.444489249999998,0.8548224999999999,0.709645,0.5843343750000001,0.46601775,0.1451775,0.0,0.4156656250000001,0.297349,0.0,0.0,23.291502125000004,18.92344925,0.0,0.0,3.79286925,0.0,0.1451775,0.0,0.0097581782331877,0.692801829214512
4470,cyano,ethylene,cyano,alkylsilane,0.25,0.75,0.1066383715666666,13.005999999999998,11.287,0.8369916890000001,0.674032505,3.87027725,3.552734,94.50725775,75.774438,17,6.12495475,5.207107,5.5920087500000015,4.447214,1.46700875,1.447214,3.045684625,2.56066,2.546004375,1.973607,0.483504375,0.4736070000000001,0.116751875,0.111803,0.116751875,0.111803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,16.0,0.9941538160000002,0.988307632,0.0,-0.41625,-0.51,0.1166165,0.0720919999999999,0.5837500000000001,0.49,-5.08404775,-5.6973115000000005,1.0663852527333333,26.37936475,12.164797,2051.2959290371,820.6600714273,25.773310625000004,23.711684,0.7782874999999999,0.52988,37.2805,36.532,41.409199375,41.026549,3.0,3.0,0.0659369742999999,1.6376e-05,0.9340630276,0.8681424312,3.6191e-06,0.0,1.3096640532,0.000187121,13.2741677254,11.412437724,14.5838317723,11.412624869000002,0.375,0.0,0.7217230880000001,0.649821689,0.271276125,0.24699525,0.7828832499999999,0.5657665,3.8e-09,0.0,14.86875,5.947500000000002,13.730075125,10.42676125,10.576808625,5.261892,1.0,1.0,0.41099975,0.236009,0.0,0.0,0.58900025,0.4140095,0.0,0.0,24.30688375,22.295281,0.0,0.0,0.0,0.0,0.0,0.0,0.0096565077049092,0.2234187922412752
2883,methyl,phenyl,carboxyl,alkylsilane,0.5,0.5,0.10886021865,17.286650000000005,13.309799999999996,0.3842465785,0.12555089,3.836971,3.823378,156.58497675,94.701658,17,8.133253999999999,6.7844570000000015,7.5332485,5.816496999999999,2.0332485,1.816497,4.222046499999999,3.48138,3.5332485,2.566497,0.8291240000000001,0.6582479999999999,0.3937285,0.2874569999999999,0.3937285,0.2874569999999999,0.125,0.0,0.125,0.0,0.0625,0.0,0.0625,0.0,24.5,24.0,0.7856283248000001,0.5808492364999999,0.0,-0.46,-0.5300000000000001,0.40624475,0.3692155,1.13644225,0.8028845000000001,0.88059975,0.2911995,1.5857935488,332.1095585,35.647376,0.1409729587999999,0.12620248,34.52578175,29.766501,0.800755,0.0909,55.03475000000001,54.0495,60.537952,60.021129,4.25,4.0,0.4305170157999999,0.137858338,0.8136015215000001,0.745006685,0.1919579018,0.15909481,25.6694655295,7.018520789999998,45.502683298,44.95084,69.8763126785,50.948936106000005,1.0,1.0,1.0406237598,1.0238919965,0.28524725,0.1623464999999999,0.492155,0.328633,0.2784080682,0.078576664,18.65,0.0,13.9799915,9.59531,19.034477750000004,9.903345,0.6939325,0.387865,0.53024825,0.3503370000000001,0.1751685,0.0,0.46975175,0.2898405,0.130899,0.0,24.36254425,10.964168,3.7002525,0.0,4.9516725,0.0,0.3060675,0.0,0.0094337499738518,0.4125874210664296
9059,phenyl,nitrophenyl,fluorophenyl,alkylsilane,0.25,0.75,0.1126992548,33.6534,31.137,0.3848891740999999,0.364421865,3.715349625,3.680736,411.930210875,379.775332,17,12.55560825,11.964102000000002,11.28787325,10.877964,4.16287325,3.877964,7.016932499999999,6.675425999999999,5.627774124999998,5.438982,2.065274125,1.938982,1.274759875,1.188982,1.274759875,1.188982,0.6576372500000001,0.594491,0.6576372500000001,0.594491,0.328818875,0.297246,0.328818875,0.297246,45.0,42.0,0.94942244,0.9464539750000002,0.0,-1.04,-1.23,1.53460425,1.312018,1.915454875,1.734967,1.042400375,0.999577,2.2924291016,1855.018614875,1235.837423,0.0070233878,0.0060416845,61.384393375,57.796674,2.030145,1.92617,110.827875,103.075,117.92729325,110.053178,8.625,8.0,0.302687123,0.30056741,0.697312877,0.6951931640000001,7.6724e-06,6.777000000000001e-06,101.271435066,86.879490728,261.7387779749,198.180955216,363.0102130077,285.060445938,1.375,1.0,1.8257881645,1.72224854,0.294029,0.26526,0.379421,0.311409,0.0,0.0,16.1775,0.0,21.186090625,15.412531,38.79658375,36.6177335,0.872502,0.8228649999999998,0.6567698750000001,0.58686975,0.09562075,0.077861,0.343230125,0.27333,0.03187725,0.0,51.861827875,51.72610575000001,2.13276975,0.0,5.98807675,4.390415,0.127498,0.077861,0.001025707697963,0.0089050795700053
6035,fluorophenyl,phenyl,phenol,alkylsilane,0.25,0.75,0.1168172906333333,32.00615,31.168500000000005,0.3193755563,0.2788545945,3.676777,3.672818,385.442276,376.513945,17,12.317655,11.964102000000002,11.6263695,11.344491,3.751369500000001,3.5944910000000005,6.944428500000001,6.675425999999999,5.7673087500000015,5.6722455,1.87568475,1.7972454999999998,1.12568475,1.0472455,1.12568475,1.0472455,0.562842375,0.52362275,0.562842375,0.52362275,0.28142125,0.2618115,0.28142125,0.2618115,39.75,37.5,0.9216315465,0.8917628670000001,0.0,-0.88875,-0.98,0.965920875,0.8818277499999999,1.6421322500000002,1.6380685,0.80787625,0.6866935000000001,2.4503437220666666,1660.5438525,1235.837423,0.0072618462,0.0064768115,57.821631625,55.72625025,1.8652075,1.70062,94.45125,88.8265,102.30887975,96.5602445,7.625,7.25,0.3757492911,0.307587924,0.6265339518999999,0.5560893417,0.0590777993,6.8865e-06,86.2182855495,85.793799476,156.2554536555,116.159335453,241.8307492896,201.9531349312,1.5,1.0,1.6414066056,1.5507309193,0.28785475,0.1848345,0.453622375,0.22980775,0.0111587255,0.0,10.115,0.0,14.42685325,12.077684499999998,41.954131625,41.693827,0.934340875,0.8881469999999999,0.7456442500000001,0.713083,0.053420125,0.01946525,0.25435575,0.2217945,0.012239,0.0,52.56217899999999,51.929841,0.7155999999999999,0.0,3.103205875,1.09760375,0.065659125,0.01946525,0.0117011180930636,0.3708459258501705
1278,cyano,toluene,ethylene,alkylsilane,0.5,0.5,0.1187793922333333,19.73625,15.871,0.6206718303000001,0.565393049,4.034325,3.669134,183.3371405,125.72862399999998,17,8.74515275,7.654700999999999,8.3618035,7.5,2.1118035,1.5,4.53888225,3.854059,3.99340175,3.5,0.86840175,0.5,0.40295075,0.125,0.40295075,0.125,0.15625,0.0,0.15625,0.0,0.078125,0.0,0.078125,0.0,23.5,18.0,0.979655354,0.974900532,0.0,-0.4525000000000001,-0.645,0.27103225,0.042409,0.9383215,0.7400000000000001,-3.911207000000001,-6.106154,0.9402868656833332,946.3626985,50.070311,820.6030025760001,0.236166354,36.58534650000001,29.209355,1.30448,1.1922999999999997,51.54575,36.03300000000001,57.79967475,42.04695,4.25,3.0,0.1661086802,0.1564127225,0.8367931375000001,0.8241953670000001,0.0344895963,9.651e-06,23.8908586717,3.492125607,60.5159184945,16.377051061,83.585024589,19.869176611,1.0,1.0,1.022783814,0.8415587529999999,0.226707,0.222606,0.49583325,0.421022,0.0155579844999999,1e-08,5.947499999999999,0.0,11.7975195,8.224552000000001,23.283065,19.435003,1.0,1.0,0.60567925,0.5087075,0.0,0.0,0.39432075,0.297349,0.0,0.0,35.08058449999999,27.659555,0.0,0.0,0.0,0.0,0.0,0.0,0.0134390937085257,0.3283982041297679
4608,cyano,nitrophenyl,isopropyl,alkylsilane,0.25,0.75,0.1173551963666666,25.8544,20.512,0.4921924994,0.39162384,4.630344375,3.71796275,267.382729125,165.593463,17,11.728932875,11.457865750000002,10.967293,9.934586,2.967293,2.0,6.039873750000001,5.75,5.311234,4.8724680000000005,1.311234,0.75,0.75674425,0.375,0.75674425,0.375,0.29789175,0.0,0.29789175,0.0,0.148945875,0.0,0.148945875,0.0,34.5,26.0,0.9700271204,0.961488646,0.0,-0.58125,-1.1625,0.8664339999999999,0.12,1.90850025,1.8170005,-0.0890359999999999,-0.1780719999999999,0.6864592900333334,1240.181080625,312.080511,410.2683819805,0.049267461,49.51239425,41.883782,1.6110924999999998,1.5598850000000002,77.556375,48.044,85.560322875,58.07825,6.125,4.0,0.2261750671,0.1780018542999999,0.8494120679,0.8219981458,0.264431648,6.837000000000001e-06,56.0728331596,17.840215733,181.51436166840003,57.083712055,232.6691830923,65.087904372,0.75,0.0,1.4891675703,1.259941524,0.240111375,0.123042,0.39286925,0.263646,0.239379753,0.0,19.15125,0.0,21.092033125,13.707586,26.862990625,26.449634000000003,0.9114325,0.8228649999999998,0.5528390000000001,0.447026,0.05669025,0.0,0.447161,0.341348,0.03187725,0.0,42.02938475,40.15722,2.13276975,0.0,3.79286925,0.0,0.0885674999999999,0.0,0.0147675400674292,0.5652647830046402
7063,methoxy,pyrrole,cyano,alkylsilane,0.25,0.75,0.1148458956,16.8337625,11.287,0.6601104054,0.3202699378,3.5453612500000005,3.5379884999999995,163.7133705,75.774438,17,7.4619735,5.207107,6.87984325,4.447214,2.00484325,1.447214,3.905497,2.56066,3.248244625,1.973607,0.8305397500000001,0.4736070000000001,0.3769894999999999,0.111803,0.3769894999999999,0.111803,0.1516905,0.0,0.1516905,0.0,0.074608125,0.0,0.074608125,0.0,22.5,16.0,0.9504849324,0.9009698648,1.0,-0.53,-0.55,0.29025425,0.161141,0.714049625,0.49,-5.5053805,-6.539977,1.5641817350333334,209.25550175,12.164797,1640.9993361209,0.0668855948,33.023670625,23.711684,0.7939350000000001,0.52988,51.790375,38.029,56.665201,41.026549,4.125,3.0,0.2065002454,1.6376e-05,0.8135466586000001,0.6271096932,0.043375735,0.0,20.2857900126,0.000187121,29.1837614249,11.412437724,49.0575036965,11.412624869000002,0.625,0.0,0.9064002458,0.649821689,0.295322375,0.29508775,0.91280575,0.8256114999999999,0.070116527,0.0,18.97,14.15,19.367957875,17.033389,12.190703750000004,5.261892,0.937006,0.8740120000000001,0.337355875,0.236009,0.062994,0.0,0.662644125,0.56129725,0.0,0.0,29.100177625,22.295281,0.0,0.0,2.458484,0.0,0.062994,0.0,0.0078218279299283,0.23268772510835
8332,perfluoromethyl,methyl,carboxyl,alkylsilane,0.25,0.75,0.1127827043333333,12.376525,11.44325,0.3455650149,0.0481877628,3.921885,3.823378,78.8557165,63.009775,17,6.892228499999999,6.784457000000001,6.174985125,5.816497000000001,1.549985125,1.28347325,3.3656899999999994,3.25,2.7916168750000003,2.566497,0.5249923750000001,0.39173675,0.205948375,0.12443975,0.205948375,0.12443975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,18.5,0.7097275550000001,0.429047697,0.0,-0.29125,-0.53,0.4783685,0.443274,0.878552875,0.28710575,3.90149375,1.47,1.0339714939,28.4767175,21.306059,0.1790230296,0.12620248,27.685470375000005,25.60443975,0.6263500000000001,0.0909,47.14525,38.2705,51.780506375,43.53988375,3.375,2.75,0.494147001,0.137858338,0.8781756425,0.8741549270000001,0.3086244116,0.15909481,11.136483892,7.01852079,30.4010760685,15.851312137,38.7745024581,26.6000688103,0.875,0.75,0.8863688820000001,0.7153822409999999,0.360327,0.312506,0.557005125,0.4583332500000001,0.4976253724000001,0.078576664,18.65,0.0,14.409101500000002,10.45353,11.736997125,9.903345,0.6684626250000001,0.387865,0.463835,0.3503369999999999,0.1751684999999999,0.0,0.536165,0.422667,0.156368875,0.05093975,16.72213625,10.964168,4.472289875,1.54407475,4.9516725,0.0,0.331537375,0.05093975,0.0098950573737342,0.1370868250600304
701,carboxyl,cyano,ethylene,alkylsilane,0.5,0.5,0.11045244515,14.0847,12.2984,0.6934198095,0.565393049,4.043786,3.688056,105.483336,85.23804799999999,17,6.8252415,5.995781999999998,6.31592775,5.1318555,1.5659277500000002,1.5,3.4375395,3.02102,2.885026,2.270052,0.53296375,0.5,0.162315,0.125,0.162315,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,0.9898069412,0.984410176,0.0,-0.3900000000000001,-0.52,0.1723082499999999,0.042409,0.86,0.7400000000000001,-3.803273,-6.106154,0.9424831983833334,36.98819875,23.9060865,820.6325804587,0.236166354,27.97422375,26.7390925,0.7513449999999998,0.31039,41.52875,36.03300000000001,46.2853945,42.04695,3.25,3.0,0.1223709975,0.068937357,0.882642679,0.8241953670000001,0.039778528,9.651e-06,3.5007397813,3.492125607,22.2793449615,16.377051061,25.5249785493,19.869176611,0.75,0.5,0.8475736795000001,0.8415587529999999,0.2913302500000001,0.230808,0.62443025,0.421022,0.019644171,1e-08,15.272500000000004,0.0,12.961791500000002,8.224552000000001,13.50881075,7.5826185,0.84696625,0.6939325,0.497912,0.293173,0.08758425,0.0,0.502088,0.297349,0.0654495,0.0,22.14463975,16.629724500000005,1.85012625,0.0,2.47583625,0.0,0.15303375,0.0,0.0064260612639815,0.234697744959841
