,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min
1437,cyclopropyl,nitro,ethylene,alkylsilane,0.5,0.5,0.14373869560000002,15.7646,15.6582,0.4974549255,0.42951680200000003,3.92022125,3.4409264999999998,133.61778625,125.728624,17,7.846688,7.654700999999998,7.440927499999999,7.381855000000002,1.6909275,1.5,3.9128735,3.854059,3.52218875,3.5,0.64718875,0.5,0.2830275,0.125,0.2830275,0.125,0.0625,0.0,0.0625,0.0,0.0078125,0.0,0.0078125,0.0,21.0,18.0,0.936993712,0.8895772479999999,0.0,-0.28,-0.30000000000000004,0.6582414999999999,0.042408999999999995,0.7755555000000001,0.74,-2.703077,-6.106154,0.7145604273750001,92.921215,50.070311,0.17959389820000002,0.1230214425,31.023464500000006,29.209355,0.92345,0.6546000000000001,44.5315,36.033,50.2932195,42.04695,3.5,3.0,0.26610426730000003,0.175804638,0.7987305145,0.773265662,0.15652166080000002,9.651e-06,8.967125159,3.492125607,24.869545706999997,16.377051061,31.2562456457,19.869176611,1.0,1.0,0.9277724615,0.8415587529999999,0.243063,0.23080799999999999,0.41075675,0.4004915,0.189037897,1e-08,10.785,0.0,10.8566465,8.224552000000001,18.619006,17.803009,0.903215,0.8064300000000001,0.6229135,0.543176,0.096785,0.0,0.3770865,0.297349,0.0,0.0,26.947073,26.234591,0.0,0.0,2.5285795,0.0,0.096785,0.0
6716,isopropyl,phenyl,cyclopropyl,alkylsilane,0.25,0.75,0.143462723,23.455125,18.398,0.1965677512,0.107906868,3.61848425,3.090735,260.278226375,197.587975,17,10.98653825,10.0,10.8125,10.0,2.5625,2.0,5.72203475,5.0,5.375,5.0,1.25,1.0,0.734375,0.625,0.734375,0.625,0.3125,0.25,0.3125,0.25,0.109375,0.03125,0.109375,0.03125,28.75,24.0,0.838763692,0.7835129470000001,0.0,-0.29250000000000004,-0.585,0.365985625,0.148148,0.963274375,0.222222,0.218399625,0.0,0.5532865068666667,629.6781335,254.458072,0.0212665707,0.0167441495,44.90801862499999,38.06801,1.6640700000000002,1.4163000000000003,61.556375,48.044,69.81455625,56.0626,5.125,4.0,0.5289052081000001,0.4364739562,0.6193988588,0.6013589045000001,0.3785145708,0.1323635155,46.621067913199994,24.720121249,53.11259458290001,25.361392070999997,93.3559321252,39.785177048,0.875,0.75,1.2341298955,1.033324218,0.146829,0.144378,0.242422,0.183861,0.43708457009999996,0.1198743282,0.0,0.0,11.308758125000002,10.966068,32.037343125,25.4917,1.0,1.0,0.7302065,0.6992119999999998,0.0,0.0,0.2697935,0.23879899999999998,0.0,0.0,43.34610125,36.457768,0.0,0.0,0.0,0.0,0.0,0.0
9039,phenyl,methyl,isopropyl,alkylsilane,0.25,0.75,0.15114575113333334,18.408875,16.30575,0.2265293449,0.0631552808,4.739102,3.935478,152.791249125,139.98903525,17,10.12051275,8.241025500000001,10.0625,8.125,1.8125,1.625,4.92817825,4.1063565,4.8125,3.875,0.6875,0.625,0.3125,0.25,0.3125,0.25,0.0625,0.0,0.0625,0.0,0.03125,0.0,0.03125,0.0,22.75,19.5,0.6982424911999999,0.4353100705000001,0.0,-0.0975,-0.195,0.152303875,0.12,1.200721125,0.40144225,0.072799875,0.0,0.6645195865333333,318.5097055,312.080511,0.1399551184,0.049062932000000004,36.646660625,31.409539250000005,1.4653525,1.268405,43.539875,39.03575,51.81455625,45.5508625,3.625,3.25,0.5575730954,0.275451384,0.8693996038000001,0.8629191485000001,0.4341053838,0.33877785850000003,20.8244610467,17.894246749,40.8197972634,24.6740800418,55.5479004574,46.0725375087,0.5,0.0,1.0241343315,0.7889073010000001,0.143774375,0.123042,0.33898125,0.263646,0.5985451468999999,0.479497313,0.0,0.0,11.308758250000002,8.9099305,23.692165625,20.93469725,1.0,1.0,0.6630996250000001,0.658652,0.0,0.0,0.3369003750000001,0.33245275,0.0,0.0,35.000923875,29.84462775,0.0,0.0,0.0,0.0,0.0,0.0
1291,cyclopropyl,cyclopropyl,cyclopropyl,alkylsilane,0.5,0.5,0.17488311346000002,18.398,18.398,0.107669877,0.107669877,3.090735,3.090735,197.587975,197.587975,17,10.0,10.0,10.0,10.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,1.0,0.625,0.625,0.625,0.625,0.25,0.25,0.25,0.25,0.03125,0.03125,0.03125,0.03125,24.0,24.0,0.7833539970000001,0.7833539970000001,0.0,0.0,0.0,0.14814799999999995,0.14814799999999995,0.22222199999999998,0.22222199999999998,0.0,0.0,0.293948052,254.45807200000002,254.45807200000002,0.02578519100000001,0.02578519100000001,38.06801000000001,38.06801000000001,1.4163,1.4163,48.04399999999999,48.04399999999999,56.06259999999999,56.06259999999999,4.0,4.0,0.6215481130000001,0.6215481130000001,0.6377910040000001,0.6377910040000001,0.6260673409999999,0.6260673409999999,24.737038525,24.737038525,25.38398518,25.38398518,39.79932295700001,39.79932295700001,1.0,1.0,1.0336369239999998,1.0336369239999998,0.14437800000000006,0.14437800000000006,0.300983,0.300983,0.7561515679999999,0.7561515679999999,0.0,0.0,10.966068000000002,10.966068000000002,25.491700000000005,25.491700000000005,1.0,1.0,0.6992120000000001,0.6992120000000001,0.0,0.0,0.30078799999999994,0.30078799999999994,0.0,0.0,36.457768,36.457768,0.0,0.0,0.0,0.0,0.0,0.0
1702,difluoromethyl,nitrophenyl,difluoromethyl,alkylsilane,0.5,0.5,0.13622923725000002,18.21685,11.677999999999999,0.5245394042,0.5020366875,3.95855375,3.8967155,167.00745775,67.01955,17,8.635363,7.0,7.25787425,5.755929,2.50787425,1.755929,4.3340275,3.25,3.43066175,2.627964,1.05566175,0.6279640000000001,0.5654874999999999,0.260411,0.5654874999999999,0.260411,0.1985945,0.0,0.1985945,0.0,0.09929725,0.0,0.09929725,0.0,32.5,26.0,0.9800423505,0.977168498,0.0,-0.45,-0.76,1.0222505,0.664075,1.9598335,1.86,1.7082080000000002,1.556416,0.6599256010416668,737.72636125,21.306059,0.0642349698,0.044845463499999995,38.862388,29.055146,1.429355,1.2714,79.03399999999998,62.018,83.78299975,66.02810699999999,5.5,4.0,0.1972701988,0.183916816,0.8461045085000001,0.81829289,0.2868969222,0.1912676535,39.2807765623,10.460855947,138.3284656205,49.730442227,175.1416643175,56.901194381,1.25,1.0,1.3142649453,1.060825174,0.5096065,0.465645,0.46254975,0.4292965,0.5880711248,0.3920474165,10.785,0.0,16.98610925,11.884531,20.37816625,15.632722,0.5271515,0.448262,0.55542075,0.5427354999999999,0.27712075,0.23513850000000006,0.44457925,0.431894,0.1957285,0.158821,22.027105,12.334927,6.2229685,6.044441,9.114202,8.78083,0.4728485,0.393959
2103,fluorophenyl,methoxy,isopropyl,alkylsilane,0.5,0.5,0.13625620473333336,21.2735,20.512,0.4191347075,0.39162384,4.6281514999999995,3.7135769999999995,196.79342275,165.593463,17,10.91780225,9.8356045,10.571553,9.143106,2.3215529999999998,2.0,5.47063325,5.1912665,5.0868075,4.423615,0.9618075,0.75,0.510261,0.375,0.510261,0.375,0.14862275,0.0,0.14862275,0.0,0.0743115,0.0,0.0743115,0.0,28.5,26.0,0.9639461188,0.961488646,0.0,-0.2225,-0.445,0.4063605,0.12,1.6737417500000005,1.3474834999999998,-6.51010575,-13.0202115,0.6176391096833334,471.8585465,312.080511,0.08619665680000001,0.049267461000000005,42.55294975,41.883782,1.4303299999999999,1.19836,59.79600000000001,48.044,68.06288575,58.07825,4.75,4.0,0.2625956312,0.25084298250000003,0.8530853118,0.8293446335,0.3511768195,0.17349718,31.6517213693,17.840215733,83.0382896593,57.083712055,108.9479038115,65.087904372,0.75,0.0,1.2686405265,1.259941524,0.16196725,0.123042,0.49368125,0.263646,0.3796128070000001,0.280466108,2.3075,0.0,16.28203975,13.707586,24.65289125,22.8561485,0.9367355,0.8734709999999999,0.5547927500000001,0.4509334999999999,0.0632645,0.0,0.44520725,0.341348,0.0,0.0,38.6531115,37.149003,0.0,0.0,2.2818195,0.0,0.0632645,0.0
108,acetyl,ethylene,difluoromethyl,alkylsilane,0.5,0.5,0.13626629134999999,13.8955,11.678,0.5565406518,0.547042121,4.20982275,4.020392,95.955023,67.01955,17,7.55801275,7.0,6.7300265,5.755929,1.7300265,1.7041240000000002,3.62719,3.25,3.1150130000000003,2.627964,0.6150129999999999,0.602062,0.2437365,0.22706199999999999,0.2437365,0.22706199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,21.0,0.9837290202,0.982916203,0.0,-0.2175,-0.295,0.400545,0.137015,1.5325,1.205,-0.1790385,-2.218077,0.30322644945,39.06555925,21.306059,0.1246078505,0.083624476,30.34503175,29.055146,1.0826,0.8938,53.02525,44.0325,58.03625725,50.0444075,3.75,3.5,0.17943706750000002,0.17495731899999994,0.8649479392,0.8559797515,0.2646068398,0.14668748850000002,8.4445775783,6.4282992095,40.9085481098,32.0866539925,46.875702588,36.850210795,1.25,1.0,1.0213905175,0.981955861,0.43557525,0.3175825,0.5936104999999999,0.495803,0.4833922953,0.1826897575,4.2675,0.0,11.5003525,11.116174,17.299692,15.632722,0.687257,0.448262,0.60198375,0.568106,0.1964255,0.07374800000000001,0.39801625,0.3641385,0.116318,0.0,20.01024725,12.334927,3.200748,0.0,5.58904925,2.3972685,0.312743,0.07374800000000001
7624,nitro,isopropyl,acetyl,alkylsilane,0.25,0.75,0.14069245863333335,17.4843,16.355,0.5235830436,0.4802594383,4.7519075,4.3989910000000005,134.801972875,124.052368,17,9.54834375,8.57735,9.04958775,7.908247999999999,1.92458775,1.908248,4.6015225,4.154701,4.269406375,3.704124,0.7069063750000001,0.7041239999999999,0.33732575,0.32912399999999997,0.33732575,0.32912399999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75,24.0,0.977261443,0.96983181,0.0,-0.24,-0.33,0.46081049999999996,0.231621,1.76,1.67,1.01,0.35000000000000003,0.7239438371999999,150.955866375,63.57980799999999,0.09347738779999999,0.0918376845,36.1875505,34.06048,0.907625,0.5953,51.2845,50.537,58.4273235,58.041865,4.0,4.0,0.2017043798,0.17400327700000004,0.8859675793999999,0.8840930998000001,0.3451993924,0.293324103,11.9069808371,9.356580397,50.4220276888,47.788178091999995,56.976742112299995,53.817599027,1.125,0.25,1.1576368154,1.1222053159999998,0.29410149999999996,0.183846,0.64227425,0.3227345,0.36237723990000004,0.35962298479999993,13.9275,10.785000000000002,14.145669500000002,14.007796,20.432063,18.498321,0.8778594999999999,0.852504,0.579923,0.569072,0.1221405,0.096785,0.420077,0.40922600000000003,0.0,0.0,30.91617425,27.71158,0.0,0.0,3.66155825,2.5285795,0.1221405,0.096785
1721,difluoromethyl,perfluoromethyl,difluoromethyl,alkylsilane,0.5,0.5,0.15758814325000006,11.69075,11.677999999999999,0.4578921467000001,0.3687421725,4.020392,4.020392,67.14210625,67.01955,17,7.0,7.0,5.60042,5.444911,1.85042,1.755929,3.25,3.25,2.55020975,2.4724555,0.67520975,0.6279640000000001,0.319748,0.260411,0.319748,0.260411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,26.0,0.9486261352,0.9143360675,0.0,-0.1575,-0.17500000000000002,1.01151925,0.664075,1.68210575,1.5042114999999998,7.7279875,1.86,0.6096718922500001,21.306059,21.306059,0.0654223187,0.0472201615,29.74528725,29.055146,1.3457,1.2714,66.7675,62.018,70.5257515,66.02810699999999,4.25,4.0,0.271318685,0.183916816,0.7943730455,0.7148299640000001,0.40782235850000004,0.382526191,20.6934003447,10.460855947,50.68145056220001,49.730442227,66.7584541663,56.901194381,0.75,0.5,1.095331911,1.060825174,0.60268175,0.5535680000000001,0.45518549999999997,0.4145680000000001,0.7873859968000001,0.7840948329999999,0.0,0.0,13.198515,11.884531,15.01735275,14.4019835,0.5352567500000001,0.448262,0.53471125,0.5013164999999999,0.23932725,0.1595515,0.46528875,0.431894,0.22541675000000005,0.2181975,15.285048499999998,12.334927,6.34519675,6.2888975,6.5856225,4.390415,0.46474325,0.3777485
1817,ethylene,ethylene,perfluoromethyl,alkylsilane,0.5,0.5,0.13341141942,13.8,11.729,0.3779176365,0.190442224,4.209954,4.020392,96.6191995,67.509775,17,7.3273505,7.0,6.3169464999999985,5.133893,1.8169465,1.5,3.5520294999999997,3.25,2.9084735,2.3169470000000003,0.6584734999999999,0.5,0.31137950000000003,0.125,0.31137950000000003,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,0.915083054,0.8457559320000001,0.0,-0.235,-0.26,1.0481305,0.042408999999999995,0.9442115,0.74,9.612898,-6.106154,0.5827840114399999,35.688185,21.306059,0.1234911005,0.010815847,30.512533,29.209355,1.38045,1.1923,58.5245,36.033,63.03281750000001,42.04695,4.0,3.0,0.35466446500000004,0.175804638,0.6899695840000001,0.555743801,0.241860256,9.651e-06,27.4415795725,3.4921256069999997,34.9557633145,16.377051061,58.09970506649999,19.869176611,0.5,0.0,1.0202054375,0.8415587529999999,0.4904155,0.23080799999999999,0.3771775,0.333333,0.398629749,1e-08,0.0,0.0,12.6825095,8.224552000000001,16.303124,13.171245000000004,0.8981204999999999,0.796241,0.568589,0.4345270000000001,0.0,0.0,0.4314109999999999,0.297349,0.10187949999999996,0.0,25.897484,24.135413,3.0881495,0.0,0.0,0.0,0.10187949999999996,0.0
