,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min,COF-std,intercept-std
8740,phenol,perfluoromethyl,methyl,alkylsilane,0.25,0.75,0.1538310084666666,14.17785,11.348,0.1167877033,0.000769609,3.97694525,3.9334985,105.367379,61.509775,17,7.708901,7.0,6.913740874999999,6.8274817500000005,1.788740875,1.0,3.745428875,3.25,3.226651625,3.20330325,0.6756206250000001,0.25,0.3371751250000001,0.0,0.3371751250000001,0.0,0.07525775,0.0,0.07525775,0.0,0.037628875,0.0,0.037628875,0.0,24.25,14.0,0.5811684788,0.290144952,0.0,-0.20125,-0.4025,0.90144625,0.0,0.636433125,0.0,9.615613625,0.0,0.6239761376333334,279.299086875,21.306059,0.1578215478,0.0101236055,31.18752625,23.534016,1.3139025,1.0262,54.9015,24.022,60.03767125,30.04695,3.875,2.0,0.7165564940000001,0.4770401999999999,0.7856722301,0.5910524912,0.4209776939,0.3923203238000001,31.7064431026,3.208918146,46.2645036502,3.29025766,73.0157233132,3.356680573,0.75,0.5,0.9431926392,0.554225614,0.4134515,0.1666669999999999,0.4596794999999999,0.419359,0.7800014619000001,0.6035239788,2.52875,0.0,12.636953375,8.224551,17.00283725,13.703784,0.90960875,0.8192175,0.5645505,0.504166,0.010921875,0.0,0.4354495,0.375065,0.079469375,0.0,26.5061775,21.928335,2.495012125,0.0,0.638601,0.0,0.0903912499999999,0.0,0.0047487097750501,0.0797084348433294
6194,hydroxyl,ethylene,cyclopropyl,alkylsilane,0.25,0.75,0.1538557656,16.168475,13.93895,0.3111650301,0.107669877,3.59124725,3.090735,150.605092625,103.62221025,17,8.52140125,7.0428025,8.426031,6.852062,1.676031,1.352062,4.265354625,3.53070925,4.0765465,3.153093,0.7130154999999999,0.426031,0.359375,0.09375,0.359375,0.09375,0.125,0.0,0.125,0.0,0.015625,0.0,0.015625,0.0,20.5,17.0,0.8797561458000001,0.7833539970000002,0.0,-0.1025,-0.205,0.090027375,0.03190675,-2.991389,-6.205000000000001,-15.29480775,-30.5896155,0.5353822029666667,147.52600225,40.5939325,0.2503062601,0.025785191,32.39251775,26.717025499999995,1.106325,0.79635,41.035625,34.02725,47.802183125,39.54176625,3.375,2.75,0.4151143719999999,0.208680631,0.7145551884,0.637791004,0.3130372896,7.2382e-06,13.7511829457,2.7653273665000007,18.9981976218,12.6124100635,27.5885301702,15.3777373835,1.0,1.0,0.8730339335,0.7124309430000001,0.224311875,0.144378,0.43337475,0.300983,0.3780757878,7.500000000000001e-09,2.52875,0.0,10.1399195,9.313771,20.672577125,15.85345425,0.953788,0.907576,0.64919925,0.5991865,0.036099125,0.0,0.35080075,0.300788,0.010112875,0.0,29.994995625,23.53222325,0.1788999999999999,0.0,0.638601,0.0,0.0462119999999999,0.0,0.0170210967222745,0.1522073380124289
8999,phenyl,methoxy,cyclopropyl,alkylsilane,0.25,0.75,0.1538601623333333,17.94625,17.4945,0.2834524418,0.107669877,3.4103662500000005,3.090735,174.301626875,151.01527875,17,9.385677875,8.77135575,9.215593,8.431186,1.965593,1.931186,4.724593375,4.44918675,4.496843,3.993686,0.8718429999999998,0.743686,0.47577325,0.3265464999999999,0.47577325,0.3265464999999999,0.1875,0.125,0.1875,0.125,0.046875,0.03125,0.046875,0.03125,24.0,24.0,0.8682772928999999,0.7833539970000002,0.0,-0.1125,-0.225,0.193911875,0.148148,0.671832125,0.222222,-10.067200125,-20.13440025,0.8160799897666666,291.99711675,254.458072,0.1029809989,0.025785191,36.656354,35.244698,1.0560025,0.6957049999999999,49.5395,48.044,56.804824375,56.0626,4.0,4.0,0.4458885548,0.2702289965,0.7439217158,0.637791004,0.4431548795,0.260242418,24.5651182926,24.3931980602,31.221134273099995,25.38398518,49.3892589311,39.799322957,1.375,1.0,1.0156747036,0.9977124832,0.143139125,0.14190025,0.54514975,0.300983,0.5884253650000001,0.420699162,3.46125,0.0,15.216463624999998,10.966068,19.85060325,14.209506499999998,0.934301125,0.86860225,0.5147278750000001,0.33024375,0.065698875,0.0,0.485272125,0.300788,0.0,0.0,33.29074325,30.1237185,0.0,0.0,1.776323625,0.0,0.065698875,0.0,0.0121862170884604,0.2301334913274409
3951,amino,perfluoromethyl,phenol,alkylsilane,0.25,0.75,0.1538745463,22.0842,11.324599999999998,0.2678036221,0.1757107263,3.786705625,3.672818,229.200309,64.030011,17,9.72027275,6.7693375,8.622735625,5.33722325,2.872735625,1.83722325,5.1933875,3.173344,4.127295375,2.39221875,1.311368,0.668612,0.7887216250000001,0.37331925,0.7887216250000001,0.37331925,0.301031,0.0,0.301031,0.0,0.1505155,0.0,0.1505155,0.0,34.75,27.5,0.8939759855,0.8364517450000001,2.0,-0.5737500000000001,-0.98,1.295223375,1.050014,-2.126243375,-5.89868275,-3.0409892500000004,-7.0110375,2.5062624596,1052.750683875,20.25108575,0.052742339,0.008046881,44.5419115,29.16681,1.3853975,1.070175,83.67125,67.2665,89.41603925,70.7745635,6.125,4.25,0.4273707264,0.307587924,0.6339210614,0.5708635608,0.2566794285,0.118148712,62.8086290073,38.9744863915,118.47715829140002,40.6027447248,177.3448171921,72.9812707362,1.125,0.25,1.3700756128,1.0080689335,0.5185425,0.390875,0.581808,0.486179,0.3214215799,0.022317451,13.3675,6.505,15.682681125,14.58934025,27.373073375,13.05231975,0.8312446250000001,0.77434225,0.6003256250000001,0.48756825,0.08010675,0.0728385,0.399674375,0.286917,0.088648625,0.024478,36.75467375,21.5795065,3.031712125,1.4311999999999998,3.2693686250000003,1.42992925,0.168755375,0.111853,0.0050050769977547,0.4405823392528168
8572,phenol,difluoromethyl,perfluoromethyl,alkylsilane,0.25,0.75,0.15388294,14.349225,11.729,0.3453489721,0.190442224,3.97694525,3.9334985,108.183544625,67.509775,17,7.708901,7.0,6.213950874999999,5.133893,2.213950875,2.133893,3.745428875,3.25,2.8767565000000004,2.316947,0.8882255,0.816947,0.497049125,0.4963392499999999,0.497049125,0.4963392499999999,0.07525775,0.0,0.07525775,0.0,0.037628875,0.0,0.037628875,0.0,31.0,30.0,0.9104090704,0.845755932,0.0,-0.28,-0.35,1.407205875,0.76055975,1.477486,1.148423,13.479607375,1.62726475,0.7521548559666668,279.299086875,21.306059,0.0377729621,0.0108158469999999,34.293161875,31.815711000000004,1.4736525,1.378705,76.27425,71.5325,80.277072,76.535459,5.0,5.0,0.3741794425,0.214834593,0.6927127684000002,0.555743801,0.4000713411,0.3164318212,40.448684202,29.506334866,69.9601001014,53.534475568,104.7166101099,96.330233522,0.625,0.0,1.2137457877,1.198852122,0.6314588750000001,0.5128947500000001,0.4372722500000001,0.333333,0.6954549878000001,0.5936504875,2.52875,0.0,15.123935375,13.107403749999998,17.659621625,13.171245,0.677237125,0.55823325,0.519438625,0.4345269999999999,0.1305855,0.0,0.480561375,0.39564975,0.19217775,0.1805964999999999,23.18453425,22.2336555,5.667610499999999,5.158922,3.93141225,0.0,0.322762875,0.203759,0.0077093328534602,0.3194407144548709
1673,difluoromethyl,methyl,perfluoromethyl,alkylsilane,0.5,0.5,0.15388396625,11.621,11.513,0.2321740445,0.190442224,4.020392,4.020392,65.88721875,64.2646625,17,7.0,7.0,5.75592875,5.133893,1.75592875,1.3779645,3.25,3.25,2.6279645000000005,2.3169469999999994,0.6279644999999999,0.438982,0.31398225,0.1302055,0.31398225,0.1302055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,20.0,0.7411432548,0.6365305775,0.0,-0.14,-0.21,1.1929447500000003,0.3320375,1.0392115000000002,0.93,13.130975,0.93,0.4569372171499999,21.306059,21.306059,0.102693915,0.010815847,29.055146000000004,26.294581,1.3587,1.1487999999999998,62.01800000000001,43.02,66.02810675,48.0375285,4.0,3.0,0.5517595470000001,0.5335242920000001,0.7414239245000002,0.5557438010000001,0.4498957442,0.4160806275,29.1129602923,6.8348870465000005,40.0224127558,26.5103499435,63.2295854995,30.128937477,0.5,0.0,1.003188758,0.8075253939999999,0.55507025,0.3601174999999999,0.41561725,0.333333,0.8337731885,0.797259488,0.0,0.0,13.597504,10.054541,13.919748999999998,13.171245,0.7601859999999999,0.724131,0.51552375,0.434527,0.07977575,0.0,0.48447625,0.4034795,0.1600385,0.1163179999999999,20.633522,17.131631,4.6885235,3.2007480000000004,2.1952075,0.0,0.239814,0.203759,0.0053891061964201,0.1541708061180135
9764,toluene,pyrrole,methoxy,alkylsilane,0.25,0.75,0.1538854696666667,20.5296375,12.933,0.4024547445,0.276040204,3.64709275,3.5477675000000004,205.170048375,76.211433,17,9.556597875,7.707107,9.18432925,7.408248,2.30932925,1.4082479999999995,5.001176,3.7071069999999993,4.414534125,3.408248,0.99682925,0.408248,0.51561125,0.102062,0.51561125,0.102062,0.2298154999999999,0.0,0.2298154999999999,0.0,0.113670625,0.0,0.113670625,0.0,27.25,20.0,0.9368661696,0.8933160612000001,1.0,-0.3875,-0.735,0.341989,0.073424,1.051960375,0.96,-13.2802055,-27.040000000000003,1.3266017376666668,672.604678,27.435741,0.1237716461999999,0.0092966785,39.937038,28.647561,0.9154,0.2626,59.79475,40.021,66.677407125,46.041865,4.75,3.0,0.3194228644,0.196879129,0.7622156592000001,0.5609352155,0.190738464,0.034489345,32.8756822273,4.046963283,55.641476571,19.804779311,86.4580915066,20.555360564,1.625,1.25,1.1134253531,0.8324305180000001,0.217447625,0.136525,0.805466875,0.61093375,0.2882450977,0.0155579795,10.53625,9.23,20.9273825,19.554309,17.461126625,4.736863,0.8713071250000001,0.8248029999999998,0.3827259999999999,0.1751969999999999,0.128692875,0.08218875,0.617274,0.4097449999999999,0.0,0.0,34.1537015,22.300456,0.0,0.0,4.234807625,3.73275225,0.128692875,0.08218875,0.0044824664997155,0.1152815722684067
9389,pyrrole,phenol,perfluoromethyl,alkylsilane,0.25,0.75,0.1539064532333333,21.3721375,11.729,0.261524409,0.190442224,3.82106675,3.6217415,220.41043925,67.509775,17,9.550046875,7.0,8.27594125,5.133893,2.90094125,2.133893,5.0506295,3.25,3.968666375,2.316947,1.32217175,0.816947,0.80320275,0.497759,0.80320275,0.497759,0.27633675,0.0,0.27633675,0.0,0.137756,0.0,0.137756,0.0,35.75,32.0,0.8890015166,0.845755932,0.0,-0.5625,-0.915,1.4875165,0.921181,1.307884875,1.148423,13.051042625,0.77013525,0.6913585422,859.203097125,21.306059,0.0096461608,0.0084764745,44.239029875,31.815711000000004,1.5874225,1.5686,87.29424999999999,81.016,92.66314174999998,84.018685,6.25,5.0,0.4427350063,0.3519457205,0.6036114725,0.555743801,0.2861619599,0.0886130587999999,64.7798314749,51.39103353800001,107.3997256138,53.534475568,167.3996768595,96.330233522,0.875,0.0,1.408102116,1.198852122,0.565082375,0.38014175,0.5166406250000001,0.333333,0.4069987880999999,0.0167380882,9.56,0.0,17.549143875,17.140467,25.21002425,13.171245,0.8424774999999999,0.7962409999999999,0.550486875,0.4345269999999999,0.04646375,0.0,0.449513125,0.33355325,0.11105875,0.0183585,36.59639025,24.135413,3.6248495,1.0734,2.537928375,0.0,0.1575224999999999,0.111286,0.012482510593019,0.2674825122966942
74,acetyl,cyclopropyl,isopropyl,alkylsilane,0.5,0.5,0.1539186626,18.94425,17.376499999999997,0.3644007182,0.3371775965,4.643794499999999,3.744863,163.20681725,160.8201715,17,10.6443375,9.288675,10.477062000000002,8.954124,1.977062,1.954124,5.16367525,4.5773505000000005,5.051031000000001,4.352062,0.8010309999999999,0.75,0.426031,0.375,0.426031,0.375,0.0625,0.0,0.0625,0.0,0.0078125,0.0,0.0078125,0.0,25.0,24.0,0.922751197,0.8840137480000001,0.0,-0.0825,-0.165,0.1549422499999999,0.12,1.4730555,0.946111,0.4175,0.0,0.42392341335,235.5497255,159.01893999999996,0.0548340522,0.049267461,38.974013500000005,36.064245,1.3340499999999995,1.0058,49.041,48.04399999999999,57.56524124999999,57.0522325,4.0,4.0,0.3360886682,0.2743482799999999,0.81980178,0.76277757,0.4942863962000001,0.4597163335,17.4454857007,17.0507556685,46.8369165535,36.590121052,55.95159417,46.81528396800001,0.75,0.0,1.1689682351999997,1.0779949465000005,0.19870475,0.123042,0.44752225,0.263646,0.5197625212,0.4787595060000001,4.267499999999999,0.0,13.097259,12.486931999999998,24.22232225,21.995010500000003,0.963126,0.926252,0.646397,0.6341419999999999,0.036874,0.0,0.353603,0.341348,0.0,0.0,36.120947,32.084674,0.0,0.0,1.1986342499999998,0.0,0.036874,0.0,0.0139378309021233,0.1858882775660754
2477,isopropyl,methoxy,difluoromethyl,alkylsilane,0.5,0.5,0.1539349040833333,14.20025,11.678,0.5036443417000002,0.4602465625,4.332482,4.020392,93.960999,67.01955,17,8.42677675,7.0,7.7300265,5.755929000000001,1.7300265,1.704124,3.9892767500000006,3.25,3.603544,2.627964,0.603544,0.5791240000000001,0.249471,0.238531,0.249471,0.238531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,23.0,0.9769343325,0.970952462,0.0,-0.08,-0.14,0.3803935,0.096712,1.67,1.4800000000000002,-5.829999999999999,-13.519999999999998,0.7275599933000002,95.5320925,21.306059,0.1136907568,0.083624476,32.160408749999995,29.055146000000004,1.116925,0.96245,53.02525000000001,44.0325,59.04408225,52.06005749999999,3.75,3.5,0.2097652602,0.183916816,0.8970385868,0.8739161270000001,0.4102241060000001,0.382526191,10.7022227275,10.460855947,44.087343955,38.444245683,49.8614134245,42.821632468,1.0,1.0,1.0535055975,1.0461860210000002,0.34167575,0.1297835,0.563813,0.495803,0.6519703469999999,0.5198458610000002,2.307500000000001,0.0,14.944276,11.884530999999996,15.61298525,15.5932485,0.68033175,0.448262,0.49251525,0.4169245,0.20335075,0.0875985,0.50748475,0.4318939999999999,0.1163179999999999,0.0,21.7818825,12.334927,3.2007480000000004,0.0,5.57463075,2.3684315,0.3196682499999999,0.0875985,0.0127590953664064,0.4798248495126875
