,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min,COF-std,intercept-std
5326,difluoromethyl,phenol,fluorophenyl,alkylsilane,0.25,0.75,0.1339198993,29.344675,27.55235,0.3855523918999999,0.364421865,3.72022375,3.680736,346.154087375,312.53284275,17,11.608754,11.253406,10.624066125,10.37016825,3.624066125,3.3701682500000003,6.448999625,6.22257325,5.246376,5.05377,1.7807830000000002,1.622584,1.078588875,0.96819575,1.078588875,0.96819575,0.52301875,0.4515464999999999,0.52301875,0.4515464999999999,0.261509625,0.22577325,0.261509625,0.22577325,40.0,38.0,0.9558725626,0.952390905,0.0,-0.81,-0.85,1.132773625,0.95352925,1.717307,1.699647,1.080685625,0.999577,2.6947901622333337,1402.550824625,1235.837423,0.0174731854,0.008005091,54.999110125,52.20154625,1.8637175,1.5933149999999998,96.81825,90.56149999999998,103.8016705,97.550163,7.5,7.0,0.2907384915,0.276670147,0.7182030586,0.6951931640000001,0.0921249294,6.7770000000000005e-06,77.238391716,67.597292704,178.93862233309997,159.6962894503,255.2835086346,225.5065713313,1.375,1.0,1.6432582763,1.5642680125,0.348404125,0.26526,0.53973075,0.4474329999999999,0.1063808983,0.0,7.58625,0.0,15.482840125,15.412531,38.076992375,35.17855075,0.8501573750000001,0.77817575,0.701754375,0.67683875,0.1115839999999999,0.077861,0.298245625,0.27333,0.03825875,0.0,47.01433125,42.0311125,1.336887,0.0,5.20861425,4.390415,0.149842625,0.077861,0.0074779552871102,0.6459209112190388
7755,nitro,pyrrole,nitrophenyl,alkylsilane,0.25,0.75,0.1191363726,30.1051375,22.376875,0.4164624011,0.3758935482,3.66110125,3.5491635,360.4635531249999,253.95592525,17,11.425426375,9.30940075,10.207524,8.651337999999999,3.707524,2.651338,6.322755625,5.05940125,5.015882,4.193009,1.785677125,1.23259925,1.0808275,0.6809379999999999,1.0808275,0.6809379999999999,0.5488795,0.303381,0.5488795,0.303381,0.273202625,0.14921625,0.273202625,0.14921625,41.0,30.0,0.9381183565,0.90481592,2.0,-1.035,-1.38,1.54889425,1.0010115,1.6537166250000002,1.04809925,0.9114275,0.570023,2.696101866733333,1645.3730403750003,403.75881275,0.0342274079,0.006066451,55.17983275,42.0755515,1.4343925000000002,0.965565,100.06625,70.0505,106.54757962499998,76.04748125,7.75,5.5,0.3119547998,0.237330347,0.6880452002,0.6134207475,6.8451e-06,4.5742e-06,83.1684966079,40.5964548078,228.2307249902,52.3389141795,311.3992215555,92.935368984,1.5,1.0,1.639019643,1.203455027,0.3651215,0.352521,0.53170075,0.3627900000000001,0.0,0.0,32.88375,22.6275,26.210555125,20.13026625,27.539189125,20.46387925,0.792423125,0.76382,0.50452675,0.4916885,0.165073875,0.151174,0.49547325,0.482635,0.0425029999999999,0.0,42.718226375,34.33281375,2.843693,0.0,8.187824875,6.26133175,0.207576875,0.17897375,0.0141154405055099,0.4574441597345683
8855,phenyl,carboxyl,nitro,alkylsilane,0.25,0.75,0.1402484324666666,15.34775,12.9184,0.6480767350000001,0.544789743,3.78941775,3.7877175,125.15443475,85.425922,17,7.078359125000001,6.07735,6.000541375,4.76371,2.000541375,1.7637100000000003,3.6116337500000006,2.943376,2.725563875,2.088755,0.7599705,0.588755,0.3613513750000001,0.25711,0.3613513750000001,0.25711,0.0625,0.0,0.0625,0.0,0.03125,0.0,0.03125,0.0,25.5,24.0,0.9782472195,0.96069394,2.0,-0.5962500000000001,-0.6000000000000001,1.458531625,0.51706325,1.451971125,1.3999999999999997,1.324049875,1.24809975,2.6975128082000004,176.390526875,17.086166,0.1582007001,0.0961437062,31.845520500000003,27.607138000000003,0.2299149999999999,-0.1071,60.525125,58.016,64.523937375,61.016378,4.375,4.0,0.1586115416,0.09125968,0.8489089694,0.7890776188,0.0596614191,0.0,15.384538543699998,4.147210897,48.6289622045,41.340095526,63.6308414829,45.487306404,1.0,1.0,1.0803708265,0.994335416,0.35593775,0.3456174999999999,0.515537125,0.5,0.029466249,0.0,35.5575,27.975000000000005,16.263218,16.011414,14.099343,10.114318,0.5768793750000001,0.54089875,0.4243693750000001,0.38714,0.324946375,0.26275275,0.5756306250000001,0.53840125,0.09817425,0.0,18.81645825,16.011414,2.775189375,0.0,8.770913375,7.42750875,0.423120625,0.38714,0.0206932049838766,0.1866856686061871
7435,methyl,toluene,phenol,alkylsilane,0.25,0.75,0.1288267511333333,31.308900000000005,29.774,0.3120258414,0.2641551648,3.7585332500000006,3.672818,357.167853875,319.96510075,17,12.63464225,12.5980765,12.079124,11.908248,3.579124,3.25,6.970497124999999,6.72756325,5.962436,5.862372,1.758312,1.5625,1.070812,0.9375,1.070812,0.9375,0.5354059999999999,0.46875,0.5354059999999999,0.46875,0.2677029999999999,0.234375,0.2677029999999999,0.234375,38.5,35.0,0.868193631,0.7848870360000001,0.0,-0.7825000000000001,-0.98,0.8393207500000001,0.6286275,1.4918302500000002,1.3374645,0.8538785,0.778698,2.699241438633333,2422.717914,2085.250282,0.0451724826,0.008046881,56.9793805,54.041748000000005,1.842375,1.70062,89.07375,78.0715,97.56397,87.070425,7.25,6.5,0.3906064614,0.307587924,0.7330750991,0.6969785620000001,0.1670058951,0.118148712,76.93962421169999,67.2364768005,172.79849343600003,149.245415014,247.469686995,213.231010342,1.875,1.75,1.5946428706000002,1.4572034493000003,0.2723915,0.153908,0.454201875,0.23096675,0.1540555629,0.022317451,10.115,0.0,14.55642425,12.3368265,40.93502225,40.1762175,0.9440735,0.8881469999999999,0.727685625,0.713083,0.0436875,0.0,0.272314375,0.25771175,0.012239,0.0,52.2214425,51.929841,0.7155999999999999,0.0,2.554404,0.0,0.0559265,0.0,0.0068103558279268,0.50243030540985
4198,carboxyl,isopropyl,phenol,alkylsilane,0.25,0.75,0.1220513896666666,25.777625,18.71145,0.4071749824,0.359896518,4.3928535,3.672818,271.120559375,147.87051175,17,11.683661125,10.69611425,11.181186125000002,10.45412425,2.931186125,1.95412425,6.198138,5.182845,5.408248125,4.95412425,1.340593,0.727062,0.7786191250000001,0.35311425,0.7786191250000001,0.35311425,0.301031,0.0,0.301031,0.0,0.1505155,0.0,0.1505155,0.0,33.75,25.5,0.9601092819,0.951500226,2.0,-0.55625,-0.98,0.62541625,0.2008184999999999,1.756848,1.646196,0.6482795,0.3675,2.701946118166666,1164.111254625,242.97222725,0.0382740484,0.008046881,49.385737375,38.85446175,1.485035,1.26945,75.057,50.03799999999999,83.310742375,58.56396974999999,6.0,4.0,0.2739068592,0.2402257945,0.787573572,0.6969785620000001,0.2772823794,0.118148712,50.8887818101,15.1347919973,125.2010329496,54.0504940413,171.6307629767,61.5531623055,1.125,0.25,1.4706886579,1.2092950237,0.29259675,0.1943184999999999,0.5195453750000001,0.36165375,0.2005156232,0.022317451,14.777499999999998,9.325,15.823939875,14.871857749999998,32.003444375,22.31306175,0.8675566250000001,0.84696625,0.647328125,0.58157325,0.087479625,0.087375,0.352671875,0.286917,0.04496375,0.024478,42.394399,32.858957,1.6406631250000003,1.4311999999999998,3.792322125,2.47583625,0.132443375,0.111853,0.0088881478935058,0.6127662777125735
897,carboxyl,nitrophenyl,nitro,alkylsilane,0.5,0.5,0.13484566526,19.245,12.9184,0.6506752438,0.5499867605000001,3.79466325,3.791118,183.13117075,85.425922,17,8.12015225,6.07735,6.77690675,4.76371,2.52690675,1.76371,4.2385605,2.943376,3.1456905,2.088755,1.04362825,0.588755,0.5705985,0.25711,0.5705985,0.25711,0.1985944999999999,0.0,0.1985944999999999,0.0,0.09929725,0.0,0.09929725,0.0,31.0,24.0,0.988357301,0.980914103,2.0,-0.7775000000000001,-0.955,1.83501275,1.2700255,1.6323335,1.4,1.380708,1.361416,2.70291513702,739.201744,17.086166,0.1431960797,0.0661344655,38.31622275,27.607138,0.44498,-0.1071,75.5335,58.016,79.77539075,61.01637800000001,5.5,4.0,0.1394270112,0.09125968,0.8655866628,0.8224330055,0.0397759815,0.0,35.263370248,4.147210897,132.9383917132,41.340095526,167.9466557602,45.487306404,1.25,1.0,1.2801526535,0.994335416,0.3795965,0.366258,0.5046167500000001,0.5,0.019644166,0.0,41.68,40.22,20.66958625,16.011414,16.18662,10.114318,0.59435125,0.5758424999999999,0.4104954999999999,0.38714,0.31894775,0.2507554999999999,0.5895045,0.566149,0.086701,0.0,23.52265875,16.011414,3.27197275,0.0,10.06157475,10.0088315,0.40564875,0.38714,0.0183312609943748,0.2881706200032208
847,carboxyl,methyl,acetyl,alkylsilane,0.5,0.5,0.13667655795,14.34195,12.328900000000004,0.444270627,0.321855938,4.160438,3.921885,101.07904225,78.10571649999999,17,7.734789249999999,6.892228500000001,7.15824825,6.4082485,1.65824825,1.4082485,3.760195500000001,3.3656900000000003,3.30618625,2.9082485,0.5791240000000001,0.454124,0.23642625,0.1437284999999999,0.23642625,0.1437284999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,19.0,0.8124748408000001,0.6402761825000001,1.0,-0.2974999999999999,-0.33,0.226629,0.221637,1.2025000000000003,0.735,1.2025000000000003,0.735,2.703327594933333,46.02826275,28.476717500000003,0.1554385405,0.095016096,30.35536925,26.650258500000003,0.576925,0.55855,46.0265,40.02100000000001,51.53795225,45.0340395,3.5,3.0,0.3605377815,0.17411,0.9095041498,0.887764136,0.2988651315,0.293365326,7.23909614,5.113719468,35.958402877,24.12054883,40.4920266593,27.1528083395,1.5,1.0,0.9640717688,0.8057905685000001,0.34588225,0.2874075,0.76982625,0.5778384999999999,0.4414536548,0.365379505,17.86,17.069999999999997,13.651204000000002,13.294612,15.15094275,11.8035645,0.7732182500000001,0.6939325,0.5283540000000001,0.487636,0.16133225,0.147496,0.4716459999999999,0.4309279999999999,0.0654495,0.0,22.07891575,16.4462515,1.85012625,0.0,4.87310475,4.794536999999999,0.22678175,0.147496,0.0046072181985875,0.4142879428230395
6632,isopropyl,nitro,hydroxyl,alkylsilane,0.25,0.75,0.1535168865333333,11.479800000000004,8.1428,0.5119451706,0.362461586,3.698755,3.16849,71.385388125,37.302969,17,6.382559750000001,5.207107,5.740515249999999,4.908248,1.3655152500000003,0.908248,3.102846,2.56066,2.558219125,2.112372,0.416595125,0.204124,0.14329125,0.0,0.14329125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.25,14.0,0.9693125929,0.95140265,1.5,-0.245,-0.45,0.9152,0.0004,-12.745,-27.040000000000003,-51.495,-104.04,2.7034814456,51.49977462500001,12.164797,0.6841601954000001,0.1775101358,25.208168,19.240037,-0.0281249999999999,-0.3915,41.7665,28.01,46.1540305,32.026215,3.0,2.0,0.22217022,0.13703183,0.7967265637000001,0.6926913899999999,0.0661070574,0.0,4.0776973755,0.5849326450000001,23.2972433646,1.318487071,26.1454377985,1.903419701,0.875,0.75,0.6928922280000002,0.325047513,0.4150065,0.305454,0.7204557500000001,0.4409114999999999,0.0598449382,0.0,26.2925,20.23,14.0084425,12.581428,9.6534775,5.108808,0.6699744999999999,0.630304,0.3719055,0.2887929999999999,0.289574,0.2887929999999999,0.6280945,0.544982,0.0404515,0.0,16.59904675,11.150228,0.7155999999999999,0.0,6.34727325,5.108808,0.3300254999999999,0.290355,0.011249954615026,0.8554930193169763
2579,isopropyl,phenol,nitro,alkylsilane,0.5,0.5,0.1201685872833333,19.79815,12.9184,0.5635619529999999,0.375760179,4.199445,3.791118,182.7039785,85.425922,17,9.206477,6.07735,8.358917,4.76371,2.358917,1.76371,4.71254575,2.943376,3.9474705,2.0887549999999995,0.9704085,0.588755,0.523336,0.25711,0.523336,0.25711,0.1505155,0.0,0.1505155,0.0,0.07525775,0.0,0.07525775,0.0,29.0,24.0,0.9761474675,0.956494436,2.0,-0.545,-0.6000000000000001,1.4925035,0.5850069999999999,1.611549,1.4,0.93226475,0.4645295,2.70438409875,607.8757812499999,17.086165999999995,0.1244574325,0.028657171,39.25376775,27.607138,0.7871800000000001,-0.1070999999999999,66.038,58.016,72.04213025,61.01637800000001,5.0,4.0,0.191113891,0.09125968,0.8478212980000001,0.7869022760000001,0.1617512928,0.0,28.1943522875,4.147210897,84.02886874119999,41.340095526,109.442720207,45.487306404,1.0,1.0,1.245173662,0.994335416,0.31160825,0.2569585,0.48527075,0.4705415,0.1252692392,0.0,26.6275,10.115,15.626609,15.241804,22.09302425,10.114318,0.7784667499999999,0.6128600000000001,0.5365037500000001,0.38714,0.21541375,0.0436875,0.46349625,0.3141325,0.0061195,0.0,31.02747225,16.011414,0.3578,0.0,6.334361,2.554404,0.22153325,0.0559265,0.0123240765553131,0.4516350502833507
4715,cyclopropyl,acetyl,carboxyl,alkylsilane,0.25,0.75,0.1447352162666666,15.087775,13.3098,0.5474368616,0.4519314562,3.9476525,3.823378,118.568963875,94.701658,17,7.85873475,6.784457,7.1238415,5.816497000000001,1.8738415,1.816497,3.923702875,3.48138,3.297295,2.566497,0.7181704999999999,0.6582479999999999,0.345275,0.2874569999999999,0.345275,0.2874569999999999,0.03125,0.0,0.03125,0.0,0.00390625,0.0,0.00390625,0.0,24.0,24.0,0.9623755182,0.9343436235,1.0,-0.3887500000000001,-0.53,0.327013375,0.21075275,1.3890277499999997,1.3080555,1.36125,1.2525,2.704795817066666,73.473375,35.647376,0.1019554249,0.0777083698,32.41443175,29.766501,0.445725,0.0909,53.5275,51.035,58.784088875,57.54704875000001,4.0,4.0,0.2119139331,0.137858338,0.8537336055,0.825270853,0.2678178199,0.15909481,10.1130675151,7.01852079,43.572014494,42.193188988,50.6361002898,50.3232644735,1.375,1.0,1.0787647404,1.057355523,0.373755125,0.33936225,0.726141625,0.655677,0.2708245924,0.078576664,25.05125,12.8025,15.8060185,13.247364,15.075005374999998,9.903345,0.6386215,0.3878649999999999,0.475972,0.3503369999999999,0.2304794999999999,0.110622,0.5240279999999999,0.398393,0.130899,0.0,20.4311475,10.964168,3.7002525,0.0,6.749623875,3.59590275,0.3613785,0.110622,0.0032895363370163,0.3398079878752746
