,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min,COF-std,intercept-std
5114,difluoromethyl,cyano,cyano,alkylsilane,0.25,0.75,0.0737549238333333,11.335875,11.287,0.943337279,0.8867236850000001,3.61119125,3.552734,74.680077,73.585716,17,5.431218625,5.207107,4.610803375,4.447214,1.4858033750000004,1.447214,2.6468275,2.56066,2.055401625,1.973607,0.492901625,0.473607,0.130379,0.111803,0.130379,0.111803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.25,16.0,0.9978645254,0.9957290508,0.0,-0.46375,-0.51,0.22400775,0.161141,0.66125,0.49,-3.679436,-4.470784,2.2812421952000004,13.30745475,12.164797,2871.7007663756,2461.4697461042,24.37961675,23.711684,0.6225700000000001,0.52988,41.027625,38.029,44.15174375,41.026549,3.125,3.0,0.023003931,1.6376e-05,0.9842251869000002,0.9684667498,0.0478157739,0.0,1.3077707243,0.000187121,16.2021882869,11.412437724,17.098696058,11.412624869,0.125,0.0,0.7011971246,0.649821689,0.327808375,0.295557,0.936975375,0.87395075,0.0980118541,0.0,20.81625,17.8425,16.38978175,15.7461745,6.55824575,5.261892,0.93103275,0.8620654999999999,0.277521125,0.236009,0.039887875,0.0,0.7224788750000001,0.6809667500000001,0.0290794999999999,0.0,21.05023675,19.8051925,0.8001869999999999,0.0,1.09760375,0.0,0.06896725,0.0,0.00942348609654,0.1927669102756503
7499,nitro,cyano,cyano,alkylsilane,0.25,0.75,0.0745076592333333,11.490925,11.287,0.9688774798,0.9378040865,3.582532,3.552734,76.9808735,75.774438,17,5.315887375,5.207107,4.486776,4.447214,1.486776,1.447214,2.6084995,2.56066,1.9880005,1.973607,0.4880005,0.473607,0.129966375,0.111803,0.129966375,0.111803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,0.9994750624,0.9989501248,0.0,-0.52125,-0.5325,0.4409983750000001,0.161141,0.60375,0.49,-3.736936,-4.470784,2.0685107811333334,12.779968125000002,12.164797,2871.7178455279004,2461.5039044087,24.19861575,23.711684,0.4502575,0.370635,40.527375,38.029,43.525277625,41.026549,3.125,3.0,0.011421789,1.6376e-05,0.988578211,0.977172798,0.0,0.0,0.518565093,0.000187121,15.1533949492,11.412437724,15.6719600609,11.412624869,0.125,0.0,0.6928859049000001,0.649821689,0.304394625,0.295557,0.9375,0.875,0.0,0.0,26.20875,23.790000000000003,16.905642125,16.77789525,5.86844525,5.261892,0.9516075,0.903215,0.254900375,0.236009,0.0483925,0.0,0.745099625,0.72620825,0.0,0.0,21.509797625,20.72431425,0.0,0.0,1.26428975,0.0,0.0483925,0.0,0.0037912284223167,0.6577046113241701
6552,isopropyl,fluorophenyl,cyano,alkylsilane,0.25,0.75,0.0862715605666666,19.883875,11.287,0.6855866159,0.3712223588,3.84948375,3.552734,201.002151375,75.774438,17,8.59009175,5.207107,7.802843499999999,4.447214,2.4278435,1.447214,4.50236475,2.56066,3.74517175,1.973607,1.05767175,0.473607,0.54864475,0.111803,0.54864475,0.111803,0.222934125,0.0,0.222934125,0.0,0.11146725,0.0,0.11146725,0.0,27.0,16.0,0.9773326701,0.9546653402,0.0,-0.5737500000000001,-0.6375000000000001,0.58757725,0.161141,1.145612625,0.49,-1.860550625,-4.470784,1.7308515442,508.531496,12.164797,1640.9750536653,0.0183206835,38.7650675,23.711684,1.2730225,0.52988,63.673125,38.029,69.0429975,41.026549,5.0,3.0,0.1486042865,1.6376e-05,0.8702924972,0.7406013705,0.0661095988,0.0,34.8099295501,0.000187121,87.1595410749,11.412437724,120.7399677078,11.412624869,0.375,0.0,1.1282467375,0.649821689,0.26263125,0.2297054999999999,0.7007431250000001,0.40148625,0.0598449382,0.0,11.895,0.0,16.009841875,14.98629475,21.302938,5.261892,0.970802125,0.94160425,0.47283725,0.236009,0.029197875,0.0,0.52716275,0.2903345,0.0,0.0,35.66637425,22.295281,0.0,0.0,1.646405625,0.0,0.029197875,0.0,0.0020186470601605,0.2351801341242241
5453,ethylene,cyano,cyano,alkylsilane,0.25,0.75,0.0865474902,11.86,11.287,0.945631145,0.8913114170000002,3.65858175,3.552734,82.01871125,75.774438,17,5.513056250000001,5.207107,4.82881225,4.447214,1.4538122499999997,1.447214,2.722334875,2.56066,2.164406125,1.973607,0.476906125,0.473607,0.113452625,0.111803,0.113452625,0.111803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25,16.0,0.998051272,0.996102544,0.0,-0.47875,-0.51,0.1462995,0.131458,0.52125,0.49,-4.67520525,-4.8796265,2.0578512976000005,16.90298625,12.164797,2871.7198341104,2461.5078815737,24.398892875,23.711684,0.6126825,0.52988,37.7795,37.53,41.154099125,41.026549,3.0,3.0,0.0219899088,1.6376e-05,0.9780100919,0.9560365598,1.2064e-06,0.0,0.4366794318,0.000187121,12.033014391100002,11.412437724,12.4696938368,11.412624869,0.125,0.0,0.673788822,0.649821689,0.287463375,0.27936975,0.92762775,0.8552554999999998,1.2e-09,0.0,20.81625,17.8425,15.932284375,14.83117975,7.033530875,5.261892,1.0,1.0,0.29433925,0.236009,0.0,0.0,0.7056607500000002,0.6473304999999999,0.0,0.0,22.96581525,22.295281,0.0,0.0,0.0,0.0,0.0,0.0,0.0117367111489229,0.1174951990789464
3730,amino,cyano,cyano,alkylsilane,0.25,0.75,0.0885189570666666,11.14005,10.9931,0.891396543,0.782842213,3.551291875,3.54984975,73.001473125,70.22850825,17,5.315887375,5.207107,4.634714,4.447214,1.384714,1.322214,2.6084995,2.56066,2.054160375,1.973607,0.442357,0.411107,0.097827625,0.08385225,0.097827625,0.08385225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.75,15.5,0.976067398,0.952134796,1.0,-0.4512500000000001,-0.51,0.14102025,0.1208995,-2.95125,-6.392500000000001,-16.916936,-29.363088,2.6761544561333337,12.779968125000002,12.164797,2871.734976272,2461.538165897,23.400236875,23.08878975,0.4105074999999999,0.291135,36.527625,35.02625,39.77850525,38.5304615,2.875,2.75,0.0735194839,1.6376e-05,0.952013526,0.904043428,0.0162134996,0.0,0.2157693499,0.000187121,10.2118270329,9.0112163417,10.3528445578,9.2930642465,0.125,0.0,0.6230588989,0.5962961088000001,0.30045875,0.295557,0.993089625,0.98617925,0.0112905463999999,0.0,24.068750000000005,23.790000000000003,15.771210375,14.50903175,6.1910985,5.261892,0.96358075,0.9271615,0.287344375,0.236009,0.03641925,0.0,0.712655625,0.66132025,0.0,0.0,21.24734425,20.1994075,0.0,0.0,0.714964625,0.0,0.03641925,0.0,0.0116764434708112,0.3339062950192587
9264,pyrrole,fluorophenyl,cyano,alkylsilane,0.25,0.75,0.0887953731,20.5110875,11.287,0.6679757386,0.3360006041999999,3.590207,3.552734,219.06954262500005,75.774438,17,8.388435625,5.207107,7.546245250000001,4.447214,2.54624525,1.447214,4.504207625,2.56066,3.638225125,1.973607,1.1448235,0.473607,0.6045465,0.111803,0.6045465,0.111803,0.273497625,0.0,0.273497625,0.0,0.136336625,0.0,0.136336625,0.0,27.75,16.0,0.9664575552,0.9329151105,1.0,-0.6637500000000001,-0.8175,0.6394124999999999,0.161141,1.0119625,0.49,-1.823880125,-4.470784,1.6754195727333334,536.102644,12.164797,1640.9701158894998,0.008445132,39.39188925,23.711684,1.230625,0.52988,66.925375,38.029,71.915447375,41.026549,5.25,3.0,0.1749381402,1.6376e-05,0.8250618598,0.6501400955000001,3.3038e-06,0.0,39.1731779308,0.000187121,87.024725451,11.412437724,126.1979033918,11.412624869,0.5,0.0,1.1298992425,0.649821689,0.29074375,0.2859305,0.7637226250000001,0.52744525,0.0,0.0,13.86875,3.9475,16.98429575,16.9352025,20.985950375,5.261892,0.9571039999999998,0.914208,0.456323,0.236009,0.042896,0.0,0.543677,0.323363,0.0,0.0,35.701715125,22.295281,0.0,0.0,2.268531,0.0,0.042896,0.0,0.0036962850739339,0.3983407856208859
8523,phenol,cyano,cyano,alkylsilane,0.25,0.75,0.0888587956,13.9816,11.287,0.9199440786,0.8399372842,3.5677445,3.552734,115.598959125,75.774438,17,6.140119625,5.207107,5.37984325,4.447214,1.7548432499999995,1.447214,3.142256375,2.56066,2.4597026250000003,1.973607,0.6586716250000001,0.473607,0.248343125,0.111803,0.248343125,0.111803,0.07525775,0.0,0.07525775,0.0,0.037628875,0.0,0.037628875,0.0,19.25,16.0,0.9939375282,0.9878750565,1.0,-0.5687500000000001,-0.6275000000000001,0.272250125,0.161141,0.6345244999999999,0.49,-3.795803625,-4.470784,3.2267316816666667,271.300482625,12.164797,2871.6913191762,2461.4508517055,28.237350124999995,23.711684,0.6762225000000001,0.52988,45.784875,38.029,49.40541975,41.026549,3.625,3.0,0.0384628195,1.6376e-05,0.9621079913,0.9242323585,0.014768589,0.0,10.8305101838,0.000187121,34.5298294908,11.412437724,45.1995922164,11.412624869,0.25,0.0,0.7851042644,0.649821689,0.30747175,0.295557,0.959679625,0.91935925,0.0027896814,0.0,23.345,22.899999999999995,17.001218125,16.96904725,9.815883875,5.261892,0.986018375,0.97203675,0.29564325,0.236009,0.010921875,0.0,0.70435675,0.6447225,0.00305975,0.0,25.999601,22.295281,0.1788999999999999,0.0,0.638601,0.0,0.013981625,0.0,0.0153324639034333,0.1052028826579229
4489,cyano,fluorophenyl,cyano,alkylsilane,0.25,0.75,0.0904503374333333,18.73075,11.287,0.761627495,0.523304117,3.6007347499999995,3.552734,189.77477325000004,75.774438,17,7.740980125,5.207107,6.858745250000001,4.447214,2.35874525,1.447214,4.10369725,2.56066,3.2731226250000005,1.973607,1.023122625,0.473607,0.515745125,0.111803,0.515745125,0.111803,0.222934125,0.0,0.222934125,0.0,0.11146725,0.0,0.11146725,0.0,25.75,16.0,0.9821465894,0.9642931788,0.0,-0.6375000000000001,-0.765,0.592719875,0.161141,0.956862625,0.49,-2.419398625,-4.470784,2.3000900851333337,471.04203175,12.164797,2051.2103685635,820.48895048,36.49355525,23.711684,1.13147,0.52988,62.42125000000001,38.029,66.911534875,41.026549,4.875,3.0,0.1143127985,1.6376e-05,0.8856872015,0.7713907790000002,2.5414e-06,0.0,32.5799259736,0.000187121,81.4506317835,11.412437724,114.0305577699,11.412624869,0.375,0.0,1.0519817581,0.649821689,0.284195625,0.27283425,0.7927873750000001,0.58557475,0.0,0.0,14.86875,5.947500000000001,16.42556725,15.8177455,18.65447025,5.261892,0.970802125,0.94160425,0.420006875,0.236009,0.029197875,0.0,0.579993125,0.3959952500000001,0.0,0.0,33.433631875,22.295281,0.0,0.0,1.646405625,0.0,0.029197875,0.0,0.0100093174021906,0.2613525090593412
5852,fluorophenyl,ethylene,cyano,alkylsilane,0.25,0.75,0.0927452915,15.487249999999998,11.287,0.757550563,0.5151502530000001,3.8862775,3.552734,132.5073695,75.774438,17,6.969579125,5.207107,6.3958525,4.447214,1.7708525,1.447214,3.560030375,2.56066,2.97917625,1.973607,0.66667625,0.473607,0.25139925,0.111803,0.25139925,0.111803,0.074311375,0.0,0.074311375,0.0,0.03715575,0.0,0.03715575,0.0,20.0,16.0,0.9882026791,0.9764053582,0.0,-0.45875,-0.51,0.260476125,0.161141,0.7393708750000001,0.49,-4.400252625,-4.470784,1.3354545047666664,179.338443,12.164797,1641.0554563426,0.1791260382,30.033934375,23.711684,0.9788175,0.52988,45.41125,38.029,50.037528,41.026549,3.625,3.0,0.1040357818,1.6376e-05,0.8959642201000001,0.7919448162,4.4662000000000005e-06,0.0,12.1695770041,0.000187121,36.6202324119,11.412437724,48.7898094059,11.412624869,0.5,0.0,0.8557764444,0.649821689,0.267489,0.239421,0.7138123750000002,0.4276247499999999,3.8e-09,0.0,11.895,0.0,13.527467875,10.02154675,15.041001375,5.261892,0.990267375,0.98053475,0.4723323749999999,0.236009,0.009732625,0.0,0.5276676250000001,0.29134425,0.0,0.0,28.019667375,22.295281,0.0,0.0,0.548801875,0.0,0.009732625,0.0,0.0155829111945243,0.5113961316509735
4072,carboxyl,cyano,cyano,alkylsilane,0.25,0.75,0.0931400741999999,11.53985,11.287,0.9553247972,0.9106987215,3.5865645,3.552734,78.1403405,75.774438,17,5.40427575,5.207107,4.618374375,4.447214,1.493374375,1.447214,2.6757499999999994,2.56066,2.04771825,1.973607,0.496687125,0.473607,0.13375975,0.111803,0.13375975,0.111803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,0.9988009266,0.9976018532,1.0,-0.5125000000000001,-0.515,0.196407625,0.161141,0.6125,0.49,-3.728186,-4.470784,3.9258801914,15.100119375,12.164797,2871.7060886261,2461.4803906052,24.468536125,23.711684,0.4750074999999999,0.420135,40.277875,38.029,43.4008715,41.026549,3.125,3.0,0.0172466212,1.6376e-05,0.9852602158,0.9705368075,0.0198868512,0.0,0.8774788295999999,0.000187121,15.6047380085,11.412437724,16.3546637736,11.412624869,0.125,0.0,0.7007634181999999,0.649821689,0.309630875,0.295557,0.956959625,0.91391925,0.009822083,0.0,25.47875,23.790000000000003,17.1997995,17.033389,5.842073625,5.261892,0.923483125,0.84696625,0.2503,0.236009,0.0437921249999999,0.0,0.7497000000000001,0.7354090000000001,0.03272475,0.0,20.878891875,19.46250275,0.925063125,0.0,1.237918125,0.0,0.076516875,0.0,0.0146136153512415,0.2223895718642008
