,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min
1218,cyano,nitrophenyl,difluoromethyl,alkylsilane,0.5,0.5,0.12156677810000001,18.1191,11.678,0.6377665922,0.547042121,3.84163925,3.6628865,169.19617975,67.01955,17,8.18713975,7.0,6.9306955000000015,5.755929,2.4306955,1.755929,4.1616925,3.25,3.2670725,2.627964,1.0170725,0.6279640000000001,0.5283355,0.260411,0.5283355,0.260411,0.1985945,0.0,0.1985945,0.0,0.09929725,0.0,0.09929725,0.0,30.0,26.0,0.9843132998,0.982916203,0.0,-0.5425,-0.945,0.896517,0.664075,1.6173335,1.374667,0.12551199999999998,-1.608976,1.18176123605,735.44104575,21.306059,820.5262755125,0.083624476,37.5265225,29.055146,1.243975,1.21655,73.03675,62.018,77.53261025,66.02810699999999,5.25,4.0,0.1512950888,0.1186733615,0.8776213828,0.8739161270000001,0.1912653745,4.558e-06,36.6656093558,10.460855947,128.7489644947,49.730442227,163.7695219395,56.901194381,1.0,1.0,1.211514074,1.060825174,0.44510375,0.3366395,0.588599,0.495803,0.3920474165,0.0,16.7325,0.0,18.27332375,11.884530999999999,17.78545875,15.632722,0.665086,0.448262,0.4723965,0.376687,0.197345,0.075587,0.5276035,0.431894,0.13756949999999998,0.042503,24.5171935,12.334927,4.6225945,2.843693,6.918994500000001,5.057159,0.334914,0.11809000000000001
2158,fluorophenyl,hydroxyl,phenol,alkylsilane,0.5,0.5,0.11879196423333335,26.24185,19.6399,0.3616691218000001,0.35989651799999994,3.5487155,3.4246129999999995,301.45487875,208.5391505,17,10.62840625,8.5856045,9.900677,7.893105999999999,3.150677,2.393106,5.915737,4.618043,4.8190245,3.775677,1.5128385,1.071553,0.8993074999999999,0.594491,0.8993074999999999,0.594491,0.44965375,0.2972455,0.44965375,0.2972455,0.224827,0.148623,0.224827,0.148623,35.0,28.0,0.9516985018,0.951500226,2.0,-0.7125,-0.98,0.8531114999999999,0.6562089999999999,-5.50316025,-12.652516499999999,-25.29557625,-51.5202115,4.007898650533333,1354.625696,624.0011099999998,0.303727277,0.008046881,49.21768425,38.5183555,1.285965,0.8713099999999999,82.80925,65.5425,89.54860575,71.03969649999998,6.5,5.0,0.3068228235,0.306057723,0.6954604195000001,0.693942277,0.0590760503,3.3885000000000007e-06,65.1874916548,43.732211686499994,148.0506465007,99.7497211435,212.5951482337,143.4819328195,1.5,1.0,1.3778651593,1.0236480265,0.39289225,0.390875,0.7005767500000001,0.677437,0.011158725500000001,0.0,15.1725,10.115,15.386500750000002,13.996979500000002,32.367974,23.042120999999998,0.8321842500000001,0.7762215,0.6104072500000001,0.5077315,0.135351,0.087375,0.38959275,0.28691700000000003,0.03246475,0.024478,41.751865,31.573889,1.0734,0.7155999999999999,4.92920975,4.7496114999999985,0.16781575,0.111853
3467,phenol,pyrrole,phenol,alkylsilane,0.5,0.5,0.11064894133333336,31.015275,29.18675,0.33260659400000003,0.30531667,3.6217415,3.570665,373.3111035,352.2516,17,12.10009375,11.5289795,11.4179895,10.927731,3.6679894999999996,3.427731,6.851259,6.4890870000000005,5.62038575,5.3783995,1.8273965,1.7006690000000002,1.1086465,1.013169,1.1086465,1.013169,0.5526734999999999,0.503285,0.5526734999999999,0.503285,0.275512,0.249993,0.275512,0.249993,39.5,37.0,0.9322471012000001,0.9129939765,2.0,-0.915,-0.98,0.9211809999999999,0.7923479999999999,1.46734675,1.2884975,0.77013525,0.6112115,4.895144552333334,1697.10013525,1308.9499885,0.008476474500000001,0.008046881,56.66234875,53.407684499999995,1.6062450000000001,1.51187,93.5725,87.069,101.3075985,94.557682,7.5,7.0,0.35194572049999995,0.307587924,0.6514791440000001,0.605979726,0.08861305879999999,0.059077405499999985,78.1686294118,69.6944872005,161.2649756595,126.178379461,238.469120197,195.22987674600003,1.75,1.5,1.61735211,1.5026219280000002,0.38014175,0.3694085,0.6999482499999999,0.677437,0.0167380882,0.011158725500000001,19.12,18.01,17.95782075,16.776022,37.2488035,32.80378,0.8887139999999999,0.8881469999999999,0.66644675,0.6198104999999999,0.0929275,0.087375,0.33355325,0.28691700000000003,0.0183585,0.012239,49.0573675,46.18489400000001,1.0734,0.7155999999999999,5.07585675,5.0429055,0.111286,0.110719
1985,ethylene,methyl,nitrophenyl,alkylsilane,0.5,0.5,0.12223814646666667,25.72145,13.609500000000002,0.3700562915,0.283081329,3.9914965,3.773039,280.29519025,93.6191995,17,10.43440125,7.327350499999999,9.506855,7.25,3.006855,1.25,5.56906975,3.5520294999999997,4.6068775,3.375,1.3568775000000002,0.375,0.7716084999999998,0.0625,0.7716084999999998,0.0625,0.397189,0.0,0.397189,0.0,0.1985945,0.0,0.1985945,0.0,34.0,16.0,0.8043491785,0.637277564,0.0,-0.755,-1.38,1.05899075,0.021204499999999998,1.314667,0.37,-0.9001224999999998,-3.053077,1.4683159380000002,1461.3377265,35.688185,0.1384546865,0.0060664510000000005,47.32789975,26.3716855,1.506235,1.10925,80.05475,30.0275,86.54731399999999,36.04695,6.25,2.5,0.40163453,0.237330347,0.8324566605,0.762669653,0.1124157368,9.116e-06,64.5455301423,3.3505218765,206.9780950807,9.833654360499999,270.7380013595,11.612928591999998,1.5,1.0,1.3862382213,0.6978921834999999,0.28822975,0.1987375,0.4116505,0.3627900000000001,0.2391197388,0.0,21.570000000000004,0.0,20.25769775,8.2245515,25.59194625,16.5693935,0.8819100000000001,0.7638199999999999,0.590579,0.517365,0.075587,0.0,0.409421,0.33620700000000003,0.04250299999999999,0.0,37.948792,24.793945,2.843693,0.0,5.057159,0.0,0.11809000000000001,0.0
2251,fluorophenyl,nitrophenyl,nitrophenyl,alkylsilane,0.5,0.5,0.11268523593333335,36.1593,34.4852,0.4338789068,0.41072655950000003,3.74996325,3.7268875,445.17221875,423.3732565,17,13.1471145,12.752777,11.5422735,11.320837,4.5422735,4.320837,7.358439,7.130767999999999,5.73881175,5.6388685,2.23881175,2.1388685,1.4077832500000005,1.3348495,1.4077832500000005,1.3348495,0.74440625,0.6944345000000001,0.74440625,0.6944345000000001,0.3722032499999999,0.3472175,0.3722032499999999,0.3472175,49.5,47.0,0.966663321,0.9619058490000002,0.0,-1.2475,-1.38,1.90058725,1.7043974999999998,2.12824225,1.9971505,1.18951825,1.1262045,2.655606679066667,2474.19980675,2061.4123455,0.006551111000000001,0.0060664510000000005,65.662254,63.04039399999999,1.960945,1.9032200000000001,123.33025000000002,116.5785,130.299053,123.550428,9.5,9.0,0.25419946930000004,0.237330347,0.7458005308,0.7289314084999999,8.5312e-06,7.946500000000001e-06,116.02527648799999,106.31001456799999,352.6371406547001,301.15174550849997,468.66241707980004,407.4617600325,1.75,1.5,1.9865003293,1.8984163995,0.3496065,0.32149099999999997,0.3839507500000001,0.3627900000000001,0.0,0.0,32.355,21.570000000000004,28.07126575,23.8516875,36.20473275,34.614499,0.80339975,0.7638199999999999,0.56969125,0.517365,0.13284575,0.1145175,0.43030875,0.3779825000000001,0.06375449999999999,0.04250299999999999,51.32711675,51.10363900000001,4.2655395,2.843693,8.68334225,7.252366499999999,0.19660025,0.15702049999999998
3492,phenyl,phenyl,carboxyl,alkylsilane,0.5,0.5,0.12181187320000003,22.1303625,13.3098,0.4593900728000001,0.2758378785,3.73862875,3.6538795,230.738716625,94.701658,17,9.489610625,6.7844570000000015,8.77665025,5.816497000000001,2.6516502500000003,1.816497,5.115983250000001,3.48138,4.207551875,2.566497,1.19752575,0.6582479999999999,0.65275525,0.287457,0.65275525,0.287457,0.25368850000000004,0.0,0.25368850000000004,0.0,0.126431875,0.0,0.126431875,0.0,30.25,24.0,0.94112818565,0.89184895825,1.0,-0.6475,-0.7649999999999999,0.5778512499999999,0.443274,1.475702875,1.369142,1.04705325,0.6241064999999999,2.0077629542833333,852.5074275000001,35.647376,0.06680011175,0.0073977435,42.53094625,29.766501,0.997525,0.09090000000000002,70.298,56.02,76.418226875,60.021129,5.5,4.0,0.29122734110000004,0.137858338,0.7202509145,0.5583054709999999,0.09679228349999999,0.034489757,42.53288588425001,7.01852079,76.4179090325,44.95084,118.0297062989,50.948936106000005,1.125,1.0,1.28098705935,1.057355523,0.305780125,0.20341225,0.480751375,0.30582574999999995,0.047067321749999995,0.0155579795,20.62375,3.9475,16.325204,14.285735,24.722793625,9.903345,0.680234375,0.387865,0.5375075,0.35033699999999995,0.188866625,0.02739625,0.4624925,0.275322,0.130899,0.0,31.77394725,10.964168,3.7002525,0.0,5.573797875,1.24425075,0.319765625,0.02739625
1226,cyano,nitrophenyl,nitrophenyl,alkylsilane,0.5,0.5,0.09463988246666666,31.1968,24.5602,0.5927611587,0.4570312540000001,3.71796275,3.6628865,369.17199525,271.3728095,17,11.457865750000002,9.3742795,9.934586,8.105462,3.934586,3.1054620000000006,6.3297475,5.073385,4.8724680000000005,3.906181,1.872468,1.406181,1.1384885,0.7962600000000001,1.1384885,0.7962600000000001,0.5957835,0.397189,0.5957835,0.397189,0.29789175,0.1985945,0.29789175,0.1985945,43.0,34.0,0.9785655948,0.971420793,0.0,-1.1625,-1.38,1.612868,1.128959,1.8170005,1.374667,-0.17807199999999998,-1.608976,2.9494740559,2168.28165025,1449.5760325,820.4874965,0.0060664510000000005,57.1410065,45.997899,1.5598850000000002,1.21655,107.06874999999998,84.0555,113.04239575,89.03711349999998,8.25,6.5,0.17800185429999998,0.1186733615,0.8219981458,0.762669653,6.837000000000002e-06,4.558e-06,94.3054505863,62.87036276450001,305.9450112817,207.7674867625,400.2504618125001,270.637849498,1.5,1.0,1.7183936165,1.362202974,0.35718075,0.3366395,0.5220925000000001,0.3627900000000001,0.0,0.0,38.3025,33.465,28.47648025,24.6621165,27.27634725,19.9381955,0.8228649999999998,0.7638199999999999,0.447026,0.376687,0.1133805,0.075587,0.552974,0.482635,0.06375449999999999,0.04250299999999999,43.90154950000001,36.69946,4.2655395,2.843693,7.5857385000000015,5.057159,0.17713499999999996,0.11809000000000001
2726,isopropyl,pyrrole,phenol,alkylsilane,0.5,0.5,0.11684908630000004,27.932325,23.02085,0.34053842450000005,0.32118033100000004,4.0892184999999985,3.672818,316.1168175,237.86302799999999,17,11.93229175,11.1933755,11.4409275,10.973607,3.1909274999999995,2.473607,6.48540125,5.7573715000000005,5.592292750000001,5.3222135,1.5263654999999998,1.098607,0.9013655,0.598607,0.9013655,0.598607,0.402158,0.202254,0.402158,0.202254,0.20025425,0.0994775,0.20025425,0.0994775,35.5,29.0,0.9347442062,0.9179881865,1.0,-0.67,-0.98,0.6886774999999999,0.327341,1.55579775,1.4653995000000002,0.5378705,0.146682,2.403178334133333,1253.8076925,422.3651029999999,0.0187816195,0.008046881,52.154041,44.391069,1.596665,1.49271,80.5645,61.053,88.81278225,69.5680495,6.5,5.0,0.3436358095000001,0.307587924,0.6964410010000001,0.69590344,0.1912899955,0.118148712,60.9679904393,35.2932092555,126.4480107088,56.544449559499995,184.314005378,86.91964710799999,1.25,0.5,1.499316918,1.266551544,0.3131835,0.23549199999999995,0.5965005,0.515564,0.13084860199999998,0.022317451000000002,14.0625,7.895,17.19071175,16.776022,33.43775525,25.1816835,0.91667725,0.8881469999999999,0.6528390000000001,0.592595,0.07108375,0.0547925,0.347161,0.28691700000000003,0.012239,0.0,46.11421225,40.2985835,0.7155999999999999,0.0,3.79865475,2.4885015,0.08332275,0.0547925
1539,cyclopropyl,phenol,cyano,alkylsilane,0.5,0.5,0.1085207892,18.45395,11.287,0.6168670352000001,0.2337831975,3.46725525,3.3817764999999995,185.8768645,75.774438,17,8.271355499999999,5.207107,7.700669,4.447214,2.200669,1.447214,4.33368775,2.56066,3.7023965,1.973607,0.9753344999999999,0.4736070000000001,0.5131825,0.111803,0.5131825,0.111803,0.2130155,0.0,0.2130155,0.0,0.08307025,0.0,0.08307025,0.0,24.5,16.0,0.9337135558000002,0.8674271115000001,1.0,-0.5,-0.51,0.38011100000000003,0.161141,0.7121045,0.49,-2.00312725,-4.470784,3.6678745878,591.009487,12.164797,1640.9743513415006,0.016916036000000002,36.35209775,23.711684,1.04417,0.52988,56.0445,38.029,61.54330325,41.026549,4.5,3.0,0.2322921973,1.6376e-05,0.8336842035000002,0.6673847829999999,0.1860540132,0.0,27.8450460975,0.00018712100000000005,61.1401081215,11.412437724,86.08323408580002,11.412624869000002,0.75,0.0,1.0163406485,0.649821689,0.28159175000000003,0.2676265,0.7446050000000001,0.4892100000000001,0.1946172548,0.0,16.9525,10.115,15.452217,13.871045,19.42732775,5.261892,0.97203675,0.9440735,0.47107825,0.236009,0.02184375000000001,0.0,0.52892175,0.2938525,0.0061195,0.0,33.24454275,22.295281,0.35779999999999995,0.0,1.277202,0.0,0.02796325,0.0
3321,perfluoromethyl,perfluoromethyl,carboxyl,alkylsilane,0.5,0.5,0.12235748255000002,17.42893125,13.3098,0.44488893079999997,0.246835594625,3.829762,3.8036465,157.10620350000005,94.701658,17,8.235113687499998,6.7844570000000015,7.151438125,5.816497000000001,2.3389381250000003,1.816497,4.2744619375,3.48138,3.3316601875000003,2.566497,0.980319375,0.6582479999999999,0.5354393749999999,0.287457,0.5354393749999999,0.287457,0.133223125,0.0,0.133223125,0.0,0.066405375,0.0,0.066405375,0.0,29.5,24.0,0.934601598125,0.8787957832500001,1.25,-0.5212500000000001,-0.54625,0.9326810625,0.443274,1.394983875,1.31996775,7.245680375,1.47,2.0516195984916665,493.58037618750006,35.647376,0.06778460612500001,0.009366732249999999,36.966082625,29.766501,0.8952375000000001,0.09090000000000002,70.4079375,56.02,75.218749125,60.021129,5.0625,4.0,0.3020411609,0.137858338,0.731314069575,0.5804317811249999,0.216481421325,0.15909481,35.94451085105001,7.01852079,69.551081928625,44.95084,102.55074966389999,50.948936106000005,0.875,0.75,1.219453185525,1.057355523,0.456985875,0.408148,0.520138875,0.3846007500000001,0.24388753957500006,0.078576664,20.90125,4.5025,17.4020090625,16.200052874999994,18.0716936875,9.903345,0.629152875,0.387865,0.4598259375,0.35033699999999995,0.1874785,0.02462,0.5401740625,0.430685125,0.183368625,0.10493925,24.5578898125,10.964168,5.333777250000002,3.2670494999999997,5.5820356875,1.260726375,0.370847125,0.12955925
