,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min
1748,difluoromethyl,nitro,cyano,alkylsilane,0.5,0.5,0.10358908263333333,11.7926,11.287,0.8245768984999999,0.649202924,3.7292445,3.5527339999999996,75.998587,75.774438,17,5.872891,5.207107,4.85351675,4.447214,1.60351675,1.447214,2.8286740000000004,2.56066,2.16598325,1.973607,0.54098325,0.4736070000000001,0.18528175,0.111803,0.18528175,0.111803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,16.0,0.9946791755,0.989358351,0.0,-0.44,-0.51,0.8465892500000001,0.161141,1.06,0.49,-1.4203920000000003,-4.470784,1.6546857359000002,15.68045475,12.164797,1641.041863866,0.151941085,26.021413,23.711684,0.5560149999999999,0.52988,49.023,38.029,52.27439575,41.026549,3.5,3.0,0.068802312,1.6376e-05,0.9456559238,0.8913282235000001,0.0956315478,0.0,3.6521102715,0.00018712100000000005,28.473853300199995,11.412437724,31.303437630700003,11.412624869000002,0.5,0.0,0.838700992,0.649821689,0.377735,0.295557,0.74895075,0.4979015000000001,0.1960237082,0.0,22.68,21.570000000000004,15.49068075,13.9479725,9.067706,5.261892,0.7652804999999999,0.530561,0.35681599999999997,0.236009,0.17656075000000002,0.0,0.643184,0.5223770000000001,0.058159,0.0,18.23422575,14.1731705,1.6003739999999995,0.0,4.7237870000000015,0.0,0.23471950000000005,0.0
290,acetyl,phenol,ethylene,alkylsilane,0.5,0.5,0.1116601242,20.2352,15.871,0.514341983,0.463290917,4.21771025,4.0359045,192.47005575,125.728624,17,9.13949,7.654700999999998,8.704124,7.5,2.204124,1.5,4.7690625,3.854059,4.141624,3.5,0.914562,0.5,0.4458119999999999,0.125,0.4458119999999999,0.125,0.1505155,0.0,0.1505155,0.0,0.07525775,0.0,0.07525775,0.0,25.5,18.0,0.9762485192,0.9680868625000002,0.0,-0.4575,-0.655,0.34161325,0.042408999999999995,1.199049,0.7399999999999999,-2.40331225,-6.106154,0.9831890815333334,562.2426780000002,50.070311,0.14384892119999998,0.051531488499999986,38.09905075,29.209355,1.17013,1.14796,56.0435,36.033,62.54832,42.04695,4.5,3.0,0.20832679999999995,0.175804638,0.8082833580000001,0.7923713490000001,0.102883335,9.651e-06,25.7478739123,3.492125607,69.22548272600001,16.377051061,93.8194904623,19.869176611,1.5,1.0,1.1343881918,0.8415587529999999,0.314212,0.23080799999999999,0.6203237500000001,0.421022,0.096924244,1.0000000000000002e-08,9.325,0.0,11.8082305,8.224552000000001,24.7655385,19.435003,0.93516275,0.8703255,0.67186425,0.6410775,0.058717749999999985,0.0,0.32813575,0.297349,0.0061195,0.0,33.74013275,27.659555,0.35779999999999995,0.0,2.47583625,0.0,0.06483725,0.0
2999,methyl,phenol,cyano,alkylsilane,0.5,0.5,0.10969644093333336,16.69145,11.287,0.5901419682,0.1803330635,3.6996695,3.5527339999999996,151.8573145,75.774438,17,7.521355500000001,5.207107,6.950669,4.447214,1.9506689999999998,1.447214,3.8961877500000006,2.56066,3.2648965000000003,1.973607,0.7878345000000001,0.4736070000000001,0.35693249999999993,0.111803,0.35693249999999993,0.111803,0.1505155,0.0,0.1505155,0.0,0.07525775,0.0,0.07525775,0.0,22.0,16.0,0.8104112945,0.6208225890000001,1.0,-0.5,-0.51,0.34307399999999993,0.161141,0.6565489999999999,0.49,-2.00312725,-4.470784,3.7629133922666655,532.72148375,12.164797,1641.0442849163,0.1567831855,32.71859925,23.711684,0.9466449999999998,0.52988,50.03900000000001,38.029,55.03939075,41.026549,4.0,3.0,0.31592336600000004,1.6376e-05,0.9193094448,0.8386352655000001,0.14194594400000002,0.0,22.463016002800003,0.00018712100000000005,55.616676241499995,11.412437724,76.9725734898,11.412624869000002,0.75,0.0,0.8964878209999999,0.649821689,0.287164,0.278771,0.79435925,0.5887184999999999,0.244699099,0.0,16.9525,10.115,14.76683775,12.5002865,16.48034875,5.261892,0.97203675,0.9440735,0.452509,0.236009,0.02184375000000001,0.0,0.547491,0.330991,0.0061195,0.0,29.6121845,22.295281,0.35779999999999995,0.0,1.277202,0.0,0.02796325,0.0
1937,ethylene,isopropyl,cyano,alkylsilane,0.5,0.5,0.11250671016666668,14.73925,11.287,0.7392296587999999,0.4785084445,4.2619275000000005,3.5527339999999996,110.71774075,75.774438,17,7.51722875,5.207107,7.098607,4.447214,1.598607,1.447214,3.68134475,2.56066,3.2993035,1.973607,0.5493035,0.4736070000000001,0.18090150000000002,0.111803,0.18090150000000002,0.111803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,16.0,0.9864747055,0.972949411,0.0,-0.32,-0.51,0.12117275,0.0812045,0.93,0.49,-3.7619305,-4.470784,0.38072685,96.620104,12.164797,1641.0372517773,0.14271690750000002,29.62912625,23.711684,0.97859,0.52988,40.03375,38.029,45.5445745,41.026549,3.25,3.0,0.1125464175,1.6376e-05,0.9252471512,0.8505106785000001,0.1322165275,0.0,5.3331788955,0.00018712100000000005,24.071409641,11.412437724,26.9455826802,11.412624869000002,0.25,0.0,0.8502859138000001,0.649821689,0.236241,0.176925,0.671167,0.342334,0.119689879,0.0,11.895,0.0,13.999729,10.966069,14.10210525,5.261892,1.0,1.0,0.45833025,0.236009,0.0,0.0,0.5416697500000001,0.31934850000000004,0.0,0.0,28.10183425,22.295281,0.0,0.0,0.0,0.0,0.0,0.0
1199,cyano,nitro,difluoromethyl,alkylsilane,0.5,0.5,0.11977027363333333,11.89035,11.678000000000004,0.7113497105000001,0.547042121,3.846159,3.6719260000000014,73.809865,67.01955,17,6.32111425,5.642228499999999,5.1806955000000015,4.605462,1.6806955,1.6054620000000002,3.001009,2.752018,2.3295725,2.031181,0.5795724999999999,0.531181,0.22243375,0.1844565,0.22243375,0.1844565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,20.0,0.9904082262,0.9829162029999999,0.0,-0.3475,-0.555,0.97232275,0.664075,1.4025,0.945,0.162304,-1.535392,0.8556714237666667,17.96577025,14.6254815,820.5798233233,0.083624476,27.357278499999996,25.659410999999995,0.7413949999999999,0.21139000000000005,55.02025,48.0225,58.52478525,51.0214635,3.75,3.5,0.114777422,0.045638028,0.9141390495,0.8739161270000001,0.1912630955,0.0,6.2672774780000005,2.0736990090000003,38.053354426,26.376266625,42.67558000879999,28.4499656365,0.75,0.5,0.9414518632,0.8220785525000002,0.44223775,0.33090749999999997,0.6229015,0.495803,0.3920474165,0.0,16.7325,0.0,14.20346625,11.884531,11.660413499999999,7.688105,0.627346,0.448262,0.43984025,0.3115745,0.25633649999999997,0.19357,0.56015975,0.431894,0.116318,0.0,15.74413725,12.334927,3.2007479999999995,0.0,6.918994500000001,5.057159,0.372654,0.19357
1030,cyano,cyano,fluorophenyl,alkylsilane,0.5,0.5,0.11472324888416666,23.534876562500006,15.932753125,0.5334479502812499,0.364421865,3.68814975,3.603072,260.27592126562496,140.77651053125004,17,9.625157265625,7.286212531250001,8.72132265625,6.5646813125,2.90882265625,1.9396813125,5.195499078125,3.71557215625,4.256836953125,3.07469190625,1.354279,0.769576,0.7677570937500001,0.34653218750000003,0.7677570937500001,0.34653218750000003,0.35615860937499993,0.11782621875,0.35615860937499993,0.11782621875,0.176563171875,0.05588034375,0.176563171875,0.05588034375,32.1875,22.375,0.95036488326875,0.9255592512187496,0.0,-0.66640625,-0.8559374999999998,0.887443328125,0.46286865625,0.8609365625,-0.013093874999999908,-2.3049308281250007,-6.1988765312500025,1.7465477607504163,814.6956300937499,342.26907015625,871.8047308016562,0.008005090999999995,44.90306578125,32.0094575625,1.508756875,0.88339375,77.462140625,51.84928125,83.263689046875,56.47420009374998,6.015625,4.03125,0.23800924023125,0.1600108223125,0.788092762325,0.6951931640000003,0.048033230062500015,4.5936875000000006e-06,53.532438764937496,20.185386801843745,124.14127302315626,49.50243260865626,177.00097786913128,68.94150980028125,0.765625,0.53125,1.3174001038437502,0.9125516676875,0.2843452656250001,0.24852125,0.6044740625,0.44743300000000014,0.06903478023125001,0.0,8.69046875,0.0,15.851030093749998,14.7853118125,27.614615953125,14.25379790625,0.926334984375,0.8912209374999999,0.5603945625,0.394119125,0.0638715625,0.03277759375,0.4396054375,0.27333,0.00979346875,0.0,40.10701754687501,28.21648509375,0.330118453125,0.0,3.028510046875,1.5832620937499997,0.073665015625,0.038550968750000005
2251,fluorophenyl,nitrophenyl,nitrophenyl,alkylsilane,0.5,0.5,0.11268523593333335,36.1593,34.4852,0.4338789068,0.41072655950000003,3.74996325,3.7268875,445.17221875,423.3732565,17,13.1471145,12.752777,11.5422735,11.320837,4.5422735,4.320837,7.358439,7.130767999999999,5.73881175,5.6388685,2.23881175,2.1388685,1.4077832500000005,1.3348495,1.4077832500000005,1.3348495,0.74440625,0.6944345000000001,0.74440625,0.6944345000000001,0.3722032499999999,0.3472175,0.3722032499999999,0.3472175,49.5,47.0,0.966663321,0.9619058490000002,0.0,-1.2475,-1.38,1.90058725,1.7043974999999998,2.12824225,1.9971505,1.18951825,1.1262045,2.655606679066667,2474.19980675,2061.4123455,0.006551111000000001,0.0060664510000000005,65.662254,63.04039399999999,1.960945,1.9032200000000001,123.33025000000002,116.5785,130.299053,123.550428,9.5,9.0,0.25419946930000004,0.237330347,0.7458005308,0.7289314084999999,8.5312e-06,7.946500000000001e-06,116.02527648799999,106.31001456799999,352.6371406547001,301.15174550849997,468.66241707980004,407.4617600325,1.75,1.5,1.9865003293,1.8984163995,0.3496065,0.32149099999999997,0.3839507500000001,0.3627900000000001,0.0,0.0,32.355,21.570000000000004,28.07126575,23.8516875,36.20473275,34.614499,0.80339975,0.7638199999999999,0.56969125,0.517365,0.13284575,0.1145175,0.43030875,0.3779825000000001,0.06375449999999999,0.04250299999999999,51.32711675,51.10363900000001,4.2655395,2.843693,8.68334225,7.252366499999999,0.19660025,0.15702049999999998
3218,nitrophenyl,nitrophenyl,nitrophenyl,alkylsilane,0.5,0.5,0.12192973483666665,35.66800416666667,33.50260833333333,0.4202896629500001,0.3835480719166666,3.763155541666667,3.7316180833333337,434.4170460833333,401.86291116666666,17,13.073906291666665,12.529473083333334,11.499993541666667,11.03787475,4.458326875,4.15294375,7.288601708333334,6.96604,5.698337124999999,5.459180750000002,2.18352625,2.0282975,1.371155,1.261593,1.371155,1.261593,0.7176980000000001,0.641018,0.7176980000000001,0.641018,0.35871154166666663,0.3202340833333333,0.35871154166666663,0.3202340833333333,48.83333333333334,45.66666666666666,0.9562538973666668,0.9410870017499999,0.6666666666666666,-1.237083333333333,-1.38,1.877246333333333,1.6577156666666668,2.0850757916666662,1.9108175833333327,2.1657851666666668,1.0721451666666666,2.655400207059444,2600.03945525,2247.5784669166665,0.0065728702500000005,0.0060581955,64.803181125,61.32224825,1.8771658333333336,1.8101099999999999,121.11987499999998,112.15775,128.13253254166668,119.21738708333332,9.333333333333334,8.666666666666666,0.27660398281666665,0.237330347,0.7277894272,0.6929092014166667,0.030832703416666662,8.681833333333334e-06,114.74421401811666,103.74788962825,344.62230601550004,285.12207623008334,458.8178422342,387.7726103414168,1.8333333333333333,1.6666666666666667,1.95303963915,1.83149501925,0.3738849583333333,0.33792675000000005,0.373742375,0.3247498333333333,0.03674203571666667,0.0,35.65333333333333,28.16666666666667,28.900808166666664,25.510772333333332,34.50342020833333,31.935830666666664,0.795307625,0.7638199999999999,0.5450363749999999,0.5104618333333333,0.12788608333333332,0.10459816666666666,0.454963625,0.4203890833333333,0.07680629166666668,0.0587105,50.15732479166667,47.96764583333333,4.819493041666666,3.910857333333334,8.427410541666667,6.740503083333333,0.20469237500000004,0.17320475000000002
1084,cyano,ethylene,cyclopropyl,alkylsilane,0.5,0.5,0.1174274349,15.9885,13.579,0.4451709190000001,0.107669877,3.53343,3.090735,149.169753,100.751531,17,8.215451999999999,6.430904,7.9868035000000015,5.973607,1.7368035,1.473607,4.10367975,3.2073595,3.86840175,2.7368035,0.74340175,0.4868035,0.37170075,0.1184015,0.37170075,0.1184015,0.125,0.0,0.125,0.0,0.015625,0.0,0.015625,0.0,20.5,17.0,0.8877795425,0.7833539970000001,0.0,-0.1925,-0.385,0.1249615,0.101775,0.41861099999999996,0.222222,-2.6442345,-5.288469,0.28301932715,142.787813,31.117554,820.5548808458,0.025785191000000002,32.26426475,26.4605195,1.138695,0.8610899999999999,42.5375,37.031,48.79967475,41.5367495,3.5,3.0,0.35472931,0.087910507,0.7749402498000001,0.637791004,0.3130360833,4.8255e-06,13.2415974445,1.746156364,19.6393647863,13.8947443925,27.7201118485,15.64090074,0.75,0.5,0.8896635725,0.7456902209999999,0.20378025,0.144378,0.5057470000000001,0.300983,0.3780757865,5e-09,5.9475,0.0,11.79751925,10.966068,18.92007375,12.3484475,1.0,1.0,0.584271,0.46933,0.0,0.0,0.415729,0.300788,0.0,0.0,30.717593,24.977418,0.0,0.0,0.0,0.0,0.0,0.0
3136,nitro,phenol,fluorophenyl,alkylsilane,0.5,0.5,0.1136938452,27.00905,22.8811,0.46002599380000003,0.364421865,3.706352,3.680736,309.83679825,239.8982645,17,10.6691905,9.374279,9.6069715,8.335979,3.3569715,2.835979,5.87691475,5.0784035,4.70727275,3.9755635,1.60521075,1.2714395,0.9597995,0.730617,0.9597995,0.730617,0.44776099999999996,0.301031,0.44776099999999996,0.301031,0.22388075,0.1505155,0.22388075,0.1505155,37.5,33.0,0.9630206338,0.952390905,0.0,-0.8200000000000001,-0.85,1.5185125,1.312018,1.6290325,1.523098,1.08205325,0.999577,2.24223720945,1143.5028235,1051.168224,0.0610786892,0.008005090999999999,50.77937475,43.7620755,1.46544,0.79676,91.0605,79.046,97.29506225,84.5369465,7.0,6.0,0.252115319,0.199423802,0.7490263025,0.6951931640000001,0.0295405665,6.777000000000001e-06,66.137240994,45.39499126,158.513394454,118.84583369200001,224.329140482,163.597835026,1.25,1.0,1.5427286969999998,1.363208854,0.32191325,0.26526,0.5180757500000001,0.44743299999999997,0.0055793628,0.0,15.8425,0.0,15.9031245,15.412531,33.43975325,25.9040725,0.83632125,0.7505035,0.63839075,0.5501115,0.15755925,0.077861,0.36160925,0.27333,0.0061195,0.0,42.98408875,33.9706275,0.3578,0.0,6.000989,4.390415,0.16367875,0.077861
