,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min
791,carboxyl,ethylene,perfluoromethyl,alkylsilane,0.5,0.5,0.13921870109999998,13.1597,11.729,0.397304941,0.190442224,4.0659195,4.020392,88.86245799999998,67.509775,17,7.1097895000000015,7.0,5.89607075,5.133893,1.89607075,1.6582485,3.45885975,3.25,2.6750977500000004,2.3169470000000003,0.6980354999999999,0.579124,0.35199374999999994,0.2062285,0.35199374999999994,0.2062285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,21.0,0.9165823632000002,0.845755932,0.0,-0.3025,-0.395,1.14834675,0.2428415,1.1267115,1.105,11.5069365,-2.318077,0.44749506423333335,32.08245125,21.306059,0.096000132,0.010815846999999998,30.6518195,29.487928000000004,1.1051,0.6416000000000001,63.52125,46.0265,67.52636225,51.0340395,4.25,3.5,0.34517789,0.15683148800000002,0.7044698318000001,0.555743801,0.2816315458,0.0795522305,28.323178368299995,5.2553231985,42.0992105493,30.6639455305,65.8696449402,35.409056358499996,0.5,0.0,1.07415463,0.949457138,0.5347505,0.31947800000000004,0.43584125,0.333333,0.4182739125,0.039288337,9.325,0.0,15.21753975,13.2946125,13.9202095,13.171245,0.74508675,0.6939325,0.4805105,0.43452700000000005,0.08758424999999999,0.0,0.5194894999999999,0.473506,0.16732899999999998,0.130899,21.72363725,19.3118615,4.93827575,3.7002525,2.47583625,0.0,0.25491325,0.203759
1559,cyclopropyl,phenyl,cyclopropyl,alkylsilane,0.5,0.5,0.13837566915,21.59325,18.398,0.14333545050000002,0.107669877,3.23823525,3.090735,242.04768525,197.587975,17,10.4910255,10.0,10.375,10.0,2.375,2.0,5.4188565,5.0,5.1875,5.0,1.1875,1.0,0.7187500000000001,0.625,0.7187500000000001,0.625,0.3125,0.25,0.3125,0.25,0.0859375,0.03125,0.0859375,0.03125,27.0,24.0,0.805403878,0.7833539970000001,0.0,-0.195,-0.39,0.29571875000000003,0.148148,0.56810875,0.222222,0.14559975,0.0,0.7558423204000001,499.80290975,254.458072,0.0208307395,0.015876288000000002,42.31003475,38.06801,1.56098,1.4163,57.05225,48.044,65.0626,56.0626,4.75,4.0,0.5887307345,0.555913356,0.6057736032000001,0.5737562025,0.4695522365,0.313037132,39.910754491700004,24.737038525,41.242687768,25.38398518,73.4121667,39.799322957,1.0,1.0,1.1486172878,1.033636924,0.14779,0.144378,0.26505375000000003,0.22912449999999998,0.5671136760000001,0.378075784,0.0,0.0,10.96606825,10.966068,29.77563425,25.4917,1.0,1.0,0.723255,0.699212,0.0,0.0,0.27674499999999996,0.252702,0.0,0.0,40.7417025,36.457768,0.0,0.0,0.0,0.0,0.0,0.0
1075,cyano,difluoromethyl,perfluoromethyl,alkylsilane,0.5,0.5,0.13621836423333333,11.60575,11.4825,0.4819693605,0.190442224,3.9034775,3.7865629999999997,69.4533845,67.509775,17,6.5517767499999975,6.1035535,5.11773225,5.1015715,1.86773225,1.6015714999999997,3.077665,2.9053300000000006,2.30886625,2.3007855,0.68386625,0.5507854999999999,0.341933,0.186107,0.341933,0.186107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,21.0,0.9186070168000001,0.845755932,0.0,-0.2675,-0.325,1.2332299999999998,0.4126079999999999,1.1617115,1.148423,12.013279000000002,-1.305392,0.7327124833333333,19.0207435,16.735428,820.5092607042003,0.010815846999999998,29.099563,26.383415000000007,1.23462,0.9006400000000001,65.51975,50.02349999999999,68.7730065,53.52732799999999,4.25,3.5,0.31274544400000004,0.091966596,0.7463468381999999,0.555743801,0.3374869782,0.1912630955,28.310777536,5.230521534,42.052957771799996,30.571439975500002,65.2435715735,34.156909625,0.25,0.0,1.0270877767,0.8553234315,0.58729275,0.4245625,0.54061725,0.333333,0.5946534522,0.3920474165,5.9475000000000025,0.0,15.799713500000001,14.45896,11.809276000000002,10.447307,0.7601859999999999,0.7241310000000001,0.4182922500000001,0.40205749999999996,0.07977575,0.0,0.58170775,0.565473,0.1600385,0.116318,20.7252585,17.315104,4.6885235,3.2007479999999995,2.1952075,0.0,0.239814,0.203759
2005,ethylene,nitro,perfluoromethyl,alkylsilane,0.5,0.5,0.145375897,13.06185,11.729,0.424410306,0.190442224,4.0578545,4.020392,86.543524,67.509775,17,6.93301275,6.8660255,5.632874,5.133893,1.882874,1.6318549999999998,3.32435875,3.25,2.55566225,2.3169470000000003,0.68066225,0.5443775,0.344407,0.191055,0.344407,0.191055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,21.0,0.9179306348,0.8457559320000001,0.0,-0.32,-0.43,1.63752825,1.2212045,1.1092115,1.07,11.4894365,-2.353077,0.4862184120500001,27.44214875,21.306059,0.1195139355,0.010815847,30.11197875,28.408246500000004,1.0556,0.5426,64.02025,47.0245,67.7751745,51.531664,4.25,3.5,0.3335282255,0.133532159,0.7111058222000001,0.555743801,0.2418578432,4.8255e-06,27.605350895,3.819668252,41.1965244308,28.858573293499997,64.5042375148,32.6782415075,0.5,0.0,1.0583996032,0.9179470845000001,0.524278,0.298533,0.396922,0.333333,0.3986297465,5e-09,10.785,0.0,14.629225,12.117983,13.97295275,13.171245,0.8013355,0.796241,0.48971125,0.4345270000000001,0.096785,0.0,0.51028875,0.4551045,0.1018795,0.0,22.98544875,21.8354845,3.0881495,0.0,2.5285795,0.0,0.1986645,0.19357
1470,cyclopropyl,methyl,methoxy,alkylsilane,0.5,0.5,0.16206897780000004,13.903,12.933,0.29154451400000003,0.05421974300000002,3.65099075,3.5555635000000003,102.880154,76.211433,17,8.1035535,7.7071070000000015,7.954124,7.408247999999999,1.454124,1.4082479999999995,3.9160535,3.7071069999999993,3.766624,3.4082480000000004,0.516624,0.408248,0.207281,0.102062,0.207281,0.102062,0.0625,0.0,0.0625,0.0,0.0078125,0.0,0.0078125,0.0,19.5,19.0,0.7585828761999999,0.5367494745,0.0,-0.02,-0.04,0.073749,0.073424,0.5355555000000001,0.111111,-13.52,-27.04000000000001,0.7869313833333335,82.65890325,27.435740999999997,0.2019494772,0.1656523405,29.724287,28.647561,0.7419249999999998,0.2626,38.027,36.033,44.54832,43.054775,3.0,3.0,0.4928447898000001,0.196879129,0.8862687948000001,0.8090414865000001,0.44241939280000003,0.34698758300000004,9.0099708092,4.046963283,17.0709503655,14.33712142,21.0666811645,20.555360564,1.5,1.0,0.8131808934999999,0.7939312690000001,0.14602375,0.136525,0.70024575,0.4004915,0.7086237362000002,0.560932216,4.615,0.0,15.94788275,9.5953095,12.1673025,4.736863,0.9124015,0.8248029999999998,0.4186352500000001,0.17519699999999996,0.08759849999999998,0.0,0.58136475,0.33792649999999996,0.0,0.0,25.74675375,22.300456,0.0,0.0,2.3684315,0.0,0.08759849999999998,0.0
781,carboxyl,ethylene,cyclopropyl,alkylsilane,0.5,0.5,0.13204353719999998,16.4942,14.5904,0.3559187675,0.107669877,3.6010910000000003,3.090735,153.901558,110.215141,17,8.6097895,7.219578999999999,8.32912425,6.6582485,1.82912425,1.6582485,4.33385975,3.6677195,4.01662425,3.0332485000000005,0.789562,0.579124,0.41561425,0.2062285,0.41561425,0.2062285,0.125,0.0,0.125,0.0,0.015625,0.0,0.015625,0.0,22.5,21.0,0.8853813958000001,0.7833539970000002,0.0,-0.1975,-0.395,0.19549475,0.148148,0.663611,0.222222,-1.1590385,-2.318077,0.7143507696333332,148.65845775,42.8588435,0.103484804,0.025785191000000002,33.777969,29.487928000000004,1.02895,0.6416000000000001,47.03525,46.0265,53.54831975,51.0340395,3.75,3.5,0.3891898005,0.15683148800000002,0.7454934331999999,0.637791004,0.35280978580000005,0.0795522305,14.996180861700006,5.2553231985,28.023965355300003,25.38398518,37.6041896577,35.409056358499996,1.0,1.0,0.991547031,0.949457138,0.231928,0.144378,0.41966625,0.300983,0.3977199525,0.039288337,9.325,0.0,12.130340249999998,10.966068,20.080437,14.669174,0.84696625,0.6939325,0.612853,0.5264939999999999,0.08758424999999999,0.0,0.38714699999999996,0.300788,0.0654495,0.0,27.88481475,19.3118615,1.85012625,0.0,2.47583625,0.0,0.15303375,0.0
3057,methyl,toluene,cyclopropyl,alkylsilane,0.5,0.5,0.14448791863333335,21.015,18.398,0.1420149282,0.107669877,3.4968489999999997,3.090735,215.70065025,197.587975,17,10.3660255,10.0,10.25,10.0,2.25,2.0,5.28418775,5.0,5.0625,5.0,1.0625,1.0,0.625,0.625,0.625,0.625,0.28125,0.25,0.28125,0.25,0.09375,0.03125,0.09375,0.03125,26.0,24.0,0.7016635025000001,0.619973008,0.0,-0.195,-0.39,0.2836165,0.148148,0.5569324999999999,0.222222,0.25956599999999996,0.0,0.5439201627333333,1050.8418945,254.458072,0.0912452052,0.025785191000000002,40.970257,38.06801,1.5405600000000002,1.4163000000000003,54.0495,48.044,62.0626,56.0626,4.5,4.0,0.6279945207000001,0.621548113,0.7386680422,0.637791004,0.4599272072,0.2937870735,35.315497887,24.737038525,62.98884053800001,25.38398518,91.53611168799999,39.799322957,1.25,1.0,1.0949238807,1.033636924,0.1512695,0.144378,0.31081375,0.300983,0.6327534996999999,0.5093554315000001,0.0,0.0,10.966068,10.966068,28.4218865,25.4917,1.0,1.0,0.70119125,0.6992119999999998,0.0,0.0,0.29880875,0.2968295,0.0,0.0,39.3879545,36.457768,0.0,0.0,0.0,0.0,0.0,0.0
744,carboxyl,cyclopropyl,difluoromethyl,alkylsilane,0.5,0.5,0.17192552905000005,13.76595,11.678,0.4611740965,0.3753060720000001,3.73872425,3.4570565,106.58218325,67.01955,17,7.69611425,7.0,6.8320887500000005,5.755929,1.83208875,1.755929,3.745345,3.25,3.20560625,2.627964,0.728544,0.6279640000000001,0.35831975,0.260411,0.35831975,0.260411,0.0625,0.0,0.0625,0.0,0.0078125,0.0,0.0078125,0.0,25.0,24.0,0.934898454,0.886880705,0.0,-0.2025,-0.265,0.479893,0.295711,1.3530555,0.8461110000000001,1.2975,0.735,0.7872125061499999,83.17939150000002,21.306059,0.0798091558,0.07599383550000001,31.48620075,29.055146,1.0125,0.7536,57.025,52.032,62.03498575,58.0418645,4.0,4.0,0.2818100208,0.183916816,0.816954904,0.7599936810000001,0.3875536333,0.382526191,13.1693178022,10.460855947,42.4489274085,35.16741259,51.1376619562,45.374129531499996,1.0,1.0,1.0531606988,1.0454962235,0.4149155,0.27626300000000004,0.4870665,0.47833000000000003,0.6007294745,0.417364116,9.325,0.0,13.27495075,11.884530999999999,16.66512225,15.632722,0.57109725,0.448262,0.54644025,0.5247744999999999,0.24713575,0.1751685,0.45355975,0.431894,0.1817675,0.130899,18.0229475,12.334927,5.05087425,3.7002525,6.86625125,4.9516725,0.42890275,0.3060675
1564,cyclopropyl,phenyl,isopropyl,alkylsilane,0.5,0.5,0.14284577926666667,22.65025,20.512,0.285312432,0.17900102400000004,4.4642307500000005,3.3857355000000005,226.05042925,165.593463,17,11.4910255,10.982051,11.375,10.75,2.375,2.0,5.7938565,5.75,5.5625,5.375,1.0625,0.75,0.59375,0.375,0.59375,0.375,0.1875,0.0,0.1875,0.0,0.0703125,0.0,0.0703125,0.0,28.0,26.0,0.8944712025,0.8274537590000001,0.0,-0.195,-0.39,0.28164475,0.12,1.45699775,0.9139955,0.14559975,0.0,0.6875518548666667,528.61412925,312.080511,0.0325718745,0.015876288000000002,44.21792075,41.883782,1.68398,1.6623,57.05225,48.044,66.070425,58.07825,4.75,4.0,0.415130818,0.27434828,0.7252910962000001,0.5737562025,0.4209467955000001,0.313037132,36.4623430958,17.840215733,57.0925512055,57.083712055,86.05645740749998,65.087904372,0.5,0.0,1.2617695877,1.259941524,0.137122,0.123042,0.24638525,0.22912449999999998,0.428417645,0.378075784,0.0,0.0,12.33682725,10.9660685,30.25460125,26.449634000000003,1.0,1.0,0.702975,0.658652,0.0,0.0,0.297025,0.252702,0.0,0.0,42.5914285,40.15722,0.0,0.0,0.0,0.0,0.0,0.0
1105,cyano,fluorophenyl,ethylene,alkylsilane,0.5,0.5,0.11993369856666668,18.5415,15.871,0.6237897090000001,0.565393049,4.0081254999999985,3.616735,176.75175449999998,125.728624,17,8.12015275,7.654700999999998,7.581294500000001,7.5,2.0812945,1.5,4.236051,3.854059,3.6031472500000006,3.5,0.85314725,0.5,0.38769625,0.125,0.38769625,0.125,0.14862275,0.0,0.14862275,0.0,0.0743115,0.0,0.0743115,0.0,23.5,18.0,0.9803028143,0.9761954525000002,0.0,-0.47,-0.68,0.38949425,0.042408999999999995,0.92624175,0.7399999999999999,-3.92087875,-6.106154,0.6486139284000001,337.0357105,50.070311,820.6030311115,0.236166354,34.981767,29.209355,1.26215,1.1923,53.2925,36.033,58.79340675,42.04695,4.25,3.0,0.16410812200000002,0.152411606,0.8358918805000001,0.8241953670000001,6.5198000000000015e-06,3.3885000000000007e-06,23.465982265800005,3.492125607,60.5868737655,16.377051061,84.0528560072,19.869176611,0.75,0.5,1.0137969338,0.8415587529999999,0.25560825,0.23080799999999999,0.57236925,0.421022,5.000000000000001e-09,0.0,5.9475000000000025,0.0,12.223756,8.224552000000001,21.276833,19.435003,0.98053475,0.9610695,0.59199525,0.4813395,0.01946525,0.0,0.4080047500000001,0.297349,0.0,0.0,32.40298525,27.659555,0.0,0.0,1.09760375,0.0,0.01946525,0.0
