,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min
620,amino,perfluoromethyl,perfluoromethyl,alkylsilane,0.5,0.5,0.17320942690000002,11.324599999999998,10.9202,0.17571072620000006,0.16097922850000002,3.90059325,3.7807945,64.030011,60.55024699999999,17,6.7693375,6.5386750000000005,5.33722325,5.133893,1.83722325,1.5405535000000004,3.173344,3.096688,2.39221875,2.3169470000000003,0.668612,0.520277,0.37331925,0.2488795,0.37331925,0.2488795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,23.0,0.8364517450000001,0.8271475580000001,0.0,-0.1675,-0.21,1.54043275,1.0270135,-5.89868275,-12.945788499999999,-7.0110375,-39.354025,0.7549596456666667,20.25108575,19.1961125,0.097437797,0.010815846999999998,29.16681,26.517909000000003,1.070175,0.5717500000000001,67.2665,53.517,70.7745635,57.530442,4.25,3.5,0.5471535288,0.5335242920000001,0.5708635608,0.555743801,0.395210145,0.30670942900000003,38.9744863915,26.557939245,40.6027447248,27.671013881500002,72.9812707362,49.6323079505,0.25,0.0,1.0080689335,0.8172857450000001,0.6462100000000001,0.542397,0.486179,0.333333,0.6205257087,0.4437919295,6.505,0.0,14.58934025,12.0382135,13.05231975,12.9333945,0.77434225,0.7524434999999999,0.48756825,0.43452700000000005,0.0728385,0.0,0.51243175,0.4593905,0.15281925,0.1018795,21.5795065,19.0236,4.63222425,3.0881495,1.42992925,0.0,0.22565775,0.203759
2040,ethylene,perfluoromethyl,methyl,alkylsilane,0.5,0.5,0.14949358373333332,12.574000000000002,11.348,0.1893436228,0.0007696090000000001,4.115173,4.020392,79.06448725,61.509775,17,7.16367525,7.0,6.65847325,6.3169464999999985,1.40847325,1.0,3.40101475,3.25,3.07923675,2.9084735,0.45423675,0.25,0.15568975000000002,0.0,0.15568975000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,14.0,0.602614003,0.290144952,0.0,-0.1175,-0.235,0.52406525,0.0,0.4721057500000001,0.0,4.806449,0.0,0.4624018830333334,28.497122,21.306059,0.21450529520000008,0.1234911005,27.0232745,23.534016,1.203325,1.0262,41.27325,24.022,46.53988375,30.04695,3.0,2.0,0.6553686264999999,0.3546644650000001,0.8351307765000001,0.6899695840000001,0.34574766,0.24186025600000002,15.3252488592,3.2089181460000002,19.1230104873,3.29025766,30.7281928197,3.3566805730000002,0.75,0.5,0.7872155258000001,0.554225614,0.32854125,0.16666699999999998,0.43858875,0.3771775,0.6775543470000001,0.3986297490000001,0.0,0.0,10.45353025,8.224551,15.003454,13.703784,0.94906025,0.8981205,0.596762,0.568589,0.0,0.0,0.403238,0.375065,0.05093975,0.0,23.9129095,21.928335,1.54407475,0.0,0.0,0.0,0.05093975,0.0
1341,cyclopropyl,cyclopropyl,perfluoromethyl,alkylsilane,0.5,0.5,0.16291080629755555,15.763485000000001,11.729000000000005,0.21347198623333333,0.17157148559999996,3.7472389833333337,3.454330066666667,136.76326276666666,67.509775,17,8.410633033333335,7.0,7.308065900000001,5.133893,2.1913992333333336,1.935891466666667,4.131118150000002,3.25,3.4891205333333333,2.3169470000000003,0.9347253833333332,0.7761379000000002,0.55826915,0.44847483333333343,0.55826915,0.44847483333333343,0.12534065,0.0,0.12534065,0.0,0.037615350000000006,0.0,0.037615350000000006,0.0,29.4,26.2,0.8411638580666667,0.8165728251333333,0.0,-0.21800000000000005,-0.315,1.2651696666666663,0.4764873333333333,0.4839502666666666,-0.1866794666666668,10.940996516666667,-3.4499569666666674,0.6410140098291112,280.71623485,21.306059,0.05195814448000001,0.010815846999999998,35.77825823333333,31.53728530000001,1.4593856666666665,1.3017646666666671,69.39706666666666,57.24166666666666,74.52037700000002,64.1863054,4.8,4.233333333333333,0.5134574114400001,0.4647591793,0.62385355038,0.5557438010000001,0.4496040967666667,0.3898420920666668,42.64526301028,31.131207257633328,56.60055850005333,37.1017693401,91.65017568086668,60.644585123966685,0.5333333333333333,0.0,1.16041336954,1.0566301860666667,0.4891944666666666,0.2283659333333333,0.3647203166666666,0.31217330000000004,0.6613047349133334,0.5214129305999999,2.529333333333333,0.0,15.173372516666666,12.907078766666668,19.06970365,13.171245,0.8610703499999999,0.7914336666666667,0.53539415,0.4345270000000001,0.0266038,0.0,0.46460585,0.3637387,0.11232586666666666,0.02089273333333333,29.913944266666668,24.11331866666666,3.44027585,0.7042527,0.8888560499999999,0.0,0.13892965,0.06929296666666666
1636,difluoromethyl,ethylene,difluoromethyl,alkylsilane,0.5,0.5,0.13998436809999998,12.72625,11.678,0.551629853,0.547042121,4.115173,4.020392,81.6968185,67.01955,17,7.16367525,7.0,6.19194675,5.755929,1.69194675,1.6279645,3.40101475,3.25,2.845973,2.627964,0.595973,0.563982,0.22655825,0.1927055,0.22655825,0.1927055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,22.0,0.9832896962000001,0.982916203,0.0,-0.17,-0.2,0.5086585,0.353242,1.58,1.3,-0.1315385,-2.123077,0.47520207945,28.497122,21.306059,0.12175994550000001,0.083624476,29.09369825,29.055146,1.251625,1.23185,55.52175,49.0255,60.03281775,54.0375285,3.75,3.5,0.1818887715,0.179860727,0.8614859370000001,0.8490557470000001,0.28689705600000004,0.191267921,8.718673362,6.976490777,41.3920944355,33.053746644,47.6431899385,38.385185496,1.0,1.0,1.0060085687,0.9511919635,0.47287799999999997,0.392188,0.47710775,0.4584125,0.5880711273,0.3920474215,0.0,0.0,10.96953625,10.0545415,16.58329225,15.632722,0.5861965,0.448262,0.60174225,0.568106,0.23932725,0.1595515,0.39825775,0.3646215,0.174477,0.116318,16.166083999999998,12.334927,4.801122,3.200748,6.5856225,4.390415,0.4138035,0.27586900000000003
1696,difluoromethyl,isopropyl,hydroxyl,alkylsilane,0.5,0.5,0.1611711006,12.1189,8.1428,0.4158972832,0.362461586,3.9750245,3.1684900000000003,76.80473775,37.302969,17,7.3535535,5.207107,6.89310625,4.908248,1.39310625,0.9082479999999999,3.53033,2.56066,3.150677,2.112372,0.446553,0.204124,0.15885275,0.0,0.15885275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,0.9618025372,0.95140265,0.0,-0.055,-0.07,0.19621875,0.0004,-12.555,-27.04,-51.555,-104.04,0.1736509678,89.429041,12.164797,0.6286281118,0.06644596850000001,27.3547505,19.240037,0.537675,-0.3915,41.5205,28.01,47.03969675,32.026215,3.0,2.0,0.268220579,0.22913254800000002,0.7840312242,0.69269139,0.2278456625,0.0,7.3677342425,0.5849326450000001,27.362782105999997,1.3184870709999998,31.4489845388,1.903419701,0.75,0.5,0.7427154309999999,0.325047513,0.431432,0.338305,0.68986225,0.37972449999999996,0.3157135848,0.0,10.115,0.0,12.68874325,12.581428,13.074993,5.108808,0.6772174999999999,0.630304,0.451086,0.28879299999999997,0.22417225,0.1595515,0.548914,0.386621,0.0986105,0.080903,18.69815075,11.150228,2.315974,1.4312,4.7496114999999985,4.390415,0.32278249999999997,0.27586900000000003
2128,fluorophenyl,fluorophenyl,cyclopropyl,alkylsilane,0.5,0.5,0.13765035442727272,22.457911363636367,18.398,0.2334739816909091,0.10766987699999997,3.4353282045454545,3.090735,249.34171618181816,197.58797499999997,17,10.44600684090909,9.673276090909091,9.999792613636364,9.25472359090909,2.6134289772727275,2.0,5.454938409090909,4.9411700000000005,4.956833590909091,4.562328727272726,1.2690220227272728,1.0,0.7685860909090909,0.6194529090909091,0.7685860909090909,0.6194529090909091,0.3401215681818182,0.25,0.3401215681818182,0.25,0.12311093181818182,0.03125,0.12311093181818182,0.03125,30.09090909090909,24.0,0.8489513676363637,0.7686188998636364,0.0,-0.3381818181818181,-0.6763636363636365,0.6272091818181817,0.14814799999999995,0.2424392727272727,-0.9482087727272724,-2.0285632954545454,-5.867311181818183,0.7262545202469696,682.2167866590909,254.45807199999996,0.06154510193636365,0.016110692,44.09851052272728,38.06801000000001,1.5427372727272726,1.3103254545454546,67.14334090909091,48.04399999999999,74.53396347727272,56.06259999999998,5.340909090909091,4.0,0.4822579888636364,0.34215952845454545,0.6781696627727274,0.6304855294545454,0.35997399886363635,0.0938806566818182,45.91474843981818,24.737038525,87.68193665714546,25.38398518,127.76667184821815,39.79932295700001,1.0454545454545454,0.9090909090909092,1.2541173074909093,1.0327288424090908,0.21785159090909093,0.14437800000000006,0.3919689090909092,0.300381,0.4434844095454546,0.1308172510909091,3.4490909090909088,0.0,13.545476727272728,10.966068000000002,29.015492818181826,25.02941540909092,0.9443208863636364,0.8886417727272726,0.6654330454545454,0.6191717727272729,0.04672125,0.0,0.3345669545454546,0.28830568181818184,0.008957863636363637,0.0,40.2159520909091,35.79075299999999,0.33468375,0.0,2.0103337045454546,0.0,0.05567911363636364,0.0
1419,cyclopropyl,hydroxyl,phenyl,alkylsilane,0.5,0.5,0.1589715095,22.2247,13.2704,0.2426989512,0.2350657315,3.40517425,3.1296125,246.436144,117.445472,17,9.78382775,7.6035535,9.477062,7.454124,2.477062,1.454124,5.227878,3.78033,4.653093,3.556186,1.176031,0.602062,0.65625,0.3125,0.65625,0.3125,0.3125,0.125,0.3125,0.125,0.1328125,0.015625,0.1328125,0.015625,27.5,19.0,0.8694659222000001,0.8673783235,0.0,-0.4,-0.78,0.4063525,0.07427399999999999,-5.90156,-13.408889000000002,-25.7188005,-52.02,0.54223241425,684.57442875,133.3114345,0.307132554,0.005967385,41.84506625,28.6540235,1.25371,0.5124000000000001,61.052,38.027,68.05350375,44.0444075,5.0,3.0,0.4773534802,0.4644283615,0.587481299,0.5097214010000001,0.1565202968,6.923000000000001e-06,49.0464439885,12.660985585,51.0850158288,13.3512361255,97.551034629,20.851371329000003,1.0,1.0,1.0864502987,0.6793422185,0.24624725,0.158026,0.40387875,0.15726600000000002,0.189037892,0.0,5.0575,0.0,11.3699085,10.966069,28.9638455,15.300254,0.907576,0.8151520000000001,0.64469325,0.49400249999999996,0.07219825,0.0,0.35530675,0.204616,0.02022575,0.0,38.698752,23.803998,0.3578,0.0,1.277202,0.0,0.092424,0.0
1534,cyclopropyl,perfluoromethyl,pyrrole,alkylsilane,0.5,0.5,0.1365256237,20.2966,15.0635,0.1998964362,0.1490560505,3.51203775,3.4685120000000005,221.340734,132.548875,17,9.4433755,8.5,8.75708025,7.5669464999999985,2.50708025,2.0669465,4.9448715,4.125,4.27645025,3.6584735,1.17784375,0.9084735,0.69179675,0.5613794999999999,0.69179675,0.5613794999999999,0.264754,0.125,0.264754,0.125,0.10729000000000001,0.015625,0.10729000000000001,0.015625,30.0,28.0,0.8445213457999999,0.8145549645,0.0,-0.4125,-0.72,0.8178409999999999,0.534682,0.80806075,0.6853225000000001,6.4796695,0.293364,0.3802488633,335.26588025,137.8820655,0.014032887,0.009765255,40.92010825,34.9418605,1.407785,1.32312,69.296,64.53,75.54924575,70.0406425,5.25,4.5,0.5312776562,0.48501911,0.5558741462,0.51498089,0.27744759999999996,6.099e-06,45.4051194047,38.0640360315,47.732208719,39.459230374,88.40808404180002,68.0647782395,0.75,0.5,1.1947030435,1.116244523,0.39757125,0.34794200000000003,0.54232,0.317158,0.388352764,0.0,7.895,0.0,17.77824225,14.0532675,21.62260275,19.3314725,0.89426775,0.890415,0.54670375,0.5265380000000001,0.0547925,0.0,0.45329625,0.4331305,0.05093975,0.0,35.36826875,30.296590500000004,1.54407475,0.0,2.4885015,0.0,0.10573225,0.1018795
1936,ethylene,isopropyl,carboxyl,alkylsilane,0.5,0.5,0.1307236898666667,15.75065,13.3098,0.5607253557999999,0.4785084445,4.3972495,3.823378,120.18135075000002,94.701658,17,8.30590375,6.7844570000000015,7.7832485,5.816497000000001,1.7832485,1.75,4.14170475,3.48138,3.5957485000000005,2.566497,0.641624,0.625,0.2687285,0.25,0.2687285,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,22.0,0.9816784120000001,0.972949411,0.0,-0.33,-0.53,0.26223925,0.0812045,1.42,1.37,-0.7915385,-3.053077,0.7990754500333334,108.3613935,35.647376,0.1344596938,0.12620248,32.65653475,29.766501,0.7591,0.09090000000000002,49.02925,42.0385,55.0418645,50.0626,3.75,3.5,0.18146739850000002,0.137858338,0.8663535182000001,0.8505106785000001,0.2117639325,0.15909481,8.84234573,7.01852079,40.840610779,36.730381558000005,46.7137382988,42.4785404915,0.75,0.5,1.0540528308,1.0507501385,0.2925365,0.176925,0.4990055000000001,0.342334,0.158978211,0.078576664,18.65,0.0,14.665371,10.966069,16.42283175,9.903345,0.6939325,0.387865,0.51549425,0.35033699999999995,0.17516849999999998,0.0,0.48450575,0.31934850000000004,0.130899,0.0,22.43627775,10.964168,3.7002525,0.0,4.9516725,0.0,0.3060675,0.0
1338,cyclopropyl,cyclopropyl,methyl,alkylsilane,0.5,0.5,0.15482771077555554,15.572985000000001,11.348000000000004,0.11863567870666665,0.0007696090000000003,3.7472389833333337,3.454330066666667,133.76326276666666,61.509775,17,8.410633033333335,7.0,8.2411194,7.0,1.6244527333333336,1.0,4.131118150000002,3.25,3.955647033333333,3.25,0.6512518833333334,0.25,0.30938965,0.0,0.30938965,0.0,0.12534065,0.0,0.12534065,0.0,0.037615350000000006,0.0,0.037615350000000006,0.0,20.4,14.0,0.5633583680666667,0.290144952,0.0,-0.113,-0.226,0.23824366666666666,0.0,-0.0902612333333334,-0.8939259333333335,-1.7249784833333337,-4.5728718000000015,0.7252966927468888,280.71623485,21.306059,0.19930996598,0.07291522643333334,31.63741073333333,23.534016000000005,1.1881856666666668,0.9547233333333331,40.90006666666667,24.021999999999995,47.5345095,30.046949999999992,3.3,2.0,0.7247316594133334,0.4933905308666667,0.8361276343733333,0.6919632997666666,0.4325661982533333,0.37621177326666666,18.55420531427333,3.208918146,31.47844954604666,3.2902576600000013,45.16339920635334,3.3566805729999984,1.0333333333333334,0.9333333333333332,0.8381001155466667,0.554225614,0.19751646666666664,0.1581522333333333,0.4480538166666666,0.3737599333333333,0.7409144634200001,0.5253499818333334,2.529333333333333,0.0,10.715414516666668,8.224551000000002,19.335973150000004,13.703783999999995,0.96294985,0.9258997,0.6305981500000001,0.5924554000000001,0.0266038,0.0,0.36940185,0.3312591000000001,0.010446366666666668,0.0,28.81040526666667,21.928335,0.35212635000000003,0.0,0.8888560499999999,0.0,0.03705015,0.0
