,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min,COF-std,intercept-std
646,amino,pyrrole,cyano,alkylsilane,0.5,0.5,0.1019572014333333,14.553775,11.287,0.5955387002,0.1911265275,3.52879425,3.5048545,128.818047,75.774438,17,6.71957875,5.207107,6.197214,4.447214,1.697214,1.447214,3.45735975,2.56066,2.86491875,1.973607,0.65450875,0.473607,0.261455,0.111803,0.261455,0.111803,0.101127,0.0,0.101127,0.0,0.04973875,0.0,0.04973875,0.0,19.5,16.0,0.9207567278,0.8415134555,1.0,-0.445,-0.51,0.21428475,0.161141,-6.282300250000001,-13.0546005,-28.172051,-51.873318000000005,2.0797315468,143.51636375,12.164797,1641.0576605489998,0.183534451,28.88545775,23.711684,0.4894449999999999,0.4490100000000001,44.0345,38.029,48.5382865,41.026549,3.5,3.0,0.2682732753,1.6376e-05,0.7827927445,0.565601865,0.032428524,0.0,13.617855493,0.000187121,20.1594036767,11.412437724,33.6277554903,11.412624869,0.5,0.0,0.7521310775000001,0.649821689,0.31845675,0.295557,0.92804975,0.8560995,0.0225810927,0.0,22.3475,20.905,15.62648875,14.2195885,11.78326525,5.261892,0.8997652500000001,0.7995304999999999,0.4113119999999999,0.236009,0.10023475,0.0,0.588688,0.413385,0.0,0.0,24.735574,22.295281,0.0,0.0,2.67418,0.0,0.10023475,0.0,0.0052861478121369,0.5584646296661553
1415,cyclopropyl,methyl,cyano,alkylsilane,0.5,0.5,0.1165184529166666,13.08,11.287,0.5270853080000001,0.0542197429999999,3.55414875,3.5527340000000005,102.6616565,75.77443800000002,17,6.853553500000001,5.207107,6.473607,4.447214,1.4736069999999997,1.447214,3.34283,2.56066,3.0493035,1.973607,0.5493034999999998,0.4736069999999999,0.2121515,0.111803,0.2121515,0.111803,0.0625,0.0,0.0625,0.0,0.0078125,0.0,0.0078125,0.0,17.5,16.0,0.7683747373000002,0.5367494745,0.0,-0.2549999999999999,-0.5099999999999999,0.1176074999999999,0.0740739999999999,0.3005555,0.111111,-2.2353920000000005,-4.470784000000001,0.3341259000166667,75.02343125,12.164797,1641.0487194937998,0.1656523405,27.2563485,23.711683999999995,0.8755649999999999,0.52988,37.031,36.03300000000001,42.040662,41.026549,3.0,3.0,0.3944134132,1.6375999999999997e-05,0.9045125552,0.8090414865000001,0.2689256012,0.0,6.986582728199999,0.0001871209999999,12.874779572,11.412437724,16.495313317,11.412624869,0.5,0.0,0.7218764790000001,0.649821689,0.22553975,0.1555224999999999,0.70024575,0.4004915,0.4281576283000001,0.0,11.894999999999998,0.0,13.314349249999998,9.5953095,12.429817,5.261892,1.0,1.0,0.44904125,0.236009,0.0,0.0,0.55095875,0.3379264999999999,0.0,0.0,25.744166250000003,22.295281,0.0,0.0,0.0,0.0,0.0,0.0,0.0140741655266825,0.3307327923986657
3236,phenol,phenyl,cyano,alkylsilane,0.5,0.5,0.0984747207833333,21.649200000000004,11.287,0.6525326088,0.3051143445,3.6147555000000007,3.5527340000000005,230.33657475,75.77443800000002,17,8.762381,5.207107,8.075669,4.447214,2.575669,1.447214,4.75254425,2.56066,3.8898965,1.973607,1.1628345,0.4736069999999999,0.6069325,0.111803,0.6069325,0.111803,0.2755154999999999,0.0,0.2755154999999999,0.0,0.13775775,0.0,0.13775775,0.0,27.5,16.0,0.9557634368,0.9115268735,1.0,-0.6950000000000002,-0.88,0.5276817500000001,0.161141,1.05799125,0.49,-1.8575275,-4.470784000000001,3.468032030366667,836.35432475,12.164797,1640.96939689,0.007007133,40.5941225,23.711683999999995,1.1888500000000002,0.52988,65.05275,38.029,70.54330325,41.026549,5.25,3.0,0.1994748187999999,1.6375999999999997e-05,0.8016668027999999,0.6033499815000001,0.0295389087999999,0.0,43.0187620642,0.0001871209999999,76.9988107095,11.412437724,119.6960778287,11.412624869,0.75,0.0,1.1313210122,0.649821689,0.28500375,0.2744505,0.7086757500000002,0.4173515,0.0055793628,0.0,16.9525,10.115,15.452217250000002,13.8710455,23.711262,5.261892,0.97203675,0.9440735,0.49512125,0.236009,0.02184375,0.0,0.50487875,0.2457665,0.0061195,0.0,37.52847725,22.295281,0.3578,0.0,1.277202,0.0,0.02796325,0.0,0.0157199707021393,0.2257556562601259
1151,cyano,methyl,nitro,alkylsilane,0.5,0.5,0.1189911467666666,12.11795,11.3175,0.625861984,0.500360241,3.7888405,3.786563000000001,77.03401425,68.6421065,17,6.09045175,6.07735,5.243658500000001,4.76371,1.4936585000000002,1.2236069999999997,2.924353,2.90533,2.35027925,2.0887549999999995,0.47527925,0.3618035,0.15650575,0.0559015,0.15650575,0.0559015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,15.0,0.8204364875,0.6450724760000001,0.0,-0.4275,-0.6000000000000001,1.2402852499999997,0.0805705,0.8224999999999999,0.245,-0.4176959999999999,-2.2353920000000005,1.7473935800166664,16.910797,16.735428,820.6694553813,0.220257694,25.614994,23.62285,0.33547,-0.1070999999999999,44.52075,31.0255,48.27656375,35.53674949999999,3.25,2.5,0.284652131,0.09125968,0.9494390582000002,0.90874032,0.112408766,0.0,2.8758817651999995,1.6045526334999998,24.345721609000005,7.351347692,26.4359795625,7.384652721000001,0.75,0.5,0.7981795337,0.6020236515,0.2986849999999999,0.2311119999999999,0.625,0.5,0.2391197362,0.0,27.517499999999995,11.894999999999998,14.320192,12.62897,9.798578,9.482838,0.8064300000000001,0.6128600000000001,0.408806,0.38714,0.19357,0.0,0.5911939999999999,0.5695279999999999,0.0,0.0,19.061611,16.011414,0.0,0.0,5.057159,0.0,0.19357,0.0,0.0106647543884665,0.4675138829526202
780,carboxyl,fluorophenyl,isopropyl,alkylsilane,0.5,0.5,0.11553203508,21.3677,20.512,0.4476529530000001,0.39162384,4.6473915,3.752057,201.415979,165.593463,17,10.68713975,9.3742795,10.17361525,8.3472305,2.42361525,2.0,5.4142015,5.078403,4.87636975,4.0027395,1.0243075,0.75,0.55660975,0.375,0.55660975,0.375,0.14862275,0.0,0.14862275,0.0,0.0743115,0.0,0.0743115,0.0,29.5,26.0,0.9664439025,0.961488646,0.0,-0.345,-0.6900000000000001,0.4988229999999999,0.12,1.8012417499999998,1.6024835,0.61739425,0.0,1.19167155406,473.91145525,312.080511,0.0581856232,0.049267461,42.83268475,41.883782,1.387405,1.11251,63.79575,48.044,71.55770175,58.07825,5.0,4.0,0.2478404335,0.221332587,0.8327603755,0.788694761,0.3042036263,0.0795507935,32.394610746,17.840215733,89.3248048315,57.083712055,116.546297697,65.087904372,0.5,0.0,1.3248717777,1.259941524,0.229873,0.123042,0.4076004999999999,0.263646,0.259023919,0.039288332,9.325,0.0,15.298094,13.707585999999996,25.94451175,25.4393895,0.827501,0.655002,0.59857775,0.5385035,0.1070494999999999,0.0,0.4014222500000001,0.341348,0.0654495,0.0,35.8190395,31.480859,1.85012625,0.0,3.57344,0.0,0.1724989999999999,0.0,0.0098460925289972,0.3556240344436747
1222,cyano,phenol,fluorophenyl,alkylsilane,0.5,0.5,0.1106731570666666,26.6012,22.0654,0.5221727802,0.364421865,3.646756,3.612776,307.42392725,235.0725225,17,10.45162975,8.9391575,9.5278475,8.177731,3.2778475,2.677731,5.7812357500000005,4.8870455,4.67848575,3.917989500000001,1.57642375,1.2138655,0.92347275,0.6579635,0.92347275,0.6579635,0.4477609999999999,0.301031,0.4477609999999999,0.301031,0.22388075,0.1505155,0.22388075,0.1505155,35.5,29.0,0.964070509,0.952390905,0.0,-0.7975,-0.85,0.95879775,0.6055775,1.4015325,1.068098,-0.3856427500000001,-1.7708625,2.1947391250166666,1142.27248125,1048.7075395,820.4889609275,0.008005091,49.80551125,41.8143485,1.6246849999999995,1.11525,86.06375000000001,69.0525,92.297605,74.542032,6.75,5.5,0.229304493,0.15380215,0.7718371285000001,0.6951931640000001,0.0295405665,6.7770000000000005e-06,65.10048504999999,43.321479372,151.03148000350004,103.882004791,215.8104700982,146.56049425850003,1.0,1.0,1.4566002653000003,1.1909519905,0.304238,0.26526,0.6430757500000001,0.447433,0.0055793628,0.0,11.005,0.0,16.15861825,15.412531,32.22664674999999,23.4778595,0.93310625,0.922139,0.6006079999999999,0.4745459999999999,0.06077425,0.0436875,0.3993919999999999,0.27333,0.0061195,0.0,44.5550555,37.112561,0.3578,0.0,3.4724095,2.554404,0.0668937499999999,0.0559265,0.0095436030916496,0.2142875002672848
1987,ethylene,phenol,pyrrole,alkylsilane,0.5,0.5,0.1182981894833333,24.94355,24.3574,0.3566908028,0.2507368219999999,3.7523394999999993,3.468512,285.09110425,260.0496155,17,10.27485275,10.1629545,9.825669,9.704124,2.825669,2.704124,5.649244,5.533745,4.787806500000001,4.681186,1.3371379999999995,1.227062,0.7433879999999999,0.664562,0.7433879999999999,0.664562,0.3527694999999999,0.301031,0.3527694999999999,0.301031,0.17473525,0.1505155,0.17473525,0.1505155,31.0,30.0,0.9212214640000002,0.8744877270000001,1.0,-0.67,-0.7199999999999999,0.54044675,0.534682,1.0619485,0.930799,-1.14759175,-2.5885475,2.3661428145333336,800.15499575,532.649695,0.0659359363,0.009765255,45.73077,44.563184,1.38479,1.32312,71.05825,68.0545,78.05504075,75.0522325,5.75,5.5,0.3633576955,0.241696281,0.6377839272,0.51498089,0.0295426403,6.099e-06,48.9068256965,45.067448615,81.1847492617,56.00518706399999,129.77007998680003,108.751389844,1.25,1.0,1.2799910432,1.2731615640000002,0.32939175,0.3108415,0.65835575,0.5492294999999999,0.0055793651999999,0.0,12.9525,10.115,17.001752,12.500287,27.239074,23.913733000000004,0.91724425,0.890415,0.6172025,0.526538,0.07663625,0.0436875,0.3827974999999999,0.292133,0.0061195,0.0,40.1173225,39.79469799999999,0.3578,0.0,3.7657035,2.554404,0.08275575,0.0559265,0.0102025181553773,0.4834141519347459
1170,cyano,nitro,nitro,alkylsilane,0.5,0.5,0.1097041207166666,12.51055,12.1027,0.8135105134999999,0.7513637270000001,3.731522,3.671926,83.013051,80.60018000000001,17,5.85978925,5.642228500000001,4.684586,4.605462,1.6845859999999997,1.605462,2.847697,2.752018,2.059968,2.031181,0.559968,0.531181,0.22078325,0.1844565,0.22078325,0.1844565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,20.0,0.9968503742,0.995800499,0.0,-0.5775,-0.6000000000000001,1.84028525,1.2805704999999998,1.1725,0.9450000000000002,-0.0676959999999999,-1.535392,1.8681005275,15.85582375,14.6254815,820.6481399323001,0.220257694,26.6332745,25.659411,0.052145,-0.1070999999999999,53.01925,48.0225,56.01892075,51.0214635,3.75,3.5,0.068448854,0.045638028,0.9315511460000002,0.90874032,0.0,0.0,3.110454953,2.073699009,33.8581810755,26.376266625,36.9686360202,28.4499656365,0.75,0.5,0.9082069842,0.8220785525,0.34858275,0.3309074999999999,0.625,0.5,0.0,0.0,38.3025,33.465,16.26690775,16.011414,8.9012115,7.688105,0.709645,0.6128600000000001,0.34935725,0.3115744999999999,0.290355,0.19357,0.6506427500000002,0.6128600000000001,0.0,0.0,17.58238075,16.011414,0.0,0.0,7.585738499999999,5.057159,0.290355,0.19357,0.0146394177382777,0.1565035393538001
1703,difluoromethyl,nitrophenyl,ethylene,alkylsilane,0.5,0.5,0.11391470845,20.31335,15.871,0.5337148682,0.5020366875,4.14811575,3.8967155,196.36199475,125.72862399999998,17,8.9627135,7.654701,8.129909749999998,7.5,2.37990975,1.5,4.636057,3.854059,3.86667975,3.5,0.99167975,0.5,0.497782,0.125,0.497782,0.125,0.1985944999999999,0.0,0.1985944999999999,0.0,0.09929725,0.0,0.09929725,0.0,28.5,18.0,0.980789337,0.977168498,0.0,-0.5099999999999999,-0.7599999999999999,0.7114174999999999,0.0424089999999999,1.3998335,0.7400000000000001,-2.274869,-6.106154,0.79879104455,752.10848725,50.070311,0.1405059088,0.0448454635,38.9394925,29.209355,1.389805,1.1922999999999997,66.0415,36.03300000000001,71.79242125,42.04695,5.0,3.0,0.1932141098,0.175804638,0.8212441285000001,0.81829289,0.0956386522,9.651e-06,35.7964113923,3.492125607,121.6517700375,16.377051061,156.6256554325,19.869176611,1.25,1.0,1.2046317347999995,0.841558753,0.3482265,0.2308079999999999,0.42515925,0.4210219999999999,0.1960237132,1e-08,10.784999999999998,0.0,15.15611975,8.224552000000001,22.27930675,19.435003,0.8030204999999998,0.6060409999999999,0.6226932500000001,0.5427354999999999,0.11756925,0.0,0.37730675,0.297349,0.0794105,0.0,29.689419,27.659555,3.0222205,0.0,4.723787000000001,0.0,0.1969795,0.0,0.0101342112337009,0.4735079165421982
1600,difluoromethyl,fluorophenyl,pyrrole,alkylsilane,0.5,0.5,0.1158962373499999,23.4686,21.4075,0.3532344075,0.2507368219999999,3.659538,3.468512,266.765017,223.397441,17,9.934401,9.482051,9.13208025,8.3169465,2.88208025,2.8169465,5.363728000000001,4.962713,4.46395,4.033473,1.3653435,1.283473,0.77345525,0.7246965,0.77345525,0.7246965,0.35087675,0.2972455,0.35087675,0.2972455,0.173789,0.1486229999999999,0.173789,0.1486229999999999,33.0,32.0,0.9210706405,0.8744877270000001,0.0,-0.6075,-0.7199999999999999,0.7613642499999999,0.534682,1.36414125,0.930799,0.86157625,0.293364,1.2658536250833332,580.610718,532.649695,0.0277900192,0.009765255,45.16213299999999,43.42591,1.5129400000000002,1.32312,78.30425000000001,74.062,84.54924575,81.05784900000002,6.0,6.0,0.364690468,0.244361826,0.6497677678000001,0.51498089,0.0956362914999999,6.099e-06,50.7081880578,48.6701733375,89.9804428928,56.00518706399999,139.8661050017,108.751389844,1.0,1.0,1.3323492105,1.2731615640000002,0.3786779999999999,0.347942,0.6195500000000002,0.4716179999999999,0.1960237082,0.0,7.894999999999999,0.0,17.575874,13.648531,26.108905499999995,23.913733000000004,0.7878077499999999,0.6852005,0.586963,0.526538,0.1540334999999999,0.109585,0.413037,0.352612,0.0581589999999999,0.0,36.30309275,32.1662385,1.6003740000000002,0.0,5.781312749999999,4.977003,0.21219225,0.109585,0.0123635844056662,0.1821353156395975
