,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min
850,carboxyl,methyl,cyano,alkylsilane,0.5,0.5,0.121308431725,11.80795,11.287,0.6609034054999999,0.321855938,3.7373095,3.552734,76.94007725,75.774438,17,6.04966775,5.207107,5.42773125,4.447214,1.42773125,1.4082485,2.963175,2.56066,2.44092775,1.973607,0.4638655,0.45412399999999997,0.12776575,0.111803,0.12776575,0.111803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,16.0,0.8201380912,0.6402761825000001,1.0,-0.3875,-0.51,0.191389,0.161141,0.6125,0.49,-1.8678919999999999,-4.470784,4.0964884423250005,20.32075725,12.164797,1641.073823816,0.215860985,25.18097125,23.711683999999998,0.544215,0.52988,39.025,38.029,43.03029425,41.026549,3.0,3.0,0.2734909695,1.6376e-05,0.9656138938,0.9312441635,0.1521824685,0.0,2.5569532945,0.000187121,17.766493277000002,11.412437724,19.2827166043,11.412624869000002,0.5,0.0,0.7278061288000001,0.649821689,0.29148225,0.2874075,0.7889192500000001,0.5778384999999999,0.2587639022,0.0,21.22,18.65,15.1640005,13.294612,8.53272825,5.261892,0.84696625,0.6939325,0.3618225,0.236009,0.08758425,0.0,0.6381775,0.5123639999999999,0.0654495,0.0,19.37076625,16.446251500000002,1.85012625,0.0,2.47583625,0.0,0.15303375,0.0
768,carboxyl,ethylene,phenyl,alkylsilane,0.5,0.5,0.11827411841666664,22.8847,14.5904,0.4272499145000001,0.250332171,3.8960915000000003,3.680736,242.8209785,110.215141,17,9.5918405,7.219578999999999,9.07912425,6.6582485,2.57912425,1.6582485,5.17157275,3.6677195,4.39162425,3.0332485,1.164562,0.579124,0.60311425,0.2062285,0.60311425,0.2062285,0.25,0.0,0.25,0.0,0.125,0.0,0.125,0.0,28.5,21.0,0.9294811578,0.8715535209999999,0.0,-0.5875,-0.78,0.49063625,0.2428415,1.3553845,1.105,-0.8678389999999999,-2.318077,1.2535377592833332,639.34813325,42.8588435,0.093575901,0.005967385,42.2620185,29.487928000000004,1.31831,0.6416000000000001,65.05175,46.0265,71.54831975,51.0340395,5.25,3.5,0.32355504350000003,0.15683148800000002,0.6814586318000001,0.5097214010000001,0.0397795768,6.923000000000001e-06,45.3436127952,5.2553231985,59.7413705312,30.6639455305,104.8298771437,35.409056358499996,1.0,1.0,1.2215077585,0.949457138,0.238752,0.158026,0.34780775,0.15726600000000002,0.0196441685,0.0,9.325,0.0,12.13034075,10.966069,28.648305500000006,14.669174,0.84696625,0.6939325,0.6609389999999999,0.5264939999999999,0.08758425,0.0,0.339061,0.204616,0.0654495,0.0,36.45268375,19.3118615,1.85012625,0.0,2.47583625,0.0,0.15303375,0.0
44,acetyl,carboxyl,pyrrole,alkylsilane,0.5,0.5,0.12107229545,20.18105,14.8324,0.4277753067,0.250736822,3.78984825,3.4685120000000005,209.754803,109.37701299999999,17,9.03382725,7.6809035,8.40479325,6.8623725,2.40479325,1.8623725,4.79139175,3.8180405,4.01486875,3.135310500000001,1.0642,0.681186,0.56525225,0.3082905,0.56525225,0.3082905,0.202254,0.0,0.202254,0.0,0.0994775,0.0,0.0994775,0.0,28.0,24.0,0.9310140915,0.8744877270000001,1.5,-0.5750000000000001,-0.72,0.4360647500000001,0.3374475,1.2503995,0.9307989999999999,0.931682,0.293364,2.152120501833333,291.1316435,49.613592,0.0601872715,0.009765255,39.40592325,31.9134905,0.83311,0.3431,64.044,54.026,70.044673,59.031497,5.0,4.0,0.3205016395,0.155984169,0.6999805684999999,0.51498089,0.1131180835,6.099e-06,30.4688497895,8.191496801,51.189367763,46.373548461999995,80.5707401933,52.3900905425,1.25,1.0,1.181507905,1.089854246,0.37709725,0.34794200000000003,0.7881137500000001,0.767482,0.1109890422,0.0,21.4875,15.79,18.84472575,16.1862345,19.057283,14.200833,0.75529975,0.6201845,0.49312125,0.4597045,0.17925075,0.109585,0.50687875,0.473462,0.0654495,0.0,29.888910499999998,19.337874,1.85012625,0.0,6.162972,4.977003,0.24470025000000006,0.109585
2359,hydroxyl,nitrophenyl,isopropyl,alkylsilane,0.5,0.5,0.11864959506666667,21.75005,20.512,0.40068513,0.39162384,4.50674525,3.4707645,208.865269,165.593463,17,10.68713975,9.3742795,10.1679895,8.335979,2.4179895,2.0,5.4116925,5.073385,4.86278175,3.9755635,1.01071975,0.75,0.55767925,0.375,0.55767925,0.375,0.1985945,0.0,0.1985945,0.0,0.09929725,0.0,0.09929725,0.0,29.5,26.0,0.9614501837999999,0.9614117215000001,0.0,-0.355,-0.71,0.58429425,0.12,-5.1951665,-12.390333,-25.696792,-51.393584,1.2095781857166663,880.82827175,312.080511,0.323852907,0.049267461000000005,42.82292875,41.883782,1.20908,0.7558600000000001,63.545,48.044,71.30759825,58.07825,5.0,4.0,0.2733338792,0.2723194785,0.8022532557000001,0.7276805215000001,0.2644305085,4.558e-06,40.5014756298,17.840215733,129.90211174549998,57.083712055,165.485575643,65.087904372,0.75,0.0,1.229878705,1.199815886,0.28709125,0.123042,0.4725205,0.263646,0.2393797530000001,0.0,15.8425,0.0,18.071861,13.707586,23.15564375,19.8616535,0.8485309999999999,0.697062,0.5308655,0.403079,0.10999175,0.0,0.4691345,0.341348,0.04147725,0.0,35.64207675,31.126933500000003,1.7796465,0.0,3.8057815,0.0,0.151469,0.0
2830,methyl,nitrophenyl,ethylene,alkylsilane,0.5,0.5,0.11525955145,20.23085,15.871,0.3971467402,0.22890043149999997,4.14811575,3.8967155,194.984551,125.728624,17,8.9627135,7.654700999999998,8.440927499999999,7.5,2.1909275000000004,1.5,4.636057,3.854059,4.02218875,3.5,0.89718875,0.5,0.43267925,0.125,0.43267925,0.125,0.1985945,0.0,0.1985945,0.0,0.09929725,0.0,0.09929725,0.0,25.5,18.0,0.8075965243000001,0.6307828725,0.0,-0.475,-0.6900000000000001,0.54539875,0.042408999999999995,0.9348335,0.74,-2.739869,-6.106154,1.178724242833333,752.10848725,50.070311,0.1959796623,0.15579297050000002,37.55921,29.209355,1.3285049999999998,1.1923,56.5425,36.033,62.797132,42.04695,4.5,3.0,0.3862531028,0.175804638,0.847838089,0.8241953670000001,0.1124158705,9.651e-06,33.983426942,3.492125607,110.0417238957,16.377051061,143.2395269805,19.869176611,1.25,1.0,1.0779818448,0.8415587529999999,0.25150125,0.23080799999999999,0.4262085,0.421022,0.2391197412,1e-08,10.785,0.0,14.241124750000004,8.224552000000001,21.79707225,19.435003,0.9409549999999999,0.8819100000000001,0.6369005,0.57115,0.0377935,0.0,0.36309949999999996,0.297349,0.0212515,0.0,32.087771000000004,27.659555,1.4218465,0.0,2.5285795,0.0,0.05904500000000001,0.0
2158,fluorophenyl,nitrophenyl,fluorophenyl,alkylsilane,0.5,0.5,0.10684791553333334,32.8111,31.137,0.3875742121999999,0.364421865,3.70381175,3.680736,401.57429424999987,379.775332,17,12.358439500000001,11.964102,11.0994005,10.877964,4.0994005,3.877964,6.903097,6.675426,5.53892525,5.438982,2.03892525,1.938982,1.26191575,1.188982,1.26191575,1.188982,0.64446275,0.594491,0.64446275,0.594491,0.32223175,0.297246,0.32223175,0.297246,44.5,42.0,0.957148377,0.952390905,0.0,-0.9825,-1.115,1.5082077499999995,1.312018,1.86605875,1.734967,1.06289075,0.999577,2.4652390361750003,1648.62488425,1235.837423,0.007520431,0.0070357710000000006,60.418534,57.796674,2.076395,2.01867,109.82675,103.075,116.801803,110.053178,8.5,8.0,0.2879377138,0.2710685915,0.7120622862,0.6951931640000001,7.361799999999999e-06,6.777000000000001e-06,96.594752648,86.879490728,249.6663503623,198.18095521599997,346.26110298519995,285.060445938,1.25,1.0,1.8103324697999998,1.72224854,0.2933755,0.26526,0.42627225,0.4051115,0.0,0.0,10.785,0.0,19.63210925,15.412531,39.38520025,37.7949665,0.88255925,0.8429795,0.67434375,0.6220175,0.09618925,0.077861,0.32565625,0.27333,0.0212515,0.0,51.77407225,51.5505945,1.4218465,0.0,5.82139075,4.390415,0.11744075,0.077861
2097,fluorophenyl,methoxy,cyano,alkylsilane,0.5,0.5,0.10424640236666666,16.660999999999998,11.287,0.7232982240000001,0.446645575,3.6331555,3.5527339999999996,151.88391025,75.774438,17,7.5213557500000014,5.207107,6.795160000000001,4.447214,2.04516,1.447214,3.87596325,2.56066,3.198611,1.973607,0.8236110000000001,0.47360699999999994,0.3786625,0.111803,0.3786625,0.111803,0.14862275,0.0,0.14862275,0.0,0.0743115,0.0,0.0743115,0.0,23.5,16.0,0.9832017958,0.9664035915000001,0.0,-0.4775,-0.51,0.4269310000000001,0.161141,0.91874175,0.49,-8.74549775,-13.0202115,1.3773201217583333,321.9006895,12.164797,1641.0274562498,0.1231258525,33.46690075,23.711684,0.8641200000000001,0.52988,54.7885,38.029,59.53703525,41.026549,4.25,3.0,0.1254296792,1.6376e-05,0.9146641288,0.8293446335,0.08674859,0.0,22.7317070633,0.00018712099999999997,60.2026524938,11.412437724,82.11026406,11.412624869000002,0.75,0.0,0.9635806090000001,0.649821689,0.24822475,0.2008925,0.86185825,0.7237165,0.140233054,0.0,14.2025,4.615,17.94494125,17.033389,14.05902025,5.261892,0.9367355,0.8734709999999999,0.3434712500000001,0.236009,0.0632645,0.0,0.65652875,0.5490665,0.0,0.0,29.722142,22.295281,0.0,0.0,2.2818195,0.0,0.0632645,0.0
3071,nitrophenyl,perfluoromethyl,nitro,alkylsilane,0.5,0.5,0.12095514921666667,18.8498,12.9184,0.5375502329999999,0.323736739,3.84391675,3.791118,176.3332,85.425922,17,8.174038000000001,6.07735,6.60625575,4.76371,2.60625575,1.7637099999999999,4.1807155,2.943376,3.083303,2.088755,1.083303,0.588755,0.623174,0.25711,0.623174,0.25711,0.1985945,0.0,0.1985945,0.0,0.09929725,0.0,0.09929725,0.0,33.0,24.0,0.9521944307,0.9085883625,0.0,-0.6975,-0.795,2.23765725,2.0753145,1.55193925,1.4,7.3461955,1.4,1.8736072952,735.61641475,17.086166,0.1143494215,0.008441149,38.82852525,27.607138000000006,0.8144049999999999,-0.1071,81.7825,58.01600000000001,85.77477975,61.016378,5.75,4.0,0.2383434998,0.09125968,0.7839735234999999,0.659206727,0.1209299942,0.0,46.356498435,4.147210897,135.0843006053,41.340095526,179.2919801142,45.487306403999995,1.0,1.0,1.3155268033,0.994335416,0.46506525,0.366258,0.42403075,0.34806149999999997,0.199314872,0.0,32.355,21.57,20.36353475,16.011414000000002,17.003595,10.114318,0.69644525,0.6128600000000001,0.431543,0.38714,0.23136350000000003,0.075587,0.568457,0.524054,0.07219125,0.0,26.81547,16.011414000000002,2.96592125,0.0,7.5857385000000015,5.057159,0.30355475,0.2199695
3006,nitro,phenyl,ethylene,alkylsilane,0.5,0.5,0.11604120410000003,18.95985,15.871,0.533120499,0.5008479490000001,4.067721499999998,3.735927,178.07749649999997,125.728624,17,8.3377135,7.654700999999998,7.815927499999999,7.5,2.0659275000000004,1.5,4.33173,3.854059,3.70968875,3.5,0.8346887500000001,0.5,0.3767775,0.125,0.3767775,0.125,0.125,0.0,0.125,0.0,0.0625,0.0,0.0625,0.0,24.0,18.0,0.959043593,0.93367701,0.0,-0.475,-0.6900000000000001,0.8058122500000001,0.042408999999999995,1.12144225,0.7399999999999999,-2.55747725,-6.106154,1.2639304878833333,338.26605275,50.070311,0.1746394468,0.1131125395,35.26548925,29.209355,1.06813,0.94396,53.53975,36.033,59.29321949999999,42.04695,4.25,3.0,0.2332868888,0.175804638,0.7667131138000002,0.7092308605000001,6.5562e-06,3.4615e-06,24.140841125700003,3.492125607,40.728248295,16.377051061,64.8690893887,19.869176611,1.0,1.0,1.0427528253,0.8415587529999999,0.246475,0.23080799999999999,0.37482750000000004,0.328633,5.000000000000001e-09,0.0,10.785000000000002,0.0,10.85664675,8.224552000000001,22.90294025,19.435003,0.903215,0.8064300000000001,0.6469564999999999,0.591262,0.096785,0.0,0.3530435,0.297349,0.0,0.0,31.2310075,27.659555,0.0,0.0,2.5285795,0.0,0.096785,0.0
2650,methoxy,methyl,cyano,alkylsilane,0.5,0.5,0.12119020389166665,11.71375,11.287,0.63238516,0.26481944700000004,3.7180695,3.5527339999999996,72.317521,68.86060400000001,17,6.28033025,5.207107,5.825669,4.447214,1.325669,1.204124,3.01960675,2.56066,2.6513655,1.973607,0.4013655,0.32912399999999997,0.08141699999999999,0.051031,0.08141699999999999,0.051031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,16.0,0.8176403075,0.635280615,0.0,-0.265,-0.51,0.0989265,0.036712,0.485,0.48,-8.995391999999997,-13.52,0.9907274596250001,18.2678485,12.164797,1641.1018348495002,0.271883052,24.90123625,23.711684,0.58714,0.52988,35.02525,32.0215,39.53547825,38.0444075,2.75,2.5,0.2882461672,1.6376e-05,0.98593883,0.971894036,0.1991556618,0.0,1.8140639178,0.00018712099999999997,11.4799781047,11.412437724,11.684322718699999,11.412624869000002,0.75,0.0,0.6715748775,0.649821689,0.22357649999999998,0.15159599999999998,0.875,0.75,0.3793527902,0.0,14.2025,4.615,16.14794625,15.2625035,7.24110775,5.261892,0.95620075,0.9124015,0.3180375,0.236009,0.04379925,0.0,0.6819624999999999,0.599934,0.0,0.0,22.20483825,22.1143955,0.0,0.0,1.18421575,0.0,0.04379925,0.0
