,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min
183,acetyl,methoxy,cyclopropyl,alkylsilane,0.5,0.5,0.1512960955,16.521,14.644,0.3277235887,0.107669877,3.58171975,3.090735,148.85993775,100.1319005,17,9.07111425,8.1422285,8.829124,7.658247999999999,1.829124,1.6582479999999995,4.465452,3.930904,4.278093,3.556186,0.7780929999999998,0.556186,0.4202964999999999,0.215593,0.4202964999999999,0.215593,0.125,0.0,0.125,0.0,0.015625,0.0,0.015625,0.0,23.0,22.0,0.8829494427999999,0.7833539970000002,0.0,-0.0925,-0.185,0.15033525,0.148148,0.7686109999999999,0.222222,-6.3425,-12.685,0.6005028082,149.98292325,45.5077745,0.09620827300000001,0.025785191000000002,34.71101525,31.3540205,0.922625,0.4289500000000001,47.03525,46.0265,54.0522325,52.041865,3.75,3.5,0.4035213388,0.1854945645,0.7817105618000001,0.637791004,0.4731218978,0.3201764545,15.721378286199998,6.7057180475,29.5922516488,25.38398518,38.496312864299995,37.1933027715,1.5,1.0,1.0055143337,0.9773917435,0.2074095,0.144378,0.640945,0.300983,0.6096537142,0.46315586049999996,6.575,0.0,14.560097,10.966068,18.554645999999998,11.617592,0.91932675,0.8386534999999999,0.53567325,0.3721345,0.08067325,0.0,0.46432675,0.300788,0.0,0.0,30.731893,25.006018,0.0,0.0,2.38285,0.0,0.08067325,0.0
202,acetyl,methyl,cyclopropyl,alkylsilane,0.5,0.5,0.14090542395,16.12475,13.8515,0.1956986698,0.107669877,3.65021325,3.090735,145.18452325,92.7810715,17,8.8943375,7.788675,8.727062,7.454124,1.727062,1.454124,4.35117525,3.7023505,4.238531,3.477062,0.7385309999999999,0.4770619999999999,0.394781,0.16456199999999999,0.394781,0.16456199999999999,0.125,0.0,0.125,0.0,0.015625,0.0,0.015625,0.0,21.5,19.0,0.7103816112000001,0.6374092255,0.0,-0.0825,-0.165,0.13197925,0.1158105,0.5286109999999999,0.222222,0.4175,0.0,0.6406745172999999,148.45050275,42.4429335,0.11302649199999999,0.025785191000000002,33.432629,28.797248,1.113525,0.8107500000000001,43.03549999999999,38.027,50.05350375,44.0444075,3.5,3.0,0.5933197535,0.5650913940000001,0.7859095281999999,0.637791004,0.498783768,0.371500195,15.511867002,6.286695479,25.463621236000005,25.38398518,34.1966428665,28.593962775999998,1.25,1.0,0.9359631078,0.8382892915000001,0.21494499999999997,0.144378,0.515945,0.300983,0.7085403965000001,0.6609292250000001,4.2675,0.0,11.04112075,10.966068,20.79637625,16.101052499999998,0.963126,0.926252,0.64810775,0.5970035,0.036874,0.0,0.35189225,0.300788,0.0,0.0,30.63886275,24.8199575,0.0,0.0,1.19863425,0.0,0.036874,0.0
3324,phenyl,toluene,perfluoromethyl,alkylsilane,0.5,0.5,0.15042956240833333,22.63825,11.729,0.2457917422,0.190442224,3.876763500000001,3.733135,229.1408105,67.509775,17,10.107051,7.0,8.9419465,5.133893,2.9419465,2.133893,5.26554425,3.25,4.3459735,2.3169470000000003,1.3459735000000002,0.816947,0.8113794999999999,0.497759,0.8113794999999999,0.497759,0.28125,0.0,0.28125,0.0,0.140625,0.0,0.140625,0.0,35.5,32.0,0.8782166122,0.8457559320000001,0.0,-0.495,-0.78,1.42107625,0.7883005,1.42147525,1.148423,13.07114075,0.8103315,0.5826508776500001,1237.898729,21.306059,0.008872507,0.006929167000000001,45.71963075,31.815711,1.858915,1.5686,85.54925,81.016,91.544555,84.01868499999998,6.25,5.0,0.4675340630000001,0.401543834,0.5800017987,0.555743801,0.276341932,0.068973003,69.198241455,51.391033538,98.4462202,53.53447556800001,162.52507130950002,96.33023352200001,0.75,0.0,1.412364671,1.198852122,0.45193175,0.1538405,0.24130525,0.14927749999999998,0.4141877235,0.031115959,0.0,0.0,14.738647,12.336827,29.49257225,13.171245,0.8981205,0.796241,0.6114609999999999,0.43452700000000005,0.0,0.0,0.38853899999999997,0.21160500000000002,0.1018795,0.0,41.14306975,24.135413,3.0881495,0.0,0.0,0.0,0.1018795,0.0
728,carboxyl,cyclopropyl,perfluoromethyl,alkylsilane,0.5,0.5,0.16447400947500002,13.79145,11.729,0.282874148,0.190442224,3.73872425,3.4570565,106.82729575,67.509775,17,7.69611425,7.0,6.52107075,5.133893,2.02107075,1.9082485,3.745345,3.25,3.05009775,2.3169470000000003,0.8230354999999999,0.816947,0.47699375,0.4562285,0.47699375,0.4562285,0.0625,0.0,0.0625,0.0,0.0078125,0.0,0.0078125,0.0,28.0,24.0,0.8663183185000001,0.8457559320000001,0.0,-0.2375,-0.265,1.1747815,0.295711,0.997267,0.8461110000000001,13.033475,0.735,0.5640672400916666,83.17939150000002,21.306059,0.0434048412,0.010815847,32.86648325,31.815711,1.1611,0.7536,66.524,52.032,71.03027475,58.0418645,4.5,4.0,0.45661375880000005,0.37970322549999996,0.657868741,0.555743801,0.4381459682,0.3925810755,33.6344065978,15.8777796575,44.350944078999994,35.16741259,70.85218152680001,45.374129531499996,0.5,0.0,1.1221741727,1.0454962235,0.513143,0.27626300000000004,0.4058315,0.333333,0.607311802,0.4173641160000001,9.325,0.0,15.90291875,14.665370499999998,15.43438375,13.171245,0.74508675,0.6939325,0.47965075,0.43452700000000005,0.08758425,0.0,0.52034925,0.4752255,0.167329,0.130899,23.9231905,23.710967999999998,4.93827575,3.7002525,2.47583625,0.0,0.25491325,0.203759
3321,phenyl,toluene,methyl,alkylsilane,0.5,0.5,0.14063873383333336,22.44775,11.348,0.1509554348,0.0007696090000000001,3.8767635000000014,3.733135,226.1408105,61.509775,17,10.107051,7.0,9.875,7.0,2.375,1.0,5.26554425,3.25,4.8125,3.25,1.0625,0.25,0.5625,0.0,0.5625,0.0,0.28125,0.0,0.28125,0.0,0.140625,0.0,0.140625,0.0,26.5,14.0,0.6004111222,0.290144952,0.0,-0.39,-0.7799999999999999,0.39415025,0.0,0.8472637500000001,0.0,0.40516575,0.0,0.7979914721833332,1237.898729,21.306059,0.1562243285,0.006929167000000001,41.57878325,23.534016,1.587715,1.0262,57.05225,24.022,64.5586875,30.04695,4.75,2.0,0.6788083109999999,0.4015438340000001,0.7922758827999999,0.6042597965000001,0.25930403350000003,0.068973003,45.107183758999994,3.2089181460000002,73.324111246,3.29025766,116.038294835,3.3566805730000002,1.25,1.0,1.090051417,0.554225614,0.16025375,0.1538405,0.32463875000000003,0.14927749999999998,0.4937974520000001,0.031115959,0.0,0.0,10.280689,8.224551,29.75884175,13.703784,1.0,1.0,0.706665,0.624935,0.0,0.0,0.293335,0.21160500000000002,0.0,0.0,40.03953075,21.928335,0.0,0.0,0.0,0.0,0.0,0.0
1340,cyclopropyl,fluorophenyl,cyclopropyl,alkylsilane,0.5,0.5,0.16234873010833334,21.58275,18.398,0.17185787400000002,0.107669877,3.23823525,3.090735,243.13481425,197.587975,17,10.4910255,10.0,10.219491,10.0,2.469491,2.0,5.4188565,5.0,5.1097455,5.0,1.2347455,1.0,0.7659954999999999,0.625,0.7659954999999999,0.625,0.33612275,0.25,0.33612275,0.25,0.097749,0.03125,0.097749,0.03125,28.5,24.0,0.825613224,0.7833539970000001,0.0,-0.2125,-0.425,0.4391155,0.148148,0.60040825,0.222222,0.24989425,0.0,0.3030958445583334,499.80290975,254.458072,0.021340166,0.016895141000000002,43.000176,38.06801,1.595755,1.4163,61.80175,48.044,69.5602445,56.0626,5.0,4.0,0.5423627938000001,0.4631774745,0.652141544,0.637791004,0.4695522,0.313037059,40.2726515758,24.737038525,68.583227689,25.38398518,101.1146037023,39.799322957,1.0,1.0,1.205789828,1.033636924,0.1745985,0.144378,0.3375955,0.300983,0.5671136760000001,0.378075784,0.0,0.0,12.07768375,10.966068,29.3626335,25.4917,0.98053475,0.9610695,0.7060765,0.699212,0.01946525,0.0,0.2939235,0.287059,0.0,0.0,40.3427135,36.457768,0.0,0.0,1.09760375,0.0,0.01946525,0.0
1868,ethylene,isopropyl,nitro,alkylsilane,0.5,0.5,0.12986982231666666,15.55495,12.9184,0.6149360858,0.4785084445,4.3811195,3.791118,115.54348275,85.425922,17,7.9523502499999985,6.07735,7.256855000000001,4.76371,1.7568549999999998,1.75,3.87270275,2.943376,3.3568775,2.088755,0.6068775,0.588755,0.25355500000000003,0.25,0.25355500000000003,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,22.0,0.984374955,0.972949411,0.0,-0.365,-0.6000000000000001,1.24060225,0.0812045,1.385,1.37,-0.8265385000000001,-3.053077,0.5494061506500001,99.0807885,17.086166,0.1814873008,0.14271690750000002,31.57685325,27.607138000000006,0.6601,-0.1071,50.02725,42.0385,55.539489,50.0626,3.75,3.5,0.15816806949999998,0.09125968,0.8796254992,0.8505106785000001,0.1322165275,0.0,7.4066907835,4.147210897,39.035238541999995,36.730381558000005,43.9829234477,42.4785404915,0.75,0.5,1.0225427772,0.994335416,0.2715915,0.176925,0.421167,0.342334,0.119689879,0.0,21.57,0.0,13.488741500000001,10.966069,16.52831825,10.114318,0.8064300000000001,0.6128600000000001,0.53389575,0.38714,0.19357,0.0,0.4661042500000001,0.31934850000000004,0.0,0.0,24.95990075,16.011414000000002,0.0,0.0,5.057159,0.0,0.19357,0.0
1549,cyclopropyl,toluene,cyclopropyl,alkylsilane,0.5,0.5,0.15825168790000002,22.7775,18.398,0.16873999520000002,0.107669877,3.26443475,3.090735,249.72020025,197.587975,17,11.1160255,10.0,11.0,10.0,2.5,2.0,5.72168775,5.0,5.5,5.0,1.25,1.0,0.7812500000000001,0.625,0.7812500000000001,0.625,0.3437500000000001,0.25,0.3437500000000001,0.25,0.1015625,0.03125,0.1015625,0.03125,28.5,24.0,0.8249657638000002,0.7833539970000002,0.0,-0.195,-0.39,0.3206535,0.148148,0.6124879999999999,0.222222,0.25956599999999996,0.0,0.6589857352666667,1109.12989775,254.458072,0.0213116305,0.01683807,44.6037555,38.06801,1.638085,1.4163000000000003,60.055,48.044,68.5665125,56.0626,5.0,4.0,0.5443633520000001,0.467178591,0.653042801,0.637791004,0.5040352765,0.38200321200000004,40.6975279817,24.737038525,68.512272418,25.38398518,100.646772284,39.799322957,1.25,1.0,1.2147767083,1.033636924,0.14569725,0.144378,0.2610595,0.221136,0.5826716555,0.4091917430000001,0.0,0.0,11.65144725,10.966068,31.3688655,25.4917,1.0,1.0,0.7197604999999999,0.6992119999999998,0.0,0.0,0.2802395,0.259691,0.0,0.0,43.02031275,36.457768,0.0,0.0,0.0,0.0,0.0,0.0
2003,ethylene,phenyl,perfluoromethyl,alkylsilane,0.5,0.5,0.14858366536666667,17.627,11.729,0.299152417,0.190442224,4.030259,4.020392,159.04374750000005,67.509775,17,8.40470075,7.0,7.3169464999999985,5.133893,2.3169465,2.133893,4.25737125,3.25,3.4709735,2.3169470000000003,0.9709735,0.816947,0.5301295,0.497759,0.5301295,0.497759,0.125,0.0,0.125,0.0,0.0625,0.0,0.0625,0.0,29.5,27.0,0.8868688901999999,0.8457559320000001,0.0,-0.365,-0.52,1.222136,0.39042,1.16065375,1.148423,11.28503625,-2.7618775,0.6812811996250001,332.129963,21.306059,0.06594135820000001,0.010815847,36.9692215,31.815711,1.58113,1.5686,70.5355,60.055,75.53673,67.054775,5.0,5.0,0.4332829552,0.3330416185,0.6113510925,0.555743801,0.241859574,8.287e-06,47.9265237688,44.462013999499995,53.066199432299996,52.5979232965,96.69508539600001,96.33023352200001,0.5,0.0,1.183205344,1.167558566,0.47222,0.194417,0.31123850000000003,0.289144,0.3986297465,5e-09,0.0,0.0,13.36788875,9.5953105,22.1012325,13.171245,0.8981205,0.796241,0.59177225,0.43452700000000005,0.0,0.0,0.40822775,0.2509825,0.1018795,0.0,32.38097175,24.135413,3.0881495,0.0,0.0,0.0,0.1018795,0.0
801,carboxyl,hydroxyl,methyl,alkylsilane,0.5,0.5,0.13409481774999998,11.03715,10.7263,0.2517357678,0.0007696090000000001,3.7581629999999997,3.495934,63.75604425,61.509775,17,6.497891,5.995782,6.18118625,5.3623725,1.18118625,1.0,3.13551,3.02102,2.79471725,2.3394345000000003,0.340593,0.25,0.07186425,0.0,0.07186425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,14.0,0.6305249918,0.290144952,0.0,-0.14250000000000002,-0.28500000000000003,0.11091849999999999,0.0,-6.3925,-12.785,-25.6425,-51.285,0.469365989625,22.60607275,21.306059,0.4820129288,0.30551949,24.0186425,23.534016,0.4379500000000001,-0.15030000000000002,33.0185,24.022,38.035311,30.04695,2.5,2.0,0.589328131,0.222583474,0.8838679215,0.787443874,0.2645912345,0.079547405,3.5053224317,3.2089181460000002,13.2124605978,3.29025766,14.891429238299999,3.3566805730000002,1.0,1.0,0.622713566,0.554225614,0.31651025,0.16666699999999998,0.66391925,0.5,0.4978836385,0.039288332,14.3825,0.0,11.84880075,8.224551,10.60493025,7.5060765,0.75454225,0.5090844999999999,0.4722500000000001,0.319565,0.1597825,0.0,0.52775,0.375065,0.08567525000000001,0.0,16.492766500000002,11.057198,2.20792625,0.0,3.75303825,0.0,0.24545775,0.0
