,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min,COF-std,intercept-std
1337,cyclopropyl,fluorophenyl,amino,alkylsilane,0.5,0.5,0.1363465918833333,17.439449999999997,10.1114,0.183781052,0.131516233,3.46346625,3.3857355,171.13618625,53.590719,17,8.529700500000002,6.07735,8.193097999999999,5.947214,1.943098,0.947214,4.3905445,2.943376,3.9187625,2.618034,0.8465489999999999,0.2236069999999999,0.4534955,0.0,0.4534955,0.0,0.21112275,0.0,0.21112275,0.0,0.0821239999999999,0.0,0.0821239999999999,0.0,23.5,14.0,0.8382058175000001,0.8085391839999999,0.0,-0.2325,-0.425,0.365129,0.000175,-13.03070275,-27.04,-51.77010574999999,-104.04,1.65971774165,381.11695675,17.086165999999995,0.187099394,0.016895141,34.5762245,21.220107,0.675055,-0.4251,50.78875,26.018,57.05004400000001,31.042199,4.0,2.0,0.5256093568,0.4631774745000001,0.6413574620000001,0.6162228399999999,0.221372528,0.129707997,28.7665547893,1.724844952,56.795011196500006,1.807552195,82.6821334132,2.934382379,1.0,1.0,0.90683105,0.435719368,0.269795,0.204819,0.6594625,0.3742079999999999,0.2342000775,0.090324371,13.01,0.0,10.06262975,6.935960000000001,22.9645555,12.695544,0.8348577500000002,0.708646,0.6798164999999999,0.6466919999999999,0.1651422499999999,0.0389305,0.3201835,0.287059,0.0,0.0,29.069723,13.911787000000002,0.0,0.0,3.95746225,2.1952075,0.1651422499999999,0.0389305,0.0050866718569216,0.4601970455534252
1075,cyano,fluorophenyl,nitro,alkylsilane,0.5,0.5,0.11106993625,17.0652,12.9184,0.716775048,0.6821863690000001,3.7039265,3.616735,156.6004035,85.425922,17,7.33147725,6.07735,6.2131495,4.76371,2.2131495,1.76371,3.7807095,2.943376,2.89752475,2.0887549999999995,0.89752475,0.588755,0.45375125,0.25711,0.45375125,0.25711,0.14862275,0.0,0.14862275,0.0,0.0743114999999999,0.0,0.0743114999999999,0.0,26.5,24.0,0.9859979758,0.9761954525,0.0,-0.64,-0.68,1.56828975,0.7365794999999999,1.25624175,1.1124835,-0.16780175,-1.7356035,1.6602377924166667,320.54363800000004,17.086165999999995,820.5950767815001,0.220257694,34.1806585,27.607138,0.61245,-0.1070999999999999,64.284,58.016,68.27812074999999,61.01637800000001,4.75,4.0,0.121835643,0.09125968,0.8781643570000001,0.8475883940000001,1.6942e-06,0.0,23.7935249108,4.147210897,73.06839599800001,41.340095526,96.8619209037,45.487306404,0.75,0.5,1.0901852653,0.994335416,0.32333325,0.2804085,0.61185825,0.5,0.0,0.0,27.517499999999995,11.894999999999998,16.117187,16.011414,16.6164905,10.114318,0.78696475,0.6128600000000001,0.4342397500000001,0.38714,0.2130352499999999,0.0389305,0.56576025,0.5186605000000001,0.0,0.0,26.57891475,16.011414,0.0,0.0,6.15476275,2.1952075,0.2130352499999999,0.0389305,0.0080193501691401,0.388841606595069
1158,cyano,nitro,acetyl,alkylsilane,0.5,0.5,0.1226942186,14.22885,12.1027,0.7211713080000001,0.566685316,4.0354585,3.671926,102.326274,80.60018000000001,17,7.10978925,5.642228500000001,6.256855000000001,4.605462,1.7568549999999998,1.605462,3.4533595,2.752018,2.8676525,2.031181,0.6176525,0.531181,0.2567902499999999,0.1844565,0.2567902499999999,0.1844565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,20.0,0.9912868742,0.984673499,0.0,-0.4424999999999999,-0.555,0.7560957500000001,0.231621,1.3075,0.9450000000000002,0.067304,-1.535392,1.6614392935166666,39.10264475,14.6254815,820.5855191333,0.095016096,29.8599455,25.659411,0.403345,0.21139,50.02725,48.0225,54.53166425,51.0214635,3.75,3.5,0.109874014,0.045638028,0.921063054,0.887764136,0.146682663,0.0,5.7190859105,2.073699009,37.0862617745,26.376266625,41.1406053078,28.4499656365,1.25,0.5,0.9722157608,0.8220785525,0.36763225,0.3309074999999999,0.8559070000000001,0.75,0.1826897525,0.0,25.2675,17.069999999999997,15.265098749999998,14.007796,13.093213,7.688105,0.8294670000000001,0.8064300000000001,0.44032325,0.3115744999999999,0.170533,0.147496,0.5596767500000001,0.4309279999999999,0.0,0.0,23.43246375,19.1533475,0.0,0.0,4.925848000000001,4.794536999999999,0.170533,0.147496,0.0119883566280531,0.1623661377776571
1432,cyclopropyl,nitro,amino,alkylsilane,0.5,0.5,0.15264798215,12.8848,10.1114,0.2805165175,0.131516233,3.49106175,3.4409265,97.54883375,53.590719,17,7.058012500000001,6.07735,6.664534500000001,5.947214,1.4145345,0.947214,3.457532,2.943376,3.08120575,2.618034,0.50899225,0.2236069999999999,0.2205275,0.0,0.2205275,0.0,0.0625,0.0,0.0625,0.0,0.0078125,0.0,0.0078125,0.0,19.0,14.0,0.8490582160000001,0.8085391839999999,1.0,-0.17,-0.3,0.6371245,0.000175,-13.1144445,-27.04,-51.67000000000001,-104.04,1.662217318866667,76.4291425,17.086165999999995,0.2401625448,0.1230214425,27.0288405,21.220107,0.11475,-0.4251,39.524,26.018,44.790844,31.042199,3.0,2.0,0.4722225678,0.3564038965,0.694744251,0.6162228399999999,0.2213708338,0.129707997,8.0834848315,1.724844952,17.584796274,1.807552195,22.7888485297,2.934382379,1.0,1.0,0.7248527690000001,0.435719368,0.2950445,0.255318,0.67260425,0.4004915,0.2342000775,0.090324371,23.795,21.57,10.2123505,6.935960000000001,15.249276500000002,12.695544,0.7575379999999999,0.708646,0.594934,0.543176,0.2424619999999999,0.19357,0.405066,0.353308,0.0,0.0,20.073189,13.911787000000002,0.0,0.0,5.388438,5.057159,0.2424619999999999,0.19357,0.0096299250071564,0.3699671488960677
2319,hydroxyl,methyl,fluorophenyl,alkylsilane,0.5,0.5,0.1377980446833333,20.4412,9.745400000000002,0.2730187312,0.1816155975,3.6375885,3.594441,214.590852,49.406372,17,9.03382775,6.1035535,8.416044,5.954124,2.416044,0.954124,4.790378,2.90533,4.060084,2.681186,1.083022,0.227062,0.594491,0.0,0.594491,0.0,0.2972455,0.0,0.2972455,0.0,0.1486229999999999,0.0,0.1486229999999999,0.0,28.0,14.0,0.786582353,0.620773801,0.0,-0.435,-0.85,0.6561089999999999,0.0002,-5.8925165,-13.519999999999998,-25.5102115,-52.02,1.6624063817166668,626.2864255,16.735428,0.3780849818,0.008005091,39.59185025,21.3870265,1.225735,0.31735,64.5455,26.015999999999995,70.54488025,31.036582500000005,5.0,2.0,0.4682487675,0.304806836,0.7658424217,0.6951931640000001,0.1124121544999999,6.7770000000000005e-06,44.38820806180001,1.8969253955,100.2426637908,2.3043723655000004,143.8452480375,2.630050137,1.0,1.0,1.0809425517,0.4396365635000001,0.3054364999999999,0.26526,0.5987165,0.447433,0.2391197362,0.0,5.0575,0.0,12.90776025,10.402989500000002,25.190865,9.406296,0.8686454999999998,0.815152,0.5917669999999999,0.456864,0.11112875,0.077861,0.408233,0.27333,0.02022575,0.0,34.26841575,16.5392815,0.3578,0.0,3.4724095,2.554404,0.1313545,0.077861,0.0086692214117314,0.4148422811408204
3287,phenol,toluene,phenyl,alkylsilane,0.5,0.5,0.13333197495,32.77945,31.179,0.3031278025,0.250332171,3.704956,3.680736,387.83527875,375.426816,17,12.7658785,11.964102,12.227062000000002,11.5,3.727062,3.5,7.112758499999999,6.675426000000001,6.090592999999999,5.75,1.863531,1.75,1.113531,1.0,1.113531,1.0,0.5567655,0.5,0.5567655,0.5,0.27838275,0.25,0.27838275,0.25,39.0,36.0,0.9111020830000002,0.871553521,0.0,-0.8300000000000001,-0.88,0.8412615,0.738431,1.6602549999999996,1.6057690000000002,0.78303025,0.582399,1.66484192295,2057.51762575,1235.837423,0.00696815,0.0059673849999999,58.550055750000006,55.036109,1.998525,1.99502,91.0795,84.077,99.56524125,92.0626,7.5,7.0,0.4002385477999999,0.3101984965,0.6038048890000001,0.5097214010000001,0.0640254102,6.9230000000000005e-06,86.5213931897,85.431902392,142.9715742635,88.81879553199998,228.3497199428,174.250697929,1.5,1.0,1.6193487777999998,1.4935583789999998,0.2141454999999999,0.158026,0.2833144999999999,0.157266,0.0211373421999999,0.0,5.0575,0.0,13.103936250000002,10.966069,43.98726575,42.62743699999999,0.97203675,0.9440735,0.77131425,0.7472445,0.02184375,0.0,0.22868575,0.204616,0.0061195,0.0,55.4562,53.593506,0.3578,0.0,1.277202,0.0,0.02796325,0.0,0.0062670248989663,0.2934389993641453
863,carboxyl,methyl,phenyl,alkylsilane,0.5,0.5,0.1297389675166666,21.75395,12.328900000000004,0.2860940545,0.250332171,3.8013105,3.680736,226.76626625,78.10571649999999,17,9.42816525,6.892228500000001,8.95412425,6.4082485,2.45412425,1.4082485,5.020558,3.3656900000000003,4.32912425,2.9082485,1.102062,0.454124,0.57186425,0.1437284999999999,0.57186425,0.1437284999999999,0.25,0.0,0.25,0.0,0.125,0.0,0.125,0.0,27.5,19.0,0.7559148518000001,0.6402761825000001,0.0,-0.5225000000000001,-0.7800000000000001,0.4800339999999999,0.221637,1.1703845,0.735,0.6586995,0.582399,1.6650079946666667,632.15707025,28.476717500000003,0.110914185,0.0059673849999999,40.84318375,26.650258500000003,1.276785,0.55855,62.049,40.02100000000001,68.54831975,45.0340395,5.0,3.0,0.5186220810000001,0.490278599,0.7204827822000001,0.5097214010000001,0.15218593,6.9230000000000005e-06,45.27281093,5.113719468,56.469672181,24.12054883,100.7017531342,27.1528083395,1.0,1.0,1.1496744737,0.8057905685000001,0.22271675,0.158026,0.3675522500000001,0.157266,0.2587639022,0.0,9.325,0.0,12.1303405,10.966069,27.21550075,11.8035645,0.84696625,0.6939325,0.6415100000000001,0.487636,0.08758425,0.0,0.35849,0.204616,0.0654495,0.0,35.01987875,16.4462515,1.85012625,0.0,2.47583625,0.0,0.15303375,0.0,0.0058569996991366,0.253243256859135
2796,methoxy,toluene,phenyl,alkylsilane,0.5,0.5,0.1349505307833333,27.80175,24.4245,0.3453709942,0.250332171,3.723356,3.680736,308.29548525,241.1641545,17,11.52485325,11.0856045,11.102062000000002,10.704124,3.102062,2.704124,6.2361775,5.796929,5.477062,5.204124,1.477062,1.204124,0.8380154999999999,0.6760309999999999,0.8380154999999999,0.6760309999999999,0.40625,0.3125,0.40625,0.3125,0.203125,0.15625,0.203125,0.15625,33.5,31.0,0.918331096,0.871553521,0.0,-0.5949999999999999,-0.7800000000000001,0.5971139999999999,0.4557969999999999,1.4887060000000003,1.371643,-6.2092345,-13.000868,1.6680200696333332,1543.0639905,1235.837423,0.0645180832999999,0.0059673849999999,50.732692750000005,46.42927650000001,1.63902,1.2830200000000005,76.06575,68.0545,84.06132875000002,76.06005749999998,6.25,5.5,0.3725613490000001,0.254844099,0.6704342741999999,0.5097214010000001,0.121235128,6.9230000000000005e-06,65.8724411047,46.3129798175,98.8348761268,88.81879553199998,163.0614691717,151.8722404145,1.5,1.0,1.3944358342,1.2953132895,0.150558,0.14309,0.36395525,0.157266,0.1557910335,0.0,2.307500000000001,0.0,14.48504475,10.966069,34.748024750000006,26.8686125,0.95620075,0.9124015,0.63684275,0.4783015,0.04379925,0.0,0.36315725,0.204616,0.0,0.0,48.04885375,42.5042015,0.0,0.0,1.18421575,0.0,0.04379925,0.0,0.0102814482561513,0.386786806507963
2077,fluorophenyl,isopropyl,carboxyl,alkylsilane,0.5,0.5,0.1248418879833333,19.56715,13.309799999999996,0.5104825597999999,0.3780228525,4.217554499999999,3.823378,183.69302775000003,94.701658,17,9.383254,6.784457000000001,8.627739500000002,5.816496999999999,2.3777395,1.816497,4.8470465,3.48138,4.080494000000001,2.566497,1.0013695,0.6582479999999999,0.5347239999999999,0.2874569999999999,0.5347239999999999,0.2874569999999999,0.14862275,0.0,0.14862275,0.0,0.0743114999999999,0.0,0.0743114999999999,0.0,29.0,24.0,0.9736735942,0.9569397755,0.0,-0.4775,-0.5300000000000001,0.5796415,0.443274,1.6687417500000004,1.47,0.98489425,0.4997885,1.6680526421666668,404.8031715,35.647376,0.077419378,0.028636276,39.8033645,29.766501,0.994555,0.0909,65.78975000000001,56.02,72.04342150000001,60.021129,5.0,4.0,0.213717948,0.137858338,0.8341029674999999,0.7860095770000001,0.211763214,0.15909481,29.6891870103,7.018520789999999,86.2915868178,44.95084,113.01155563049998,50.948936106,0.75,0.5,1.2742252775,1.057355523,0.3011494999999999,0.194151,0.50560825,0.3555394999999999,0.1589782085,0.078576664,18.65,0.0,16.46236575,14.560058499999998,21.8079395,9.903345,0.6744672500000001,0.3878649999999999,0.5214989999999999,0.350337,0.1946337499999999,0.0389305,0.478501,0.307339,0.130899,0.0,28.5207765,10.964168,3.7002525,0.0,6.049276249999999,2.1952075,0.32553275,0.0389305,0.0132163387327798,0.4462512293439697
1648,difluoromethyl,methoxy,hydroxyl,alkylsilane,0.5,0.5,0.1668392179166666,10.22415,8.1428,0.4502086445,0.362461586,3.5259475000000005,3.16849,54.45923025,37.302969,17,6.28033025,5.207107,5.74516825,4.908248,1.24516825,0.908248,3.01960675,2.56066,2.565239,2.112372,0.3611149999999999,0.204124,0.09061825,0.0,0.09061825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,14.0,0.9665344452,0.95140265,1.0,-0.065,-0.0899999999999999,0.18457475,0.0004,-12.815,-27.04,-58.315,-104.04,1.6701702916333332,18.2678485,12.164797,0.6758729,0.160935545,24.04569525,19.240037,0.18775,-0.3915,39.51475,28.01,44.0306005,32.026215,2.75,2.0,0.2488532912,0.1903979725,0.8056987525,0.6926913900000001,0.1823784435,0.0,3.91942113,0.5849326450000002,18.04304892,1.318487071,20.3158485868,1.903419701,1.25,1.0,0.6358376794999999,0.3250475129999999,0.43480275,0.3450465,0.87395075,0.7479015000000001,0.3362567622,0.0,12.4225,4.615000000000001,14.83696075,12.581428,7.646800249999999,5.108808,0.63341825,0.6303039999999999,0.33022225,0.288793,0.2679715,0.24715,0.6697777500000001,0.6283485,0.0986104999999999,0.080903,14.23395975,11.150228,2.315974,1.4312000000000002,5.93382725,5.108808,0.36658175,0.3634675,0.0072540027179079,0.2441699138231677
