,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min,COF-std,intercept-std
1478,cyclopropyl,perfluoromethyl,isopropyl,alkylsilane,0.5,0.5,0.16747795845,17.78775,15.0635,0.2703399452,0.1490560505,4.54914475,3.5555634999999994,149.07116900000003,132.54887499999998,17,10.25,8.5,9.78347325,7.5669465,2.03347325,2.0,4.9375,4.125,4.70423675,3.6584735,0.8292367499999999,0.75,0.46818975,0.375,0.46818975,0.375,0.0625,0.0,0.0625,0.0,0.0078125,0.0,0.0078125,0.0,27.0,26.0,0.8880218052000001,0.8145549645,0.0,-0.0525,-0.105,0.6105,0.12,1.34266125,0.6853225,6.332987500000001,0.0,0.1170914144999999,224.98128825,137.88206549999998,0.0337839899999999,0.018300519,38.41282125,34.9418605,1.577375,1.49245,56.287,48.04399999999999,64.05944625,58.07825,4.25,4.0,0.4259422412,0.2743482799999999,0.7367966962,0.5967674025000002,0.5418727800000002,0.528856459,27.9521258822,17.840215733000004,48.2714712145,39.45923037400001,66.5763413057,65.08790437200001,0.25,0.0,1.1880930235000002,1.116244523,0.28512125,0.123042,0.290402,0.263646,0.627732517,0.4787595060000001,0.0,0.0,13.88042675,13.707585999999996,22.89055325,19.3314725,0.9490602500000002,0.8981205,0.61276075,0.5668695,0.0,0.0,0.38723925,0.341348,0.05093975,0.0,35.22690525000001,30.296590500000004,1.54407475,0.0,0.0,0.0,0.05093975,0.0,0.0115190579039208,0.3707097291752686
1664,difluoromethyl,methyl,difluoromethyl,alkylsilane,0.5,0.5,0.1535070501166666,11.5955,11.513,0.410473993,0.2739058650000001,4.020392,4.020392,65.64210625,64.2646625,17,7.0,7.0,6.06694675,5.755929000000001,1.5669467499999998,1.3779645,3.25,3.25,2.7834730000000003,2.627964,0.533473,0.438982,0.19530825,0.1302055,0.19530825,0.1302055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,20.0,0.8097233903000002,0.6365305775,0.0,-0.105,-0.14,0.49805625,0.3320375,1.3949999999999998,0.93,1.3949999999999998,0.93,0.14403314535,21.306059,21.306059,0.1390982295,0.083624476,27.674863500000004,26.294581,1.2101,1.1487999999999998,52.519,43.02,57.03281775,48.0375285,3.5,3.0,0.376955809,0.183916816,0.9005100875,0.8739161270000001,0.3993034092,0.382526191,8.6478714967,6.8348870465000005,38.1203960853,26.5103499435,43.515065929,30.128937477,1.0,1.0,0.934175284,0.8075253939999999,0.45684275,0.3601174999999999,0.4968522499999999,0.495803,0.827190861,0.784094833,0.0,0.0,10.969536,10.054541,15.1504875,14.668252999999998,0.5861964999999999,0.448262,0.58231325,0.5681060000000001,0.23932725,0.1595514999999999,0.41768675,0.4034795,0.174477,0.1163179999999999,14.733278999999998,12.334927,4.801122,3.2007480000000004,6.5856225,4.390415,0.4138035,0.275869,0.0136634583030121,0.6297474428570998
1635,difluoromethyl,isopropyl,perfluoromethyl,alkylsilane,0.5,0.5,0.1558159472,13.912,11.729,0.3298876021999999,0.190442224,4.4009755,4.020392,91.90814075000002,67.509775,17,8.25,7.0,7.00592875,5.133893,2.00592875,1.8779645000000005,3.875,3.25,3.2529645000000005,2.3169469999999994,0.7529644999999999,0.6889820000000001,0.40773225,0.3177055,0.40773225,0.3177055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,26.0,0.9089791782,0.8457559320000002,0.0,-0.14,-0.21,1.22294475,0.3920375,1.5392115000000002,1.148423,13.130975,0.93,0.22798915045,93.99967200000002,21.306059,0.0386309078,0.010815847,33.6425875,31.815711,1.5177250000000002,1.46685,68.0235,55.031,73.03593175000002,62.0531785,4.5,4.0,0.38132842,0.229132548,0.7155574298,0.5557438010000001,0.469701093,0.455691325,32.770784689,14.150535840000002,53.4707763545,53.407077141,78.6623914493,60.9945493765,0.25,0.0,1.1796177355,1.160383349,0.544164,0.338305,0.35652875,0.333333,0.7143433287000001,0.6314271695000001,0.0,0.0,14.968262750000005,12.7960585,17.1062115,13.171245,0.7601859999999999,0.724131,0.523953,0.434527,0.07977575,0.0,0.4760469999999999,0.3866209999999999,0.1600385,0.1163179999999999,25.19074325,24.135413,4.6885235,3.2007480000000004,2.1952075,0.0,0.239814,0.203759,0.0118141591017059,0.2443754836333238
1383,cyclopropyl,isopropyl,isopropyl,alkylsilane,0.5,0.5,0.1413913669833333,19.9835,19.455,0.3206353492,0.2496468585,4.92972825,4.316730499999999,173.592091,165.593463,17,11.5,11.0,11.5,11.0,2.0,2.0,5.5625,5.375,5.5625,5.375,0.8125,0.75,0.4375,0.375,0.4375,0.375,0.0625,0.0,0.0625,0.0,0.0078125,0.0,0.0078125,0.0,25.5,25.0,0.9169549838,0.8724213215000001,0.0,0.0,0.0,0.1270369999999999,0.12,1.5555555000000003,1.111111,0.0,0.0,0.2400382702833333,297.67490125,283.2692915,0.0433968935,0.037526326,40.92983900000001,39.975896,1.6007999999999998,1.5393,48.04399999999999,48.04399999999999,57.574337500000006,57.070425,4.0,4.0,0.3611482382,0.2743482799999999,0.8170672435,0.757308497,0.5531591795,0.528856459,19.564421431,17.840215733000004,49.1587803363,41.2338486175,58.76575901820001,52.4436136645,0.25,0.0,1.2033653740000003,1.146789224,0.128376,0.123042,0.27298025,0.263646,0.5481075215,0.4787595060000001,0.0,0.0,13.022206499999998,12.336827,26.2101505,25.970666999999995,1.0,1.0,0.6687919999999999,0.658652,0.0,0.0,0.331208,0.3210679999999999,0.0,0.0,39.232357,38.307494,0.0,0.0,0.0,0.0,0.0,0.0,0.0134300191543091,0.1051088541860678
1378,cyclopropyl,isopropyl,cyclopropyl,alkylsilane,0.5,0.5,0.1516041663333333,18.9265,18.398,0.1786583678,0.107669877,3.70373275,3.090735,189.589347,181.590719,17,10.5,10.0,10.5,10.0,2.0,2.0,5.1875,5.0,5.1875,5.0,0.9375,0.875,0.5625,0.5,0.5625,0.5,0.1875,0.125,0.1875,0.125,0.0234375,0.015625,0.0234375,0.015625,24.5,24.0,0.8278876592000001,0.783353997,0.0,0.0,0.0,0.141111,0.134074,0.6666664999999999,0.222222,0.0,0.0,0.2437691825833333,268.86368175,254.458072,0.0316557585,0.025785191,39.021953,38.06801000000001,1.4778,1.4163,48.04399999999999,48.04399999999999,56.5665125,56.0626,4.0,4.0,0.5347481547,0.4479481965,0.6975497505,0.637791004,0.6017646205,0.5774619,23.012832827,21.288627129,33.3089168987,25.38398518,46.1214683108,39.79932295700001,0.75,0.5,1.090213074,1.0336369239999998,0.1390439999999999,0.13371,0.29164875,0.2823144999999999,0.6868035524999999,0.617455537,0.0,0.0,11.651447500000002,10.966068,25.7311835,25.491700000000005,1.0,1.0,0.689072,0.678932,0.0,0.0,0.310928,0.300788,0.0,0.0,37.382631,36.457768,0.0,0.0,0.0,0.0,0.0,0.0,0.018871574855009,0.3863113374463221
1625,difluoromethyl,isopropyl,cyclopropyl,alkylsilane,0.5,0.5,0.1553406445166666,17.2465,16.095,0.2885014287,0.107669877,3.936147,3.090735,156.94724075,116.3065065,17,9.75,9.5,9.43898225,8.8779645,1.93898225,1.8779645000000005,4.75,4.5,4.594490999999999,4.188982,0.844491,0.6889820000000001,0.4713527499999999,0.3177055,0.4713527499999999,0.3177055,0.125,0.0,0.125,0.0,0.015625,0.0,0.015625,0.0,25.0,24.0,0.8777782108,0.783353997,0.0,-0.035,-0.07,0.2700927499999999,0.1481479999999999,1.076111,0.222222,0.465,0.0,0.2595095240666666,210.5756785,166.69328500000003,0.0461155797,0.025785191,36.768737,35.46946400000001,1.441575,1.4163,51.5375,48.04399999999999,59.05788925000001,56.0626,4.0,4.0,0.4253403305,0.229132548,0.7565810312,0.637791004,0.540879333,0.455691325,19.4437871825,14.150535840000002,39.395531160500006,25.38398518,50.3969361668,39.79932295700001,0.75,0.5,1.0970101365,1.0336369239999998,0.2413414999999999,0.144378,0.34035375,0.300983,0.6937893688,0.6314271695000001,0.0,0.0,11.88106325,10.966068,23.266438999999995,21.041178,0.8620654999999999,0.724131,0.6562954999999998,0.613379,0.07977575,0.0,0.3437044999999999,0.300788,0.0581589999999999,0.0,31.35192075,26.2460735,1.6003740000000002,0.0,2.1952075,0.0,0.1379345,0.0,0.0261791405034958,0.3337052061323484
1086,cyano,hydroxyl,cyclopropyl,alkylsilane,0.5,0.5,0.1309481281166666,14.05645,9.7149,0.3944380532,0.107669877,3.2256735,3.090735,127.06333925,56.5387035,17,7.603553500000001,5.207107,7.3388655,4.6777310000000005,1.5888654999999998,1.177731,3.78033,2.56066,3.52149475,2.0429895000000005,0.66943275,0.3388655,0.34045075,0.0559015,0.34045075,0.0559015,0.125,0.0,0.125,0.0,0.015625,0.0,0.015625,0.0,19.5,15.0,0.879527661,0.783353997,0.0,-0.1374999999999999,-0.2749999999999999,0.11445925,0.0807704999999999,-6.526389000000001,-13.275,-27.127696000000004,-54.25539200000001,0.2704264131666666,133.3114345,12.164797,820.793541821,0.025785191,29.77193525,21.4758605,0.7427450000000001,0.0691899999999999,40.53175,33.0195,46.294491,36.526382000000005,3.25,2.5,0.387605303,0.153662493,0.7420642555,0.637791004,0.3130336705,0.0,12.514799204,0.292559883,15.8747237888,6.3654623975,23.228672621,6.658022285,0.75,0.5,0.7605357625,0.4874346009999999,0.2772179999999999,0.144378,0.6504915000000001,0.300983,0.378075784,0.0,11.005,0.0,12.886738250000002,10.966068,15.338525000000002,5.18535,0.9075759999999998,0.815152,0.4808064999999999,0.262401,0.07219825,0.0,0.5191935,0.300788,0.02022575,0.0,26.59026125,16.722754500000004,0.3578,0.0,1.277202,0.0,0.0924239999999999,0.0,0.0100085019374383,0.2788213218862854
1483,cyclopropyl,perfluoromethyl,perfluoromethyl,alkylsilane,0.5,0.5,0.1658809373,13.39625,11.729,0.1697491373,0.1490560505,3.78797775,3.5555634999999994,100.029325,67.509775,17,7.75,7.0,6.35041975,5.133893,2.10041975,2.0669465,3.6875,3.25,2.98771025,2.3169469999999994,0.86271025,0.816947,0.5295692499999999,0.4977589999999999,0.5295692499999999,0.4977589999999999,0.0625,0.0,0.0625,0.0,0.0078125,0.0,0.0078125,0.0,30.0,28.0,0.8301554482000001,0.8145549645,0.0,-0.1575,-0.21,1.577426,1.101,0.91687275,0.6853225,18.9989625,12.665975,0.2847199754,79.59406225,21.306059,0.014558183,0.010815847,33.37878575,31.815711,1.530525,1.49245,72.77300000000001,64.52999999999999,77.02966375,70.0406425,4.75,4.5,0.5555302473,0.5335242920000001,0.5762556017999999,0.5557438010000001,0.5192999810000001,0.483710861,44.7275347847,38.0640360315,46.496852971,39.45923037400001,82.1975058808,68.0647782395,0.25,0.0,1.1575483225,1.116244523,0.59861175,0.4472005,0.3252454999999999,0.317158,0.786982508,0.776705528,0.0,0.0,15.59686725,14.053267500000002,16.251358750000005,13.171245,0.84718075,0.7962410000000001,0.50069825,0.434527,0.0,0.0,0.4993017499999999,0.4331304999999999,0.15281925,0.1018795,27.21600175,24.135413,4.63222425,3.0881495,0.0,0.0,0.15281925,0.1018795,0.0084421177785674,0.6416957945053327
1303,cyclopropyl,difluoromethyl,difluoromethyl,alkylsilane,0.5,0.5,0.1583921866,13.358000000000002,11.678,0.43719906,0.3273559989999999,3.78797775,3.5555634999999994,99.66165624999998,67.01955,17,7.75,7.0,6.81694675,5.755929000000001,1.81694675,1.755929,3.6875,3.25,3.2209730000000003,2.627964,0.720973,0.627964,0.35155825,0.260411,0.35155825,0.260411,0.0625,0.0,0.0625,0.0,0.0078125,0.0,0.0078125,0.0,25.5,25.0,0.9330256515,0.8831351,0.0,-0.105,-0.14,0.53509325,0.4061114999999999,1.4505555,1.041111,1.3949999999999998,0.93,0.2887512960333334,79.59406225,21.306059,0.0691646548,0.0547048335,31.308362,29.055146000000004,1.307625,1.2714,58.5245,55.031,63.53673025,61.0453535,4.0,4.0,0.2933246402,0.183916816,0.8148848462,0.7558535654999999,0.4434114785,0.382526191,14.029901591499998,10.460855947,43.6438279652,37.5572137035,52.625726525,48.350258669,1.0,1.0,1.0540281115,1.0472310490000003,0.4512704999999999,0.348973,0.447098,0.398393,0.7771090168,0.7701232005,0.0,0.0,11.65491525,11.4252995,18.0974665,15.632722,0.5861964999999999,0.448262,0.6008825,0.5681060000000001,0.23932725,0.1595514999999999,0.3991174999999999,0.3663409999999999,0.174477,0.1163179999999999,18.365637249999995,12.334927,4.801122,3.2007480000000004,6.5856225,4.390415,0.4138035,0.275869,0.0067664748891576,0.1655753581011291
1701,difluoromethyl,nitrophenyl,cyclopropyl,alkylsilane,0.5,0.5,0.14261209355,21.576850000000004,18.398,0.3048532822,0.107669877,3.49372525,3.090735,232.29167025,197.587975,17,10.135363,10.0,9.379909749999998,8.7598195,2.62990975,2.0,5.2090275,5.0,4.61667975,4.2333595,1.24167975,1.0,0.747782,0.625,0.747782,0.625,0.3235945,0.25,0.3235945,0.25,0.11492225,0.03125,0.11492225,0.03125,31.5,24.0,0.8802612475,0.783353997,0.0,-0.3799999999999999,-0.7599999999999999,0.7642869999999999,0.1481479999999999,1.1409445,0.222222,0.7782080000000001,0.0,0.29377936515,854.3023677500001,254.458072,0.0353153272,0.025785191,43.36882,38.06801000000001,1.501805,1.4163,72.04700000000001,48.04399999999999,78.80024625,56.0626,5.5,4.0,0.4160858473,0.2106235815,0.728041947,0.637791004,0.4086674972,0.1912676535,46.4188678512,24.737038525,126.155237097,25.38398518,166.5907286055,39.79932295700001,1.25,1.0,1.3006708203000004,1.0336369239999998,0.3050115,0.144378,0.36513975,0.300983,0.5740994922000001,0.3920474165,10.784999999999998,0.0,16.52687775,10.966068,25.30765525,25.1236105,0.8030204999999998,0.6060409999999999,0.62097375,0.5427354999999999,0.11756925,0.0,0.3790262499999999,0.300788,0.0794105,0.0,34.0885255,31.719283,3.0222205,0.0,4.723787000000001,0.0,0.1969795,0.0,0.0183809997290876,0.4833673377722705
