,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min,COF-std,intercept-std
1700,difluoromethyl,nitrophenyl,cyano,alkylsilane,0.5,0.5,0.0956929043833333,18.02135,11.287,0.7509937802000001,0.5020366875,3.72472475,3.5527340000000005,171.38490175,75.77443800000002,17,7.738916500000001,5.207107,6.60351675,4.447214,2.3535167500000003,1.447214,3.9893575,2.56066,3.10348325,1.973607,0.97848325,0.4736069999999999,0.4911835,0.111803,0.4911835,0.111803,0.1985944999999999,0.0,0.1985944999999999,0.0,0.09929725,0.0,0.09929725,0.0,27.5,16.0,0.9885842490000002,0.977168498,0.0,-0.6349999999999999,-0.7599999999999999,0.7707835,0.161141,1.2748335,0.49,-1.457184,-4.470784000000001,1.883929938,733.15573025,12.164797,1640.9883160553,0.0448454635,36.190657,23.711683999999995,1.0585950000000002,0.52988,67.03949999999999,38.029,71.28222074999998,41.026549,5.0,3.0,0.1053199788,1.6375999999999997e-05,0.909138257,0.81829289,0.0956338268,0.0,34.050442149300004,0.0001871209999999,119.169463369,11.412437724,152.3973795615,11.412624869,0.75,0.0,1.1087632028000003,0.649821689,0.3806009999999999,0.295557,0.7146482499999999,0.4292964999999999,0.1960237082,0.0,22.680000000000003,21.57,19.560538250000004,17.033389,15.19275125,5.261892,0.8030204999999998,0.6060409999999999,0.38937225,0.236009,0.11756925,0.0,0.61062775,0.4572644999999999,0.0794105,0.0,27.007282,22.295281,3.0222205,0.0,4.723787000000001,0.0,0.1969795,0.0,0.0228999856241441,0.4696076870739761
3062,nitrophenyl,perfluoromethyl,cyano,alkylsilane,0.5,0.5,0.09641251204,18.0341,11.287,0.661843806,0.323736739,3.72472475,3.552734,171.507458,75.774438,17,7.7389165,5.207107,6.44800775,4.447214,2.44800775,1.447214,3.9893575,2.56066,3.025729,1.973607,1.025729,0.473607,0.5505205,0.111803,0.5505205,0.111803,0.1985944999999999,0.0,0.1985944999999999,0.0,0.09929725,0.0,0.09929725,0.0,29.0,16.0,0.9542941812,0.9085883625,0.0,-0.6525000000000001,-0.795,1.11822775,0.161141,1.09693925,0.49,4.4108035,-4.470784,1.6766960173199998,733.15573025,12.164797,1640.970113898,0.008441149,36.88079825,23.711684,1.132895,0.52988,71.789,38.029,75.77986525,41.026549,5.25,3.0,0.1927218478,1.6376e-05,0.8295951755000001,0.659206727,0.1209299941999999,0.0,44.282986547,0.000187121,120.1204717042,11.412437724,162.2546393467,11.412624869,0.5,0.0,1.1432699398,0.649821689,0.42971475,0.295557,0.67403075,0.3480614999999999,0.199314872,0.0,22.68,21.57,20.87452225,17.033389,14.577382,5.261892,0.89001525,0.7800305,0.3559775,0.236009,0.0377935,0.0,0.6440224999999999,0.524054,0.07219125,0.0,29.957403500000005,22.295281,2.96592125,0.0,2.5285795,0.0,0.10998475,0.0,0.0078848185941024,0.3242238588134472
380,amino,cyano,cyano,alkylsilane,0.5,0.5,0.0972423194833333,10.9931,10.6992,0.782842213,0.5657335530000002,3.54984975,3.5469655,70.22850825,64.68257849999999,17,5.42466775,5.207107,4.822214,4.447214,1.322214,1.197214,2.656339,2.56066,2.13471375,1.973607,0.4111069999999999,0.3486069999999999,0.08385225,0.0559015,0.08385225,0.0559015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,15.0,0.952134796,0.904269592,1.0,-0.3925,-0.5099999999999999,0.1208994999999999,0.080658,-6.392499999999999,-13.275,-29.363088,-54.25539200000001,2.659979752466666,13.39513925,12.164797,2461.538165897,1641.1445451469997,23.08878975,22.4658955,0.291135,0.05239,35.02625,32.023500000000006,38.5304615,36.03437400000001,2.75,2.5,0.1470225918,1.6375999999999997e-05,0.904043428,0.808103232,0.0324269992,0.0,0.4313515788,0.0001871209999999,9.0112163417,6.6099949595,9.2930642465,7.173503623999999,0.25,0.0,0.5962961088,0.5427705285000001,0.3053605,0.295557,0.98617925,0.9723585,0.0225810927,0.0,24.3475,23.79,14.50903175,11.9846745,7.120305000000001,5.261892,0.9271615,0.8543229999999999,0.33867975,0.236009,0.0728385,0.0,0.66132025,0.5586495,0.0,0.0,20.199407500000003,18.103534,0.0,0.0,1.42992925,0.0,0.0728385,0.0,0.0159746771011605,0.326736616649723
1190,cyano,nitrophenyl,nitrophenyl,alkylsilane,0.5,0.5,0.09744622735,31.1968,24.560200000000005,0.5927611587,0.457031254,3.71796275,3.6628865,369.17199525,271.3728095000001,17,11.457865749999998,9.3742795,9.934585999999998,8.105462000000001,3.934586,3.105462,6.3297475,5.073385000000001,4.872467999999999,3.906181,1.872468,1.406181,1.1384885,0.7962600000000001,1.1384885,0.7962600000000001,0.5957835,0.3971889999999999,0.5957835,0.3971889999999999,0.29789175,0.1985944999999999,0.29789175,0.1985944999999999,43.0,34.0,0.9785655948,0.971420793,0.0,-1.1625,-1.38,1.612868,1.128959,1.8170005,1.3746670000000003,-0.1780719999999999,-1.608976,2.901718613033333,2168.2816502499995,1449.5760325,820.4874965,0.006066451,57.1410065,45.997899,1.5598849999999995,1.21655,107.06875,84.0555,113.04239574999998,89.03711350000002,8.25,6.5,0.1780018543,0.1186733615,0.8219981458000002,0.762669653,6.837000000000002e-06,4.558e-06,94.3054505863,62.8703627645,305.9450112816999,207.7674867625,400.2504618125,270.637849498,1.5,1.0,1.7183936165,1.3622029740000003,0.35718075,0.3366395,0.5220925,0.36279,0.0,0.0,38.3025,33.465,28.476480250000005,24.6621165,27.276347250000004,19.938195500000003,0.8228650000000001,0.76382,0.447026,0.376687,0.1133805,0.075587,0.552974,0.482635,0.0637544999999999,0.042503,43.9015495,36.69946,4.2655395,2.843693,7.585738499999999,5.057159,0.177135,0.11809,0.0084127633460765,0.2446895296489455
999,cyano,cyano,cyano,alkylsilane,0.5,0.5,0.09754954032,11.287000000000004,11.287000000000004,0.999950873,0.999950873,3.552734,3.552734,75.77443800000002,75.77443800000002,17,5.207107,5.207107,4.447214000000001,4.447214000000001,1.4472140000000002,1.4472140000000002,2.5606599999999995,2.5606599999999995,1.973607,1.973607,0.473607,0.473607,0.111803,0.111803,0.111803,0.111803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,1.0,1.0,0.0,-0.5099999999999999,-0.5099999999999999,0.161141,0.161141,0.4900000000000001,0.4900000000000001,-4.470784000000001,-4.470784000000001,2.26630855838,12.164796999999998,12.164796999999998,3281.931786647,3281.931786647,23.711683999999995,23.711683999999995,0.5298800000000001,0.5298800000000001,38.029,38.029,41.026549,41.026549,3.0,3.0,1.6375999999999997e-05,1.6375999999999997e-05,0.9999836240000002,0.9999836240000002,0.0,0.0,0.0001871209999999,0.0001871209999999,11.412437724,11.412437724,11.412624869,11.412624869,0.0,0.0,0.6498216890000001,0.6498216890000001,0.295557,0.295557,1.0,1.0,0.0,0.0,23.79,23.79,17.033389,17.033389,5.2618920000000005,5.2618920000000005,1.0,1.0,0.236009,0.236009,0.0,0.0,0.763991,0.763991,0.0,0.0,22.295281,22.295281,0.0,0.0,0.0,0.0,0.0,0.0,0.0121388286287789,0.125696329912104
1935,ethylene,nitrophenyl,cyano,alkylsilane,0.5,0.5,0.0984223801,19.069600000000005,11.287,0.7555815122,0.5112121515,3.8195057500000007,3.5527340000000005,186.06217025,75.77443800000002,17,7.90259175,5.207107,7.039534500000001,4.447214,2.2895345,1.447214,4.14037225,2.56066,3.32149225,1.973607,0.94649225,0.4736069999999999,0.45733075,0.111803,0.45733075,0.111803,0.1985944999999999,0.0,0.1985944999999999,0.0,0.09929725,0.0,0.09929725,0.0,25.5,16.0,0.9889577422,0.9779154845,0.0,-0.665,-0.8200000000000002,0.615367,0.161141,0.9948335,0.49,-3.4487225,-4.470784000000001,1.3947554041166663,740.3467932499999,12.164797,1641.0264515247,0.1211164025,36.22920925,23.711683999999995,1.03882,0.52988,60.54325,38.029,65.2869315,41.026549,4.75,3.0,0.1032919343,1.6375999999999997e-05,0.8967080670000002,0.79343251,4.6917e-06,0.0,32.308259564299995,0.0001871209999999,110.8311155775,11.412437724,143.139375119,11.412624869,0.75,0.0,1.0539465974999995,0.649821689,0.299911,0.295557,0.6959529999999999,0.391906,2.4999999999999996e-09,0.0,22.680000000000003,21.57,18.6455435,17.033389,16.1433215,5.261892,0.940955,0.8819100000000001,0.4230084999999999,0.236009,0.0377935,0.0,0.5769915,0.3899919999999999,0.0212515,0.0,30.838439,22.295281,1.4218465,0.0,2.5285795,0.0,0.059045,0.0,0.0111270082190362,0.3492559555321732
3236,phenol,phenyl,cyano,alkylsilane,0.5,0.5,0.0984747207833333,21.649200000000004,11.287,0.6525326088,0.3051143445,3.6147555000000007,3.5527340000000005,230.33657475,75.77443800000002,17,8.762381,5.207107,8.075669,4.447214,2.575669,1.447214,4.75254425,2.56066,3.8898965,1.973607,1.1628345,0.4736069999999999,0.6069325,0.111803,0.6069325,0.111803,0.2755154999999999,0.0,0.2755154999999999,0.0,0.13775775,0.0,0.13775775,0.0,27.5,16.0,0.9557634368,0.9115268735,1.0,-0.6950000000000002,-0.88,0.5276817500000001,0.161141,1.05799125,0.49,-1.8575275,-4.470784000000001,3.468032030366667,836.35432475,12.164797,1640.96939689,0.007007133,40.5941225,23.711683999999995,1.1888500000000002,0.52988,65.05275,38.029,70.54330325,41.026549,5.25,3.0,0.1994748187999999,1.6375999999999997e-05,0.8016668027999999,0.6033499815000001,0.0295389087999999,0.0,43.0187620642,0.0001871209999999,76.9988107095,11.412437724,119.6960778287,11.412624869,0.75,0.0,1.1313210122,0.649821689,0.28500375,0.2744505,0.7086757500000002,0.4173515,0.0055793628,0.0,16.9525,10.115,15.452217250000002,13.8710455,23.711262,5.261892,0.97203675,0.9440735,0.49512125,0.236009,0.02184375,0.0,0.50487875,0.2457665,0.0061195,0.0,37.52847725,22.295281,0.3578,0.0,1.277202,0.0,0.02796325,0.0,0.0157199707021393,0.2257556562601259
1000,cyano,cyano,fluorophenyl,alkylsilane,0.5,0.5,0.09931480688,21.212,11.287,0.6821863690000001,0.364421865,3.616735,3.552734,227.774885,75.774438,17,8.5856045,5.207107,7.662589,4.447214,2.662589,1.447214,4.618043,2.56066,3.7062945,1.973607,1.2062945,0.473607,0.6503924999999999,0.111803,0.6503924999999999,0.111803,0.2972455,0.0,0.2972455,0.0,0.148623,0.0,0.148623,0.0,29.0,16.0,0.9761954525,0.952390905,0.0,-0.68,-0.85,0.7365794999999999,0.161141,1.1124835,0.49,-1.7356035,-4.470784,1.7171435687400003,624.00111,12.164797,1640.969895869,0.008005091,40.754179,23.711684,1.332,0.52988,70.552,38.029,75.5398635,41.026549,5.5,3.0,0.152411606,1.6376e-05,0.8475883940000001,0.6951931640000001,3.3885000000000007e-06,0.0,43.4398389245,0.000187121,104.79669647,11.412437724,148.2365354035,11.412624869,0.5,0.0,1.1860351145,0.649821689,0.2804085,0.26526,0.7237165,0.447433,0.0,0.0,11.895,0.0,16.22296,15.412530999999998,23.118663,5.261892,0.9610695,0.922139,0.4813395,0.236009,0.0389305,0.0,0.5186605,0.27333,0.0,0.0,37.1464155,22.295281,0.0,0.0,2.1952075,0.0,0.0389305,0.0,0.010838505759568,0.1638723288113004
1586,difluoromethyl,fluorophenyl,cyano,alkylsilane,0.5,0.5,0.0999043025,16.34725,11.287,0.727841433,0.455731993,3.701649,3.5527340000000005,149.5859395,75.77443800000002,17,7.344578999999999,5.207107,6.3820802500000005,4.447214,2.13208025,1.447214,3.7616865,2.56066,3.0035400000000005,1.973607,0.8785400000000001,0.4736069999999999,0.41824975,0.111803,0.41824975,0.111803,0.14862275,0.0,0.14862275,0.0,0.0743114999999999,0.0,0.0743114999999999,0.0,25.0,16.0,0.983826777,0.967653554,0.0,-0.5025000000000001,-0.5099999999999999,0.57459375,0.161141,1.14374175,0.49,-1.5204977500000003,-4.470784000000001,1.2603762690666669,320.368269,12.164797,1640.9888007153002,0.0458147835,33.56879700000001,23.711683999999995,1.11632,0.52988,60.28775000000001,38.029,64.53359575,41.026549,4.5,3.0,0.122189101,1.6375999999999997e-05,0.8922691348000001,0.7845546455,0.095633242,0.0,24.3351802293,0.0001871209999999,67.68406822270002,11.412437724,91.1967225142,11.412624869,0.5,0.0,1.020679273,0.649821689,0.3524855,0.295557,0.7358089999999998,0.4716179999999999,0.1960237082,0.0,11.894999999999998,0.0,15.34096,13.648531,16.782985,5.261892,0.8426002500000002,0.6852005,0.4416985,0.236009,0.099241,0.0,0.5583014999999999,0.352612,0.0581589999999999,0.0,27.23075975,22.295281,1.6003740000000002,0.0,3.29281125,0.0,0.1573997499999999,0.0,0.0181065732387679,0.2168108115273404
1180,cyano,nitrophenyl,cyano,alkylsilane,0.5,0.5,0.0999088944,17.923599999999997,11.287,0.8642209682,0.7284910635,3.60781025,3.5527340000000005,173.57362375,75.77443800000002,17,7.290693250000001,5.207107,6.276338,4.447214,2.2763379999999995,1.447214,3.8170225,2.56066,2.939894,1.973607,0.939894,0.4736069999999999,0.4540315,0.111803,0.4540315,0.111803,0.1985944999999999,0.0,0.1985944999999999,0.0,0.09929725,0.0,0.09929725,0.0,25.0,16.0,0.9928551982,0.9857103965,0.0,-0.7275,-0.9450000000000002,0.64505,0.161141,0.9323335,0.49,-3.03988,-4.470784000000001,2.4523466003833336,730.8704147500001,12.164797,2461.450356598,1640.968926549,34.8547915,23.711683999999995,0.873215,0.52988,61.04225,38.029,65.03183125,41.026549,4.75,3.0,0.0593448688,1.6375999999999997e-05,0.9406551312,0.8813266385,2.279e-06,0.0,31.4352749428,0.0001871209999999,109.58996224320002,11.412437724,141.02523718349997,11.412624869,0.5,0.0,1.0060123315,0.649821689,0.31609825,0.295557,0.8406975,0.6813950000000001,0.0,0.0,28.6275,23.79,20.84775275,17.033389,12.60004375,5.261892,0.940955,0.8819100000000001,0.306348,0.236009,0.0377935,0.0,0.693652,0.623313,0.0212515,0.0,29.4973705,22.295281,1.4218465,0.0,2.5285795,0.0,0.059045,0.0,0.0139330510910727,0.4617469537623987
