,ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,h_smiles,ch3_smiles
0,CHEMBL1162545,GLYOXYLATE,2-Oxoacetate,Small molecule,0.0,74.03,2.0,4.0,-0.73,54.37,2,1,0,1,Y,0.33,2.61,None,-0.13,-3.64,0,MOL,-1.0,5,3,1,0,74.0004,ACID,C2H2O3,O=CC(=O)O,O=C(C)C(=O)O
2,CHEMBL3560728,,,Small molecule,0.0,94.07,,,-0.43,26.02,1,1,0,0,Y,0.38,None,10.08,-0.63,-3.15,0,MOL,-1.0,2,1,2,0,31.0422,BASE,CH6N2O3,CN.O=[N+]([O-])O,CCN.O=[N+]([O-])O
3,CHEMBL3186839,,,Small molecule,0.0,83.13,,,1.56,23.79,1,0,0,1,Y,0.47,None,None,1.27,1.27,0,MOL,-1.0,6,1,0,0,83.0735,None,C5H9N,CC(C)CC#N,CCC(C)CC#N
5,CHEMBL3188586,,,Small molecule,0.0,88.11,,,-0.47,40.46,2,2,0,2,Y,0.45,None,None,-0.68,-0.68,0,MOL,-1.0,6,2,2,0,88.0524,NEUTRAL,C4H8O2,OC/C=C/CO,C(O)C/C=C/CO
6,CHEMBL3304047,,,Small molecule,0.0,98.15,,,0.40,24.39,1,1,0,0,Y,0.47,None,11.94,-0.23,-2.64,0,MOL,-1.0,7,2,1,0,98.0844,BASE,C5H10N2,C/N=C1\CCCN1,CC/N=C1\CCCN1
8,CHEMBL3188262,,,Small molecule,0.0,89.14,,,-0.41,32.26,2,2,0,3,Y,0.46,None,9.89,-0.53,-2.95,0,MOL,-1.0,6,2,2,0,89.0841,BASE,C4H11NO,CCNCCO,CCCNCCO
10,CHEMBL3560005,,,Small molecule,0.0,87.08,,,-1.13,55.62,2,1,0,1,Y,0.41,None,None,-1.16,-1.16,0,MOL,-1.0,6,3,2,0,87.032,NEUTRAL,C3H5NO2,NC(=O)C1CO1,C(N)C(=O)C1CO1
11,CHEMBL3039851,,,Small molecule,0.0,98.15,,,0.29,6.48,2,0,0,0,Y,0.43,None,4.53,0.22,0.22,0,MOL,-1.0,7,2,0,0,98.0844,NEUTRAL,C5H10N2,CN1C=CN(C)C1,CCN1C=CN(C)C1
12,CHEMBL3183047,,,Small molecule,0.0,90.12,,,-0.39,40.46,2,2,0,2,Y,0.48,None,None,-0.67,-0.67,0,MOL,-1.0,6,2,2,0,90.0681,NEUTRAL,C4H10O2,CC(CO)CO,CCC(CO)CO
14,CHEMBL1232411,,,Small molecule,0.0,90.12,,,0.28,18.46,2,0,0,3,Y,0.46,None,None,0.08,0.08,0,MOL,-1.0,6,2,0,0,90.0681,NEUTRAL,C4H10O2,COCCOC,CCOCCOC
15,CHEMBL3184026,,,Small molecule,0.0,94.07,,,-0.98,69.11,1,2,0,0,N,0.37,None,None,-1.36,-1.36,0,MOL,-1.0,4,3,4,0,60.0324,NEUTRAL,CH6N2O3,NC(N)=O.OO,C(N)C(N)=O.OO
16,CHEMBL3185256,,,Small molecule,0.0,80.51,,,0.83,9.23,1,0,0,1,Y,0.42,None,None,0.74,0.74,0,MOL,-1.0,4,1,0,0,80.0029,NEUTRAL,C2H5ClO,COCCl,CCOCCl
17,CHEMBL3184935,,,Small molecule,0.0,60.12,,,0.73,0.00,1,0,0,0,Y,0.37,None,None,0.53,0.53,0,MOL,-1.0,3,0,0,0,60.0034,None,C2H4S,C1CS1,CC1CS1
19,CHEMBL3186306,,,Small molecule,0.0,90.12,,,0.01,29.46,2,1,0,2,Y,0.52,None,None,-0.15,-0.15,0,MOL,-1.0,6,2,1,0,90.0681,NEUTRAL,C4H10O2,COCC(C)O,CCOCC(C)O
20,CHEMBL3185860,,,Small molecule,0.0,85.06,,,-0.02,61.09,2,1,0,1,N,0.49,2.06,None,-0.27,-3.80,0,MOL,-1.0,6,3,1,0,85.0164,ACID,C3H3NO2,N#CCC(=O)O,N#CC(C)C(=O)O
21,CHEMBL3561873,,,Small molecule,0.0,88.11,,,-0.04,37.30,2,1,0,1,Y,0.49,13.72,None,-0.14,-0.14,0,MOL,-1.0,6,2,1,0,88.0524,NEUTRAL,C4H8O2,CC(=O)C(C)O,CCC(=O)C(C)O
24,CHEMBL3187873,,,Small molecule,0.0,99.18,,,1.17,12.03,1,1,0,3,Y,0.52,None,9.95,1.14,-1.34,0,MOL,-1.0,7,1,1,0,99.1048,BASE,C6H13N,C=C(C)CNCC,CC=C(C)CNCC
26,CHEMBL1193979,,,Small molecule,0.0,87.13,,,-0.64,47.91,1,3,0,0,Y,0.27,None,13.01,-0.68,-3.10,0,MOL,-1.0,6,3,3,0,87.0796,BASE,C3H9N3,CNC(=N)NC,CCNC(=N)NC
27,CHEMBL3183368,,,Small molecule,0.0,84.16,,,2.22,0.00,0,0,0,0,Y,0.39,None,None,2.53,2.53,0,MOL,-1.0,6,0,0,0,84.0939,None,C6H12,C=CC(C)(C)C,CC=CC(C)(C)C
28,CHEMBL3183607,,,Small molecule,0.0,90.12,,,0.63,18.46,2,0,0,2,Y,0.46,None,None,0.42,0.42,0,MOL,-1.0,6,2,0,0,90.0681,NEUTRAL,C4H10O2,COC(C)OC,CCOC(C)OC
30,CHEMBL281417,N-METHYLPIPERIDINE,1-Methyl-Piperidine|N-Methylpiperidine,Small molecule,0.0,99.18,3.0,9.0,1.10,3.24,1,0,0,0,Y,0.44,None,9.81,1.04,-1.34,0,MOL,-1.0,7,1,0,0,99.1048,BASE,C6H13N,CN1CCCCC1,CCN1CCCCC1
31,CHEMBL2270060,2-METHYLBUTANAL,,Small molecule,0.0,86.13,8.0,10.0,1.23,17.07,1,0,0,2,Y,0.46,None,None,1.31,1.31,0,MOL,-1.0,6,1,0,0,86.0732,NEUTRAL,C5H10O,CCC(C)C=O,CCCC(C)C=O
32,CHEMBL14687,PROPANOL,Ethylcarbinol|PROPANOL|Propan-1-ol|Propanol,Small molecule,0.0,60.1,12.0,33.0,0.39,20.23,1,1,0,1,Y,0.46,None,None,0.36,0.36,0,MOL,0.0,4,1,1,0,60.0575,NEUTRAL,C3H8O,CCCO,CCCCO
33,CHEMBL24080,,Trimethyl-ammonium hydroxide,Small molecule,0.0,77.13,1.0,2.0,0.18,3.24,1,0,0,0,Y,0.38,None,9.57,0.19,-1.97,0,MOL,-1.0,4,1,0,0,59.0735,BASE,C3H11NO,CN(C)C.O,CCN(C)C.O
34,CHEMBL500826,SODIUM PROPIONATE,E281|Sodium Propionate,Small molecule,2.0,96.06,7.0,18.0,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0.0,None,None,None,None,96.0187,None,C3H5NaO2,CCC(=O)[O-].[Na+],CCCC(=O)[O-].[Na+]
35,CHEMBL45211,ACETONITRILE,Acetonitrile,Small molecule,0.0,41.05,4.0,7.0,0.53,23.79,1,0,0,0,Y,0.39,None,None,-0.17,-0.17,0,MOL,-1.0,3,1,0,0,41.0265,NEUTRAL,C2H3N,CC#N,CCC#N
36,CHEMBL297630,,,Small molecule,0.0,94.11,1.0,2.0,0.88,12.53,1,0,0,0,Y,0.41,None,None,0.96,0.96,0,MOL,-1.0,7,1,0,0,94.0419,NEUTRAL,C6H6O,C1=CC2OC2C=C1,CC1=CC2OC2C=C1
37,CHEMBL1237171,,,Small molecule,0.0,77.17,,,0.49,0.00,0,0,0,0,Y,0.37,None,None,-0.08,-0.08,0,MOL,-1.0,4,0,0,0,77.0419,NEUTRAL,C3H9S+,C[S+](C)C,CC[S+](C)C
38,CHEMBL1234380,,,Small molecule,0.0,88.11,,,-0.45,41.13,1,2,0,0,Y,0.41,None,None,-0.92,-0.92,0,MOL,-1.0,6,3,2,0,88.0637,NEUTRAL,C3H8N2O,CNC(=O)NC,CCNC(=O)NC
39,CHEMBL3182458,,,Small molecule,0.0,90.19,,,1.71,0.00,1,1,0,0,Y,0.43,10.02,None,1.58,1.58,0,MOL,-1.0,5,0,0,0,90.0503,NEUTRAL,C4H10S,CC(C)(C)S,CCC(C)(C)S
